subproblem_id,stage_id,timepoint,period,number_of_hours_in_timepoint,timepoint_weight,previous_stage_timepoint_map,spinup_or_lookahead,month,hour_of_day,timestamp,horizon_day
1,1,20200218,2020,1,5.907525577,,,1,18,,202002
1,1,20200219,2020,1,5.907525577,,,1,19,,202002
1,1,20200220,2020,1,5.907525577,,,1,20,,202002
1,1,20200221,2020,1,5.907525577,,,1,21,,202002
1,1,20200222,2020,1,5.907525577,,,1,22,,202002
1,1,20200223,2020,1,5.907525577,,,1,23,,202002
1,1,20200224,2020,1,5.907525577,,,1,24,,202002
1,1,20200301,2020,1,28.02215288,,,2,1,,202003
1,1,20200302,2020,1,28.02215288,,,2,2,,202003
1,1,20200303,2020,1,28.02215288,,,2,3,,202003
1,1,20200304,2020,1,28.02215288,,,2,4,,202003
1,1,20200305,2020,1,28.02215288,,,2,5,,202003
1,1,20200306,2020,1,28.02215288,,,2,6,,202003
1,1,20200307,2020,1,28.02215288,,,2,7,,202003
1,1,20200308,2020,1,28.02215288,,,2,8,,202003
1,1,20200309,2020,1,28.02215288,,,2,9,,202003
1,1,20200310,2020,1,28.02215288,,,2,10,,202003
1,1,20200311,2020,1,28.02215288,,,2,11,,202003
1,1,20200312,2020,1,28.02215288,,,2,12,,202003
1,1,20200313,2020,1,28.02215288,,,2,13,,202003
1,1,20200314,2020,1,28.02215288,,,2,14,,202003
1,1,20200315,2020,1,28.02215288,,,2,15,,202003
1,1,20200316,2020,1,28.02215288,,,2,16,,202003
1,1,20200317,2020,1,28.02215288,,,2,17,,202003
1,1,20200318,2020,1,28.02215288,,,2,18,,202003
1,1,20200319,2020,1,28.02215288,,,2,19,,202003
1,1,20200320,2020,1,28.02215288,,,2,20,,202003
1,1,20200321,2020,1,28.02215288,,,2,21,,202003
1,1,20200322,2020,1,28.02215288,,,2,22,,202003
1,1,20200323,2020,1,28.02215288,,,2,23,,202003
1,1,20200324,2020,1,28.02215288,,,2,24,,202003
1,1,20200401,2020,1,14.34114593,,,3,1,,202004
1,1,20200402,2020,1,14.34114593,,,3,2,,202004
1,1,20200403,2020,1,14.34114593,,,3,3,,202004
1,1,20200404,2020,1,14.34114593,,,3,4,,202004
1,1,20200405,2020,1,14.34114593,,,3,5,,202004
1,1,20200406,2020,1,14.34114593,,,3,6,,202004
1,1,20200407,2020,1,14.34114593,,,3,7,,202004
1,1,20200408,2020,1,14.34114593,,,3,8,,202004
1,1,20200409,2020,1,14.34114593,,,3,9,,202004
1,1,20200410,2020,1,14.34114593,,,3,10,,202004
1,1,20200411,2020,1,14.34114593,,,3,11,,202004
1,1,20200412,2020,1,14.34114593,,,3,12,,202004
1,1,20200413,2020,1,14.34114593,,,3,13,,202004
1,1,20200414,2020,1,14.34114593,,,3,14,,202004
1,1,20200415,2020,1,14.34114593,,,3,15,,202004
1,1,20200416,2020,1,14.34114593,,,3,16,,202004
1,1,20200417,2020,1,14.34114593,,,3,17,,202004
1,1,20200418,2020,1,14.34114593,,,3,18,,202004
1,1,20200419,2020,1,14.34114593,,,3,19,,202004
1,1,20200420,2020,1,14.34114593,,,3,20,,202004
1,1,20200421,2020,1,14.34114593,,,3,21,,202004
1,1,20200422,2020,1,14.34114593,,,3,22,,202004
1,1,20200423,2020,1,14.34114593,,,3,23,,202004
1,1,20200424,2020,1,14.34114593,,,3,24,,202004
1,1,20200501,2020,1,6.699443571,,,3,1,,202005
1,1,20200502,2020,1,6.699443571,,,3,2,,202005
1,1,20200503,2020,1,6.699443571,,,3,3,,202005
1,1,20200504,2020,1,6.699443571,,,3,4,,202005
1,1,20200505,2020,1,6.699443571,,,3,5,,202005
1,1,20200506,2020,1,6.699443571,,,3,6,,202005
1,1,20200507,2020,1,6.699443571,,,3,7,,202005
1,1,20200508,2020,1,6.699443571,,,3,8,,202005
1,1,20200509,2020,1,6.699443571,,,3,9,,202005
1,1,20200510,2020,1,6.699443571,,,3,10,,202005
1,1,20200511,2020,1,6.699443571,,,3,11,,202005
1,1,20200512,2020,1,6.699443571,,,3,12,,202005
1,1,20200513,2020,1,6.699443571,,,3,13,,202005
1,1,20200514,2020,1,6.699443571,,,3,14,,202005
1,1,20200515,2020,1,6.699443571,,,3,15,,202005
1,1,20200516,2020,1,6.699443571,,,3,16,,202005
1,1,20200517,2020,1,6.699443571,,,3,17,,202005
1,1,20200518,2020,1,6.699443571,,,3,18,,202005
1,1,20200519,2020,1,6.699443571,,,3,19,,202005
1,1,20200520,2020,1,6.699443571,,,3,20,,202005
1,1,20200521,2020,1,6.699443571,,,3,21,,202005
1,1,20200522,2020,1,6.699443571,,,3,22,,202005
1,1,20200523,2020,1,6.699443571,,,3,23,,202005
1,1,20200524,2020,1,6.699443571,,,3,24,,202005
1,1,20200601,2020,1,0.495311596,,,4,1,,202006
1,1,20200602,2020,1,0.495311596,,,4,2,,202006
1,1,20200603,2020,1,0.495311596,,,4,3,,202006
1,1,20200604,2020,1,0.495311596,,,4,4,,202006
1,1,20200605,2020,1,0.495311596,,,4,5,,202006
1,1,20200606,2020,1,0.495311596,,,4,6,,202006
1,1,20200607,2020,1,0.495311596,,,4,7,,202006
1,1,20200608,2020,1,0.495311596,,,4,8,,202006
1,1,20200609,2020,1,0.495311596,,,4,9,,202006
1,1,20200610,2020,1,0.495311596,,,4,10,,202006
1,1,20200611,2020,1,0.495311596,,,4,11,,202006
1,1,20200612,2020,1,0.495311596,,,4,12,,202006
1,1,20200613,2020,1,0.495311596,,,4,13,,202006
1,1,20200614,2020,1,0.495311596,,,4,14,,202006
1,1,20200615,2020,1,0.495311596,,,4,15,,202006
1,1,20200616,2020,1,0.495311596,,,4,16,,202006
1,1,20200617,2020,1,0.495311596,,,4,17,,202006
1,1,20200618,2020,1,0.495311596,,,4,18,,202006
1,1,20200619,2020,1,0.495311596,,,4,19,,202006
1,1,20200620,2020,1,0.495311596,,,4,20,,202006
1,1,20200621,2020,1,0.495311596,,,4,21,,202006
1,1,20200622,2020,1,0.495311596,,,4,22,,202006
1,1,20200623,2020,1,0.495311596,,,4,23,,202006
1,1,20200624,2020,1,0.495311596,,,4,24,,202006
1,1,20200701,2020,1,2.197066741,,,4,1,,202007
1,1,20200702,2020,1,2.197066741,,,4,2,,202007
1,1,20200703,2020,1,2.197066741,,,4,3,,202007
1,1,20200704,2020,1,2.197066741,,,4,4,,202007
1,1,20200705,2020,1,2.197066741,,,4,5,,202007
1,1,20200706,2020,1,2.197066741,,,4,6,,202007
1,1,20200707,2020,1,2.197066741,,,4,7,,202007
1,1,20200708,2020,1,2.197066741,,,4,8,,202007
1,1,20200709,2020,1,2.197066741,,,4,9,,202007
1,1,20200710,2020,1,2.197066741,,,4,10,,202007
1,1,20200711,2020,1,2.197066741,,,4,11,,202007
1,1,20200712,2020,1,2.197066741,,,4,12,,202007
1,1,20200713,2020,1,2.197066741,,,4,13,,202007
1,1,20200714,2020,1,2.197066741,,,4,14,,202007
1,1,20200715,2020,1,2.197066741,,,4,15,,202007
1,1,20200716,2020,1,2.197066741,,,4,16,,202007
1,1,20200717,2020,1,2.197066741,,,4,17,,202007
1,1,20200718,2020,1,2.197066741,,,4,18,,202007
1,1,20200719,2020,1,2.197066741,,,4,19,,202007
1,1,20200720,2020,1,2.197066741,,,4,20,,202007
1,1,20200721,2020,1,2.197066741,,,4,21,,202007
1,1,20200722,2020,1,2.197066741,,,4,22,,202007
1,1,20200723,2020,1,2.197066741,,,4,23,,202007
1,1,20200724,2020,1,2.197066741,,,4,24,,202007
1,1,20200801,2020,1,1.133135884,,,4,1,,202008
1,1,20200802,2020,1,1.133135884,,,4,2,,202008
1,1,20200803,2020,1,1.133135884,,,4,3,,202008
1,1,20200804,2020,1,1.133135884,,,4,4,,202008
1,1,20200805,2020,1,1.133135884,,,4,5,,202008
1,1,20200806,2020,1,1.133135884,,,4,6,,202008
1,1,20200807,2020,1,1.133135884,,,4,7,,202008
1,1,20200808,2020,1,1.133135884,,,4,8,,202008
1,1,20200809,2020,1,1.133135884,,,4,9,,202008
1,1,20200810,2020,1,1.133135884,,,4,10,,202008
1,1,20200811,2020,1,1.133135884,,,4,11,,202008
1,1,20200812,2020,1,1.133135884,,,4,12,,202008
1,1,20200813,2020,1,1.133135884,,,4,13,,202008
1,1,20200814,2020,1,1.133135884,,,4,14,,202008
1,1,20200815,2020,1,1.133135884,,,4,15,,202008
1,1,20200816,2020,1,1.133135884,,,4,16,,202008
1,1,20200817,2020,1,1.133135884,,,4,17,,202008
1,1,20200818,2020,1,1.133135884,,,4,18,,202008
1,1,20200819,2020,1,1.133135884,,,4,19,,202008
1,1,20200820,2020,1,1.133135884,,,4,20,,202008
1,1,20200821,2020,1,1.133135884,,,4,21,,202008
1,1,20200822,2020,1,1.133135884,,,4,22,,202008
1,1,20200823,2020,1,1.133135884,,,4,23,,202008
1,1,20200824,2020,1,1.133135884,,,4,24,,202008
1,1,20200901,2020,1,5.384401714,,,5,1,,202009
1,1,20200902,2020,1,5.384401714,,,5,2,,202009
1,1,20200903,2020,1,5.384401714,,,5,3,,202009
1,1,20200904,2020,1,5.384401714,,,5,4,,202009
1,1,20200905,2020,1,5.384401714,,,5,5,,202009
1,1,20200906,2020,1,5.384401714,,,5,6,,202009
1,1,20200907,2020,1,5.384401714,,,5,7,,202009
1,1,20200908,2020,1,5.384401714,,,5,8,,202009
1,1,20200909,2020,1,5.384401714,,,5,9,,202009
1,1,20200910,2020,1,5.384401714,,,5,10,,202009
1,1,20200911,2020,1,5.384401714,,,5,11,,202009
1,1,20200912,2020,1,5.384401714,,,5,12,,202009
1,1,20200913,2020,1,5.384401714,,,5,13,,202009
1,1,20200914,2020,1,5.384401714,,,5,14,,202009
1,1,20200915,2020,1,5.384401714,,,5,15,,202009
1,1,20200916,2020,1,5.384401714,,,5,16,,202009
1,1,20200917,2020,1,5.384401714,,,5,17,,202009
1,1,20200918,2020,1,5.384401714,,,5,18,,202009
1,1,20200919,2020,1,5.384401714,,,5,19,,202009
1,1,20200920,2020,1,5.384401714,,,5,20,,202009
1,1,20200921,2020,1,5.384401714,,,5,21,,202009
1,1,20200922,2020,1,5.384401714,,,5,22,,202009
1,1,20200923,2020,1,5.384401714,,,5,23,,202009
1,1,20200924,2020,1,5.384401714,,,5,24,,202009
1,1,20201001,2020,1,3.902043036,,,5,1,,202010
1,1,20201002,2020,1,3.902043036,,,5,2,,202010
1,1,20201003,2020,1,3.902043036,,,5,3,,202010
1,1,20201004,2020,1,3.902043036,,,5,4,,202010
1,1,20201005,2020,1,3.902043036,,,5,5,,202010
1,1,20201006,2020,1,3.902043036,,,5,6,,202010
1,1,20201007,2020,1,3.902043036,,,5,7,,202010
1,1,20201008,2020,1,3.902043036,,,5,8,,202010
1,1,20201009,2020,1,3.902043036,,,5,9,,202010
1,1,20201010,2020,1,3.902043036,,,5,10,,202010
1,1,20201011,2020,1,3.902043036,,,5,11,,202010
1,1,20201012,2020,1,3.902043036,,,5,12,,202010
1,1,20201013,2020,1,3.902043036,,,5,13,,202010
1,1,20201014,2020,1,3.902043036,,,5,14,,202010
1,1,20201015,2020,1,3.902043036,,,5,15,,202010
1,1,20201016,2020,1,3.902043036,,,5,16,,202010
1,1,20201017,2020,1,3.902043036,,,5,17,,202010
1,1,20201018,2020,1,3.902043036,,,5,18,,202010
1,1,20201019,2020,1,3.902043036,,,5,19,,202010
1,1,20201020,2020,1,3.902043036,,,5,20,,202010
1,1,20201021,2020,1,3.902043036,,,5,21,,202010
1,1,20201022,2020,1,3.902043036,,,5,22,,202010
1,1,20201023,2020,1,3.902043036,,,5,23,,202010
1,1,20201024,2020,1,3.902043036,,,5,24,,202010
1,1,20201101,2020,1,9.227664818,,,6,1,,202011
1,1,20201102,2020,1,9.227664818,,,6,2,,202011
1,1,20201103,2020,1,9.227664818,,,6,3,,202011
1,1,20201104,2020,1,9.227664818,,,6,4,,202011
1,1,20201105,2020,1,9.227664818,,,6,5,,202011
1,1,20201106,2020,1,9.227664818,,,6,6,,202011
1,1,20201107,2020,1,9.227664818,,,6,7,,202011
1,1,20201108,2020,1,9.227664818,,,6,8,,202011
1,1,20201109,2020,1,9.227664818,,,6,9,,202011
1,1,20201110,2020,1,9.227664818,,,6,10,,202011
1,1,20201111,2020,1,9.227664818,,,6,11,,202011
1,1,20201112,2020,1,9.227664818,,,6,12,,202011
1,1,20201113,2020,1,9.227664818,,,6,13,,202011
1,1,20201114,2020,1,9.227664818,,,6,14,,202011
1,1,20201115,2020,1,9.227664818,,,6,15,,202011
1,1,20201116,2020,1,9.227664818,,,6,16,,202011
1,1,20201117,2020,1,9.227664818,,,6,17,,202011
1,1,20201118,2020,1,9.227664818,,,6,18,,202011
1,1,20201119,2020,1,9.227664818,,,6,19,,202011
1,1,20201120,2020,1,9.227664818,,,6,20,,202011
1,1,20201121,2020,1,9.227664818,,,6,21,,202011
1,1,20201122,2020,1,9.227664818,,,6,22,,202011
1,1,20201123,2020,1,9.227664818,,,6,23,,202011
1,1,20201124,2020,1,9.227664818,,,6,24,,202011
1,1,20201201,2020,1,1.631298777,,,6,1,,202012
1,1,20201202,2020,1,1.631298777,,,6,2,,202012
1,1,20201203,2020,1,1.631298777,,,6,3,,202012
1,1,20201204,2020,1,1.631298777,,,6,4,,202012
1,1,20201205,2020,1,1.631298777,,,6,5,,202012
1,1,20201206,2020,1,1.631298777,,,6,6,,202012
1,1,20201207,2020,1,1.631298777,,,6,7,,202012
1,1,20201208,2020,1,1.631298777,,,6,8,,202012
1,1,20201209,2020,1,1.631298777,,,6,9,,202012
1,1,20201210,2020,1,1.631298777,,,6,10,,202012
1,1,20201211,2020,1,1.631298777,,,6,11,,202012
1,1,20201212,2020,1,1.631298777,,,6,12,,202012
1,1,20201213,2020,1,1.631298777,,,6,13,,202012
1,1,20201214,2020,1,1.631298777,,,6,14,,202012
1,1,20201215,2020,1,1.631298777,,,6,15,,202012
1,1,20201216,2020,1,1.631298777,,,6,16,,202012
1,1,20201217,2020,1,1.631298777,,,6,17,,202012
1,1,20201218,2020,1,1.631298777,,,6,18,,202012
1,1,20201219,2020,1,1.631298777,,,6,19,,202012
1,1,20201220,2020,1,1.631298777,,,6,20,,202012
1,1,20201221,2020,1,1.631298777,,,6,21,,202012
1,1,20201222,2020,1,1.631298777,,,6,22,,202012
1,1,20201223,2020,1,1.631298777,,,6,23,,202012
1,1,20201224,2020,1,1.631298777,,,6,24,,202012
1,1,20201301,2020,1,31.78893542,,,7,1,,202013
1,1,20201302,2020,1,31.78893542,,,7,2,,202013
1,1,20201303,2020,1,31.78893542,,,7,3,,202013
1,1,20201304,2020,1,31.78893542,,,7,4,,202013
1,1,20201305,2020,1,31.78893542,,,7,5,,202013
1,1,20201306,2020,1,31.78893542,,,7,6,,202013
1,1,20201307,2020,1,31.78893542,,,7,7,,202013
1,1,20201308,2020,1,31.78893542,,,7,8,,202013
1,1,20201309,2020,1,31.78893542,,,7,9,,202013
1,1,20201310,2020,1,31.78893542,,,7,10,,202013
1,1,20201311,2020,1,31.78893542,,,7,11,,202013
1,1,20201312,2020,1,31.78893542,,,7,12,,202013
1,1,20201313,2020,1,31.78893542,,,7,13,,202013
1,1,20201314,2020,1,31.78893542,,,7,14,,202013
1,1,20201315,2020,1,31.78893542,,,7,15,,202013
1,1,20201316,2020,1,31.78893542,,,7,16,,202013
1,1,20201317,2020,1,31.78893542,,,7,17,,202013
1,1,20201318,2020,1,31.78893542,,,7,18,,202013
1,1,20201319,2020,1,31.78893542,,,7,19,,202013
1,1,20201320,2020,1,31.78893542,,,7,20,,202013
1,1,20201321,2020,1,31.78893542,,,7,21,,202013
1,1,20201322,2020,1,31.78893542,,,7,22,,202013
1,1,20201323,2020,1,31.78893542,,,7,23,,202013
1,1,20201324,2020,1,31.78893542,,,7,24,,202013
1,1,20201401,2020,1,4.542375147,,,8,1,,202014
1,1,20201402,2020,1,4.542375147,,,8,2,,202014
1,1,20201403,2020,1,4.542375147,,,8,3,,202014
1,1,20201404,2020,1,4.542375147,,,8,4,,202014
1,1,20201405,2020,1,4.542375147,,,8,5,,202014
1,1,20201406,2020,1,4.542375147,,,8,6,,202014
1,1,20201407,2020,1,4.542375147,,,8,7,,202014
1,1,20201408,2020,1,4.542375147,,,8,8,,202014
1,1,20201409,2020,1,4.542375147,,,8,9,,202014
1,1,20201410,2020,1,4.542375147,,,8,10,,202014
1,1,20201411,2020,1,4.542375147,,,8,11,,202014
1,1,20201412,2020,1,4.542375147,,,8,12,,202014
1,1,20201413,2020,1,4.542375147,,,8,13,,202014
1,1,20201414,2020,1,4.542375147,,,8,14,,202014
1,1,20201415,2020,1,4.542375147,,,8,15,,202014
1,1,20201416,2020,1,4.542375147,,,8,16,,202014
1,1,20201417,2020,1,4.542375147,,,8,17,,202014
1,1,20201418,2020,1,4.542375147,,,8,18,,202014
1,1,20201419,2020,1,4.542375147,,,8,19,,202014
1,1,20201420,2020,1,4.542375147,,,8,20,,202014
1,1,20201421,2020,1,4.542375147,,,8,21,,202014
1,1,20201422,2020,1,4.542375147,,,8,22,,202014
1,1,20201423,2020,1,4.542375147,,,8,23,,202014
1,1,20201424,2020,1,4.542375147,,,8,24,,202014
1,1,20201501,2020,1,13.81665379,,,9,1,,202015
1,1,20201502,2020,1,13.81665379,,,9,2,,202015
1,1,20201503,2020,1,13.81665379,,,9,3,,202015
1,1,20201504,2020,1,13.81665379,,,9,4,,202015
1,1,20201505,2020,1,13.81665379,,,9,5,,202015
1,1,20201506,2020,1,13.81665379,,,9,6,,202015
1,1,20201507,2020,1,13.81665379,,,9,7,,202015
1,1,20201508,2020,1,13.81665379,,,9,8,,202015
1,1,20201509,2020,1,13.81665379,,,9,9,,202015
1,1,20201510,2020,1,13.81665379,,,9,10,,202015
1,1,20201511,2020,1,13.81665379,,,9,11,,202015
1,1,20201512,2020,1,13.81665379,,,9,12,,202015
1,1,20201513,2020,1,13.81665379,,,9,13,,202015
1,1,20201514,2020,1,13.81665379,,,9,14,,202015
1,1,20201515,2020,1,13.81665379,,,9,15,,202015
1,1,20201516,2020,1,13.81665379,,,9,16,,202015
1,1,20201517,2020,1,13.81665379,,,9,17,,202015
1,1,20201518,2020,1,13.81665379,,,9,18,,202015
1,1,20201519,2020,1,13.81665379,,,9,19,,202015
1,1,20201520,2020,1,13.81665379,,,9,20,,202015
1,1,20201521,2020,1,13.81665379,,,9,21,,202015
1,1,20201522,2020,1,13.81665379,,,9,22,,202015
1,1,20201523,2020,1,13.81665379,,,9,23,,202015
1,1,20201524,2020,1,13.81665379,,,9,24,,202015
1,1,20201601,2020,1,16.3482292,,,9,1,,202016
1,1,20201602,2020,1,16.3482292,,,9,2,,202016
1,1,20201603,2020,1,16.3482292,,,9,3,,202016
1,1,20201604,2020,1,16.3482292,,,9,4,,202016
1,1,20201605,2020,1,16.3482292,,,9,5,,202016
1,1,20201606,2020,1,16.3482292,,,9,6,,202016
1,1,20201607,2020,1,16.3482292,,,9,7,,202016
1,1,20201608,2020,1,16.3482292,,,9,8,,202016
1,1,20201609,2020,1,16.3482292,,,9,9,,202016
1,1,20201610,2020,1,16.3482292,,,9,10,,202016
1,1,20201611,2020,1,16.3482292,,,9,11,,202016
1,1,20201612,2020,1,16.3482292,,,9,12,,202016
1,1,20201613,2020,1,16.3482292,,,9,13,,202016
1,1,20201614,2020,1,16.3482292,,,9,14,,202016
1,1,20201615,2020,1,16.3482292,,,9,15,,202016
1,1,20201616,2020,1,16.3482292,,,9,16,,202016
1,1,20201617,2020,1,16.3482292,,,9,17,,202016
1,1,20201618,2020,1,16.3482292,,,9,18,,202016
1,1,20201619,2020,1,16.3482292,,,9,19,,202016
1,1,20201620,2020,1,16.3482292,,,9,20,,202016
1,1,20201621,2020,1,16.3482292,,,9,21,,202016
1,1,20201622,2020,1,16.3482292,,,9,22,,202016
1,1,20201623,2020,1,16.3482292,,,9,23,,202016
1,1,20201624,2020,1,16.3482292,,,9,24,,202016
1,1,20201701,2020,1,19.04241429,,,11,1,,202017
1,1,20201702,2020,1,19.04241429,,,11,2,,202017
1,1,20201703,2020,1,19.04241429,,,11,3,,202017
1,1,20201704,2020,1,19.04241429,,,11,4,,202017
1,1,20201705,2020,1,19.04241429,,,11,5,,202017
1,1,20201706,2020,1,19.04241429,,,11,6,,202017
1,1,20201707,2020,1,19.04241429,,,11,7,,202017
1,1,20201708,2020,1,19.04241429,,,11,8,,202017
1,1,20201709,2020,1,19.04241429,,,11,9,,202017
1,1,20201710,2020,1,19.04241429,,,11,10,,202017
1,1,20201711,2020,1,19.04241429,,,11,11,,202017
1,1,20201712,2020,1,19.04241429,,,11,12,,202017
1,1,20201713,2020,1,19.04241429,,,11,13,,202017
1,1,20201714,2020,1,19.04241429,,,11,14,,202017
1,1,20201715,2020,1,19.04241429,,,11,15,,202017
1,1,20201716,2020,1,19.04241429,,,11,16,,202017
1,1,20201717,2020,1,19.04241429,,,11,17,,202017
1,1,20201718,2020,1,19.04241429,,,11,18,,202017
1,1,20201719,2020,1,19.04241429,,,11,19,,202017
1,1,20201720,2020,1,19.04241429,,,11,20,,202017
1,1,20201721,2020,1,19.04241429,,,11,21,,202017
1,1,20201722,2020,1,19.04241429,,,11,22,,202017
1,1,20201723,2020,1,19.04241429,,,11,23,,202017
1,1,20201724,2020,1,19.04241429,,,11,24,,202017
1,1,20201801,2020,1,0.664208233,,,1,1,,202018
1,1,20201802,2020,1,0.664208233,,,1,2,,202018
1,1,20201803,2020,1,0.664208233,,,1,3,,202018
1,1,20201804,2020,1,0.664208233,,,1,4,,202018
1,1,20201805,2020,1,0.664208233,,,1,5,,202018
1,1,20201806,2020,1,0.664208233,,,1,6,,202018
1,1,20201807,2020,1,0.664208233,,,1,7,,202018
1,1,20201808,2020,1,0.664208233,,,1,8,,202018
1,1,20201809,2020,1,0.664208233,,,1,9,,202018
1,1,20201810,2020,1,0.664208233,,,1,10,,202018
1,1,20201811,2020,1,0.664208233,,,1,11,,202018
1,1,20201812,2020,1,0.664208233,,,1,12,,202018
1,1,20201813,2020,1,0.664208233,,,1,13,,202018
1,1,20201814,2020,1,0.664208233,,,1,14,,202018
1,1,20201815,2020,1,0.664208233,,,1,15,,202018
1,1,20201816,2020,1,0.664208233,,,1,16,,202018
1,1,20201817,2020,1,0.664208233,,,1,17,,202018
1,1,20201818,2020,1,0.664208233,,,1,18,,202018
1,1,20201819,2020,1,0.664208233,,,1,19,,202018
1,1,20201820,2020,1,0.664208233,,,1,20,,202018
1,1,20201821,2020,1,0.664208233,,,1,21,,202018
1,1,20201822,2020,1,0.664208233,,,1,22,,202018
1,1,20201823,2020,1,0.664208233,,,1,23,,202018
1,1,20201824,2020,1,0.664208233,,,1,24,,202018
1,1,20201901,2020,1,0.82152988,,,4,1,,202019
1,1,20201902,2020,1,0.82152988,,,4,2,,202019
1,1,20201903,2020,1,0.82152988,,,4,3,,202019
1,1,20201904,2020,1,0.82152988,,,4,4,,202019
1,1,20201905,2020,1,0.82152988,,,4,5,,202019
1,1,20201906,2020,1,0.82152988,,,4,6,,202019
1,1,20201907,2020,1,0.82152988,,,4,7,,202019
1,1,20201908,2020,1,0.82152988,,,4,8,,202019
1,1,20201909,2020,1,0.82152988,,,4,9,,202019
1,1,20201910,2020,1,0.82152988,,,4,10,,202019
1,1,20201911,2020,1,0.82152988,,,4,11,,202019
1,1,20201912,2020,1,0.82152988,,,4,12,,202019
1,1,20201913,2020,1,0.82152988,,,4,13,,202019
1,1,20201914,2020,1,0.82152988,,,4,14,,202019
1,1,20201915,2020,1,0.82152988,,,4,15,,202019
1,1,20201916,2020,1,0.82152988,,,4,16,,202019
1,1,20201917,2020,1,0.82152988,,,4,17,,202019
1,1,20201918,2020,1,0.82152988,,,4,18,,202019
1,1,20201919,2020,1,0.82152988,,,4,19,,202019
1,1,20201920,2020,1,0.82152988,,,4,20,,202019
1,1,20201921,2020,1,0.82152988,,,4,21,,202019
1,1,20201922,2020,1,0.82152988,,,4,22,,202019
1,1,20201923,2020,1,0.82152988,,,4,23,,202019
1,1,20201924,2020,1,0.82152988,,,4,24,,202019
1,1,20202001,2020,1,5.808472446,,,5,1,,202020
1,1,20202002,2020,1,5.808472446,,,5,2,,202020
1,1,20202003,2020,1,5.808472446,,,5,3,,202020
1,1,20202004,2020,1,5.808472446,,,5,4,,202020
1,1,20202005,2020,1,5.808472446,,,5,5,,202020
1,1,20202006,2020,1,5.808472446,,,5,6,,202020
1,1,20202007,2020,1,5.808472446,,,5,7,,202020
1,1,20202008,2020,1,5.808472446,,,5,8,,202020
1,1,20202009,2020,1,5.808472446,,,5,9,,202020
1,1,20202010,2020,1,5.808472446,,,5,10,,202020
1,1,20202011,2020,1,5.808472446,,,5,11,,202020
1,1,20202012,2020,1,5.808472446,,,5,12,,202020
1,1,20202013,2020,1,5.808472446,,,5,13,,202020
1,1,20202014,2020,1,5.808472446,,,5,14,,202020
1,1,20202015,2020,1,5.808472446,,,5,15,,202020
1,1,20202016,2020,1,5.808472446,,,5,16,,202020
1,1,20202017,2020,1,5.808472446,,,5,17,,202020
1,1,20202018,2020,1,5.808472446,,,5,18,,202020
1,1,20202019,2020,1,5.808472446,,,5,19,,202020
1,1,20202020,2020,1,5.808472446,,,5,20,,202020
