regulation_up_ba,stage_id,timepoint,regulation_up_mw
CAISO,1,20201403,213
CAISO,1,20201404,213
CAISO,1,20201405,217
CAISO,1,20201406,193
CAISO,1,20201407,224
CAISO,1,20201408,300
CAISO,1,20201409,300
CAISO,1,20201410,320
CAISO,1,20201411,337
CAISO,1,20201412,369
CAISO,1,20201413,401
CAISO,1,20201414,332
CAISO,1,20201415,377
CAISO,1,20201416,361
CAISO,1,20201417,364
CAISO,1,20201418,355
CAISO,1,20201419,286
CAISO,1,20201420,215
CAISO,1,20201421,213
CAISO,1,20201422,202
CAISO,1,20201423,192
CAISO,1,20201424,184
CAISO,1,20201501,191
CAISO,1,20201502,185
CAISO,1,20201503,173
CAISO,1,20201504,171
CAISO,1,20201505,171
CAISO,1,20201506,170
CAISO,1,20201507,218
CAISO,1,20201508,638
CAISO,1,20201509,354
CAISO,1,20201510,376
CAISO,1,20201511,340
CAISO,1,20201512,343
CAISO,1,20201513,358
CAISO,1,20201514,449
CAISO,1,20201515,331
CAISO,1,20201516,634
CAISO,1,20201517,428
CAISO,1,20201518,412
CAISO,1,20201519,242
CAISO,1,20201520,241
CAISO,1,20201521,234
CAISO,1,20201522,221
CAISO,1,20201523,208
CAISO,1,20201524,197
CAISO,1,20201601,136
CAISO,1,20201602,132
CAISO,1,20201603,131
CAISO,1,20201604,132
CAISO,1,20201605,138
CAISO,1,20201606,150
CAISO,1,20201607,156
CAISO,1,20201608,638
CAISO,1,20201609,351
CAISO,1,20201610,369
CAISO,1,20201611,327
CAISO,1,20201612,325
CAISO,1,20201613,338
CAISO,1,20201614,431
CAISO,1,20201615,304
CAISO,1,20201616,349
CAISO,1,20201617,397
CAISO,1,20201618,379
CAISO,1,20201619,185
CAISO,1,20201620,184
CAISO,1,20201621,177
CAISO,1,20201622,163
CAISO,1,20201623,151
CAISO,1,20201624,143
CAISO,1,20201701,161
CAISO,1,20201702,158
CAISO,1,20201703,156
CAISO,1,20201704,155
CAISO,1,20201705,157
CAISO,1,20201706,163
CAISO,1,20201707,174
CAISO,1,20201708,342
CAISO,1,20201709,366
CAISO,1,20201710,439
CAISO,1,20201711,442
CAISO,1,20201712,404
CAISO,1,20201713,477
CAISO,1,20201714,516
CAISO,1,20201715,607
CAISO,1,20201716,633
CAISO,1,20201717,625
CAISO,1,20201718,392
CAISO,1,20201719,239
CAISO,1,20201720,212
CAISO,1,20201721,201
CAISO,1,20201722,188
CAISO,1,20201723,179
CAISO,1,20201724,169
CAISO,1,20201801,171
CAISO,1,20201802,168
CAISO,1,20201803,166
CAISO,1,20201804,166
CAISO,1,20201805,168
CAISO,1,20201806,174
CAISO,1,20201807,183
CAISO,1,20201808,206
CAISO,1,20201809,438
CAISO,1,20201810,455
CAISO,1,20201811,503
CAISO,1,20201812,463
CAISO,1,20201813,461
CAISO,1,20201814,564
CAISO,1,20201815,615
CAISO,1,20201816,632
CAISO,1,20201817,607
CAISO,1,20201818,223
CAISO,1,20201819,213
CAISO,1,20201820,212
CAISO,1,20201821,209
CAISO,1,20201822,233
CAISO,1,20201823,224
CAISO,1,20201824,217
CAISO,1,20201901,160
CAISO,1,20201902,158
CAISO,1,20201903,157
CAISO,1,20201904,158
CAISO,1,20201905,163
CAISO,1,20201906,171
CAISO,1,20201907,330
CAISO,1,20201908,500
CAISO,1,20201909,517
CAISO,1,20201910,485
CAISO,1,20201911,456
CAISO,1,20201912,506
CAISO,1,20201913,464
CAISO,1,20201914,457
CAISO,1,20201915,663
CAISO,1,20201916,521
CAISO,1,20201917,639
CAISO,1,20201918,534
CAISO,1,20201919,213
CAISO,1,20201920,229
CAISO,1,20201921,228
CAISO,1,20201922,223
CAISO,1,20201923,217
CAISO,1,20201924,174
CAISO,1,20202001,151
CAISO,1,20202002,148
CAISO,1,20202003,147
CAISO,1,20202004,149
CAISO,1,20202005,154
CAISO,1,20202006,180
CAISO,1,20202007,336
CAISO,1,20202008,501
CAISO,1,20202009,451
CAISO,1,20202010,505
CAISO,1,20202011,478
CAISO,1,20202012,526
CAISO,1,20202013,482
CAISO,1,20202014,472
CAISO,1,20202015,665
CAISO,1,20202016,524
CAISO,1,20202017,616
CAISO,1,20202018,530
CAISO,1,20202019,200
CAISO,1,20202020,182
CAISO,1,20202021,179
CAISO,1,20202022,170
CAISO,1,20202023,160
CAISO,1,20202024,154
CAISO,1,20202101,160
CAISO,1,20202102,156
CAISO,1,20202103,155
CAISO,1,20202104,177
CAISO,1,20202105,181
CAISO,1,20202106,222
CAISO,1,20202107,603
CAISO,1,20202108,490
CAISO,1,20202109,437
CAISO,1,20202110,496
CAISO,1,20202111,470
CAISO,1,20202112,521
CAISO,1,20202113,480
CAISO,1,20202114,476
CAISO,1,20202115,671
CAISO,1,20202116,557
CAISO,1,20202117,631
CAISO,1,20202118,552
CAISO,1,20202119,245
CAISO,1,20202120,226
CAISO,1,20202121,220
CAISO,1,20202122,188
CAISO,1,20202123,194
CAISO,1,20202124,186
CAISO,1,20202201,147
CAISO,1,20202202,145
CAISO,1,20202203,144
CAISO,1,20202204,146
CAISO,1,20202205,150
CAISO,1,20202206,438
CAISO,1,20202207,338
CAISO,1,20202208,318
CAISO,1,20202209,317
CAISO,1,20202210,335
CAISO,1,20202211,350
CAISO,1,20202212,381
CAISO,1,20202213,394
CAISO,1,20202214,322
CAISO,1,20202215,353
CAISO,1,20202216,318
CAISO,1,20202217,320
CAISO,1,20202218,335
CAISO,1,20202219,262
CAISO,1,20202220,182
CAISO,1,20202221,180
CAISO,1,20202222,170
CAISO,1,20202223,161
CAISO,1,20202224,156
CAISO,1,20202301,218
CAISO,1,20202302,215
CAISO,1,20202303,183
CAISO,1,20202304,182
CAISO,1,20202305,173
CAISO,1,20202306,172
CAISO,1,20202307,195
CAISO,1,20202308,246
CAISO,1,20202309,269
CAISO,1,20202310,291
CAISO,1,20202311,310
CAISO,1,20202312,348
CAISO,1,20202313,383
CAISO,1,20202314,325
CAISO,1,20202315,368
CAISO,1,20202316,336
CAISO,1,20202317,521
CAISO,1,20202318,535
CAISO,1,20202319,294
CAISO,1,20202320,224
CAISO,1,20202321,220
CAISO,1,20202322,211
CAISO,1,20202323,192
CAISO,1,20202324,184
CAISO,1,20202401,132
CAISO,1,20202402,129
CAISO,1,20202403,128
CAISO,1,20202404,129
CAISO,1,20202405,135
CAISO,1,20202406,144
CAISO,1,20202407,151
CAISO,1,20202408,329
CAISO,1,20202409,346
CAISO,1,20202410,364
CAISO,1,20202411,321
CAISO,1,20202412,319
CAISO,1,20202413,331
CAISO,1,20202414,427
CAISO,1,20202415,590
CAISO,1,20202416,617
CAISO,1,20202417,607
CAISO,1,20202418,379
CAISO,1,20202419,179
CAISO,1,20202420,174
CAISO,1,20202421,166
CAISO,1,20202422,155
CAISO,1,20202423,144
CAISO,1,20202424,136
CAISO,1,20202501,210
CAISO,1,20202502,208
CAISO,1,20202503,175
CAISO,1,20202504,165
CAISO,1,20202505,157
CAISO,1,20202506,163
CAISO,1,20202507,169
CAISO,1,20202508,327
CAISO,1,20202509,344
CAISO,1,20202510,361
CAISO,1,20202511,316
CAISO,1,20202512,312
CAISO,1,20202513,323
CAISO,1,20202514,419
CAISO,1,20202515,584
CAISO,1,20202516,612
CAISO,1,20202517,603
CAISO,1,20202518,375
CAISO,1,20202519,170
CAISO,1,20202520,167
CAISO,1,20202521,163
CAISO,1,20202522,157
CAISO,1,20202523,149
CAISO,1,20202524,141
CAISO,1,20202601,167
CAISO,1,20202602,162
CAISO,1,20202603,160
CAISO,1,20202604,158
CAISO,1,20202605,158
CAISO,1,20202606,160
CAISO,1,20202607,163
CAISO,1,20202608,183
CAISO,1,20202609,419
CAISO,1,20202610,437
CAISO,1,20202611,430
CAISO,1,20202612,439
CAISO,1,20202613,360
CAISO,1,20202614,454
CAISO,1,20202615,598
CAISO,1,20202616,617
CAISO,1,20202617,592
CAISO,1,20202618,184
CAISO,1,20202619,167
CAISO,1,20202620,165
CAISO,1,20202621,164
CAISO,1,20202622,162
CAISO,1,20202623,155
CAISO,1,20202624,147
CAISO,1,20202701,175
CAISO,1,20202702,162
CAISO,1,20202703,159
CAISO,1,20202704,159
CAISO,1,20202705,160
CAISO,1,20202706,166
CAISO,1,20202707,152
CAISO,1,20202708,178
CAISO,1,20202709,425
CAISO,1,20202710,442
CAISO,1,20202711,491
CAISO,1,20202712,433
CAISO,1,20202713,440
CAISO,1,20202714,547
CAISO,1,20202715,609
CAISO,1,20202716,627
CAISO,1,20202717,601
CAISO,1,20202718,211
CAISO,1,20202719,197
CAISO,1,20202720,195
CAISO,1,20202721,192
CAISO,1,20202722,188
CAISO,1,20202723,178
CAISO,1,20202724,170
CAISO,1,20202801,134
CAISO,1,20202802,130
CAISO,1,20202803,127
CAISO,1,20202804,126
CAISO,1,20202805,156
CAISO,1,20202806,161
CAISO,1,20202807,170
CAISO,1,20202808,194
CAISO,1,20202809,424
CAISO,1,20202810,441
CAISO,1,20202811,491
CAISO,1,20202812,433
CAISO,1,20202813,433
CAISO,1,20202814,541
CAISO,1,20202815,604
CAISO,1,20202816,622
CAISO,1,20202817,596
CAISO,1,20202818,189
CAISO,1,20202819,173
CAISO,1,20202820,170
CAISO,1,20202821,165
CAISO,1,20202822,160
CAISO,1,20202823,149
CAISO,1,20202824,140
CAISO,1,20202901,208
CAISO,1,20202902,206
CAISO,1,20202903,206
CAISO,1,20202904,207
CAISO,1,20202905,210
CAISO,1,20202906,217
CAISO,1,20202907,357
CAISO,1,20202908,517
CAISO,1,20202909,523
CAISO,1,20202910,491
CAISO,1,20202911,463
CAISO,1,20202912,512
CAISO,1,20202913,464
CAISO,1,20202914,454
CAISO,1,20202915,652
CAISO,1,20202916,522
CAISO,1,20202917,614
CAISO,1,20202918,535
CAISO,1,20202919,215
CAISO,1,20202920,188
CAISO,1,20202921,184
CAISO,1,20202922,176
CAISO,1,20202923,167
CAISO,1,20202924,162
CAISO,1,20203001,169
CAISO,1,20203002,158
CAISO,1,20203003,157
CAISO,1,20203004,156
CAISO,1,20203005,158
CAISO,1,20203006,159
CAISO,1,20203007,310
CAISO,1,20203008,468
CAISO,1,20203009,413
CAISO,1,20203010,471
CAISO,1,20203011,442
CAISO,1,20203012,493
CAISO,1,20203013,445
CAISO,1,20203014,435
CAISO,1,20203015,639
CAISO,1,20203016,506
CAISO,1,20203017,601
CAISO,1,20203018,520
CAISO,1,20203019,176
CAISO,1,20203020,154
CAISO,1,20203021,153
CAISO,1,20203022,147
CAISO,1,20203023,140
CAISO,1,20203024,134
CAISO,1,20203101,159
CAISO,1,20203102,157
CAISO,1,20203103,155
CAISO,1,20203104,128
CAISO,1,20203105,134
CAISO,1,20203106,142
CAISO,1,20203107,316
CAISO,1,20203108,472
CAISO,1,20203109,418
CAISO,1,20203110,476
CAISO,1,20203111,447
CAISO,1,20203112,498
CAISO,1,20203113,451
CAISO,1,20203114,441
CAISO,1,20203115,643
CAISO,1,20203116,518
CAISO,1,20203117,611
CAISO,1,20203118,534
CAISO,1,20203119,218
CAISO,1,20203120,229
CAISO,1,20203121,199
CAISO,1,20203122,183
CAISO,1,20203123,176
CAISO,1,20203124,162
CAISO,1,20203201,210
CAISO,1,20203202,208
CAISO,1,20203203,208
CAISO,1,20203204,208
CAISO,1,20203205,181
CAISO,1,20203206,187
CAISO,1,20203207,334
CAISO,1,20203208,502
CAISO,1,20203209,520
CAISO,1,20203210,488
CAISO,1,20203211,463
CAISO,1,20203212,512
CAISO,1,20203213,480
CAISO,1,20203214,470
CAISO,1,20203215,734
CAISO,1,20203216,673
CAISO,1,20203217,650
CAISO,1,20203218,548
CAISO,1,20203219,243
CAISO,1,20203220,193
CAISO,1,20203221,191
CAISO,1,20203222,166
CAISO,1,20203223,158
CAISO,1,20203224,151
CAISO,1,20203301,147
CAISO,1,20203302,144
CAISO,1,20203303,143
CAISO,1,20203304,166
CAISO,1,20203305,167
CAISO,1,20203306,167
CAISO,1,20203307,348
CAISO,1,20203308,479
CAISO,1,20203309,426
CAISO,1,20203310,483
CAISO,1,20203311,454
CAISO,1,20203312,504
CAISO,1,20203313,458
CAISO,1,20203314,448
CAISO,1,20203315,642
CAISO,1,20203316,510
CAISO,1,20203317,605
CAISO,1,20203318,524
CAISO,1,20203319,186
CAISO,1,20203320,167
CAISO,1,20203321,166
CAISO,1,20203322,160
CAISO,1,20203323,154
CAISO,1,20203324,149
CAISO,1,20203401,147
CAISO,1,20203402,144
CAISO,1,20203403,143
CAISO,1,20203404,166
CAISO,1,20203405,167
CAISO,1,20203406,167
CAISO,1,20203407,348
CAISO,1,20203408,479
CAISO,1,20203409,426
CAISO,1,20203410,483
CAISO,1,20203411,454
CAISO,1,20203412,504
CAISO,1,20203413,458
CAISO,1,20203414,448
CAISO,1,20203415,642
CAISO,1,20203416,510
CAISO,1,20203417,605
CAISO,1,20203418,524
CAISO,1,20203419,186
CAISO,1,20203420,167
CAISO,1,20203421,166
CAISO,1,20203422,160
CAISO,1,20203423,154
CAISO,1,20203424,149
CAISO,1,20203501,168
CAISO,1,20203502,165
CAISO,1,20203503,163
CAISO,1,20203504,138
CAISO,1,20203505,142
CAISO,1,20203506,427
CAISO,1,20203507,325
CAISO,1,20203508,280
CAISO,1,20203509,280
CAISO,1,20203510,300
CAISO,1,20203511,318
CAISO,1,20203512,353
CAISO,1,20203513,388
CAISO,1,20203514,317
CAISO,1,20203515,370
CAISO,1,20203516,337
CAISO,1,20203517,344
CAISO,1,20203518,362
CAISO,1,20203519,246
CAISO,1,20203520,223
CAISO,1,20203521,221
CAISO,1,20203522,210
CAISO,1,20203523,190
CAISO,1,20203524,182
CAISO,1,20203601,177
CAISO,1,20203602,165
CAISO,1,20203603,165
CAISO,1,20203604,165
CAISO,1,20203605,170
CAISO,1,20203606,175
CAISO,1,20203607,190
CAISO,1,20203608,243
CAISO,1,20203609,281
CAISO,1,20203610,303
CAISO,1,20203611,321
CAISO,1,20203612,356
CAISO,1,20203613,390
CAISO,1,20203614,320
CAISO,1,20203615,363
CAISO,1,20203616,329
CAISO,1,20203617,344
CAISO,1,20203618,533
CAISO,1,20203619,290
CAISO,1,20203620,220
CAISO,1,20203621,215
CAISO,1,20203622,196
CAISO,1,20203623,185
CAISO,1,20203624,177
CAISO,1,20203701,131
CAISO,1,20203702,128
CAISO,1,20203703,127
CAISO,1,20203704,129
CAISO,1,20203705,161
CAISO,1,20203706,172
CAISO,1,20203707,176
CAISO,1,20203708,642
CAISO,1,20203709,357
CAISO,1,20203710,373
CAISO,1,20203711,330
CAISO,1,20203712,327
CAISO,1,20203713,337
CAISO,1,20203714,421
CAISO,1,20203715,289
CAISO,1,20203716,335
CAISO,1,20203717,603
CAISO,1,20203718,372
CAISO,1,20203719,191
CAISO,1,20203720,189
CAISO,1,20203721,184
CAISO,1,20203722,175
CAISO,1,20203723,176
CAISO,1,20203724,171
CAISO,1,20210101,166
CAISO,1,20210102,160
CAISO,1,20210103,132
CAISO,1,20210104,129
CAISO,1,20210105,125
CAISO,1,20210106,126
CAISO,1,20210107,128
CAISO,1,20210108,158
CAISO,1,20210109,468
CAISO,1,20210110,489
CAISO,1,20210111,489
CAISO,1,20210112,501
CAISO,1,20210113,411
CAISO,1,20210114,518
CAISO,1,20210115,782
CAISO,1,20210116,704
CAISO,1,20210117,675
CAISO,1,20210118,206
CAISO,1,20210119,184
CAISO,1,20210120,183
CAISO,1,20210121,181
CAISO,1,20210122,179
CAISO,1,20210123,172
CAISO,1,20210124,164
CAISO,1,20210201,159
CAISO,1,20210202,156
CAISO,1,20210203,155
CAISO,1,20210204,154
CAISO,1,20210205,155
CAISO,1,20210206,161
CAISO,1,20210207,169
CAISO,1,20210208,197
CAISO,1,20210209,484
CAISO,1,20210210,496
CAISO,1,20210211,552
CAISO,1,20210212,494
CAISO,1,20210213,493
CAISO,1,20210214,617
CAISO,1,20210215,688
CAISO,1,20210216,709
CAISO,1,20210217,679
CAISO,1,20210218,217
CAISO,1,20210219,196
CAISO,1,20210220,193
CAISO,1,20210221,190
CAISO,1,20210222,186
CAISO,1,20210223,178
CAISO,1,20210224,169
CAISO,1,20210301,179
CAISO,1,20210302,167
CAISO,1,20210303,166
CAISO,1,20210304,164
CAISO,1,20210305,166
CAISO,1,20210306,163
CAISO,1,20210307,171
CAISO,1,20210308,200
CAISO,1,20210309,485
CAISO,1,20210310,505
CAISO,1,20210311,497
CAISO,1,20210312,508
CAISO,1,20210313,420
CAISO,1,20210314,546
CAISO,1,20210315,688
CAISO,1,20210316,711
CAISO,1,20210317,682
CAISO,1,20210318,220
CAISO,1,20210319,205
CAISO,1,20210320,203
CAISO,1,20210321,201
CAISO,1,20210322,205
CAISO,1,20210323,196
CAISO,1,20210324,188
CAISO,1,20210401,135
CAISO,1,20210402,131
CAISO,1,20210403,129
CAISO,1,20210404,128
CAISO,1,20210405,130
CAISO,1,20210406,137
CAISO,1,20210407,352
CAISO,1,20210408,554
CAISO,1,20210409,575
CAISO,1,20210410,821
CAISO,1,20210411,505
CAISO,1,20210412,564
CAISO,1,20210413,511
CAISO,1,20210414,708
CAISO,1,20210415,814
CAISO,1,20210416,743
CAISO,1,20210417,716
CAISO,1,20210418,595
CAISO,1,20210419,207
CAISO,1,20210420,175
CAISO,1,20210421,195
CAISO,1,20210422,187
CAISO,1,20210423,153
CAISO,1,20210424,143
CAISO,1,20210501,182
CAISO,1,20210502,179
CAISO,1,20210503,177
CAISO,1,20210504,169
CAISO,1,20210505,174
CAISO,1,20210506,175
CAISO,1,20210507,369
CAISO,1,20210508,564
CAISO,1,20210509,584
CAISO,1,20210510,827
CAISO,1,20210511,652
CAISO,1,20210512,696
CAISO,1,20210513,703
CAISO,1,20210514,715
CAISO,1,20210515,822
CAISO,1,20210516,753
CAISO,1,20210517,726
CAISO,1,20210518,608
CAISO,1,20210519,263
CAISO,1,20210520,239
CAISO,1,20210521,235
CAISO,1,20210522,195
CAISO,1,20210523,187
CAISO,1,20210524,216
CAISO,1,20210601,149
CAISO,1,20210602,168
CAISO,1,20210603,167
CAISO,1,20210604,174
CAISO,1,20210605,214
CAISO,1,20210606,190
CAISO,1,20210607,376
CAISO,1,20210608,566
CAISO,1,20210609,587
CAISO,1,20210610,550
CAISO,1,20210611,517
CAISO,1,20210612,575
CAISO,1,20210613,523
CAISO,1,20210614,515
CAISO,1,20210615,823
CAISO,1,20210616,753
CAISO,1,20210617,726
CAISO,1,20210618,617
CAISO,1,20210619,259
CAISO,1,20210620,235
CAISO,1,20210621,208
CAISO,1,20210622,200
CAISO,1,20210623,190
CAISO,1,20210624,184
CAISO,1,20210701,149
CAISO,1,20210702,148
CAISO,1,20210703,146
CAISO,1,20210704,146
CAISO,1,20210705,147
CAISO,1,20210706,150
CAISO,1,20210707,365
CAISO,1,20210708,575
CAISO,1,20210709,594
CAISO,1,20210710,834
CAISO,1,20210711,555
CAISO,1,20210712,581
CAISO,1,20210713,530
CAISO,1,20210714,549
CAISO,1,20210715,816
CAISO,1,20210716,741
CAISO,1,20210717,714
CAISO,1,20210718,593
CAISO,1,20210719,197
CAISO,1,20210720,170
CAISO,1,20210721,172
CAISO,1,20210722,162
CAISO,1,20210723,158
CAISO,1,20210724,153
CAISO,1,20210801,177
CAISO,1,20210802,169
CAISO,1,20210803,168
CAISO,1,20210804,148
CAISO,1,20210805,148
CAISO,1,20210806,149
CAISO,1,20210807,363
CAISO,1,20210808,554
CAISO,1,20210809,581
CAISO,1,20210810,825
CAISO,1,20210811,643
CAISO,1,20210812,688
CAISO,1,20210813,548
CAISO,1,20210814,705
CAISO,1,20210815,812
CAISO,1,20210816,746
