project	timepoint	availability_derate_independent	hyb_stor_cap_availability_derate_independent
Batteries	79	0.965	0.0
Batteries	80	0.965	0.0
Batteries	81	0.965	0.0
Batteries	82	0.965	0.0
Batteries	83	0.965	0.0
Batteries	84	0.965	0.0
Batteries	85	0.965	0.0
Batteries	86	0.965	0.0
Batteries	87	0.965	0.0
Batteries	88	0.965	0.0
Batteries	89	0.965	0.0
Batteries	90	0.965	0.0
Batteries	91	0.965	0.0
Batteries	92	0.965	0.0
Batteries	93	0.965	0.0
Batteries	94	0.965	0.0
Batteries	95	0.965	0.0
Batteries	96	0.965	0.0
Batteries	97	0.965	0.0
Batteries	98	0.965	0.0
Batteries	99	0.965	0.0
Batteries	100	0.965	0.0
Batteries	101	0.965	0.0
Batteries	102	0.965	0.0
Batteries	103	0.965	0.0
Batteries	104	0.965	0.0
Batteries	105	0.965	0.0
Batteries	106	0.965	0.0
Batteries	107	0.965	0.0
Batteries	108	0.965	0.0
Batteries	109	0.965	0.0
Batteries	110	0.965	0.0
Batteries	111	0.965	0.0
Batteries	112	0.965	0.0
Batteries	113	0.965	0.0
Batteries	114	0.965	0.0
Batteries	115	0.965	0.0
Batteries	116	0.965	0.0
Batteries	117	0.965	0.0
Batteries	118	0.965	0.0
Batteries	119	0.965	0.0
Batteries	120	0.965	0.0
Batteries	121	0.965	0.0
Batteries	122	0.965	0.0
Batteries	123	0.965	0.0
Batteries	124	0.965	0.0
Batteries	125	0.965	0.0
Batteries	126	0.965	0.0
Batteries	127	0.965	0.0
Batteries	128	0.965	0.0
Batteries	129	0.965	0.0
Batteries	130	0.965	0.0
Batteries	131	0.965	0.0
Batteries	132	0.965	0.0
Batteries	133	0.965	0.0
Batteries	134	0.965	0.0
Batteries	135	0.965	0.0
Batteries	136	0.965	0.0
Batteries	137	0.965	0.0
Batteries	138	0.965	0.0
Batteries	139	0.965	0.0
Batteries	140	0.965	0.0
Batteries	141	0.965	0.0
Batteries	142	0.965	0.0
Batteries	143	0.965	0.0
Batteries	144	0.965	0.0
Batteries	145	0.965	0.0
Batteries	146	0.965	0.0
Batteries	147	0.965	0.0
Batteries	148	0.965	0.0
Batteries	149	0.965	0.0
Batteries	150	0.965	0.0
Batteries	151	0.965	0.0
Batteries	152	0.965	0.0
Batteries	153	0.965	0.0
Batteries	154	0.965	0.0
Batteries	155	0.965	0.0
Batteries	156	0.965	0.0
Batteries	157	0.965	0.0
Batteries	158	0.965	0.0
Batteries	159	0.965	0.0
Batteries	160	0.965	0.0
Batteries	161	0.965	0.0
Batteries	162	0.965	0.0
Batteries	163	0.965	0.0
Batteries	164	0.965	0.0
Batteries	165	0.965	0.0
Batteries	166	0.965	0.0
Batteries	167	0.965	0.0
Batteries	168	0.965	0.0
Gas	1	0.7	0.0
Gas	2	0.7	0.0
Gas	3	0.7	0.0
Gas	4	0.7	0.0
Gas	5	0.7	0.0
Gas	6	0.7	0.0
Gas	7	0.7	0.0
Gas	8	0.7	0.0
Gas	9	0.7	0.0
Gas	10	0.7	0.0
Gas	11	0.7	0.0
Gas	12	0.7	0.0
Gas	13	0.7	0.0
Gas	14	0.7	0.0
Gas	15	1.0	0.0
Gas	16	1.0	0.0
Gas	17	1.0	0.0
Gas	18	1.0	0.0
Gas	19	1.0	0.0
Gas	20	1.0	0.0
Gas	21	1.0	0.0
Gas	22	1.0	0.0
Gas	23	1.0	0.0
Gas	24	1.0	0.0
Gas	25	1.0	0.0
Gas	26	1.0	0.0
Gas	27	1.0	0.0
Gas	28	1.0	0.0
Gas	29	1.0	0.0
Gas	30	1.0	0.0
Gas	31	1.0	0.0
Gas	32	1.0	0.0
Gas	33	1.0	0.0
Gas	34	1.0	0.0
Gas	35	1.0	0.0
Gas	36	1.0	0.0
Gas	37	1.0	0.0
Gas	38	1.0	0.0
Gas	39	1.0	0.0
Gas	40	1.0	0.0
Gas	41	1.0	0.0
Gas	42	1.0	0.0
Gas	43	1.0	0.0
Gas	44	1.0	0.0
Gas	45	1.0	0.0
Gas	46	1.0	0.0
Gas	47	1.0	0.0
Gas	48	1.0	0.0
Gas	49	1.0	0.0
Gas	50	1.0	0.0
Gas	51	1.0	0.0
Gas	52	1.0	0.0
Gas	53	1.0	0.0
Gas	54	1.0	0.0
Gas	55	1.0	0.0
Gas	56	1.0	0.0
Gas	57	1.0	0.0
Gas	58	1.0	0.0
Gas	59	1.0	0.0
Gas	60	1.0	0.0
Gas	61	1.0	0.0
Gas	62	1.0	0.0
Gas	63	1.0	0.0
Gas	64	1.0	0.0
Gas	65	1.0	0.0
Gas	66	1.0	0.0
Gas	67	1.0	0.0
Gas	68	1.0	0.0
Gas	69	1.0	0.0
Gas	70	1.0	0.0
Gas	71	1.0	0.0
Gas	72	1.0	0.0
Gas	73	1.0	0.0
Gas	74	1.0	0.0
Gas	75	1.0	0.0
Gas	76	1.0	0.0
Gas	77	1.0	0.0
Gas	78	1.0	0.0
Gas	79	1.0	0.0
Gas	80	1.0	0.0
Gas	81	1.0	0.0
Gas	82	1.0	0.0
Gas	83	1.0	0.0
Gas	84	1.0	0.0
Gas	85	1.0	0.0
Gas	86	1.0	0.0
Gas	87	1.0	0.0
Gas	88	1.0	0.0
Gas	89	1.0	0.0
Gas	90	1.0	0.0
Gas	91	1.0	0.0
Gas	92	1.0	0.0
Gas	93	1.0	0.0
Gas	94	1.0	0.0
Gas	95	1.0	0.0
Gas	96	1.0	0.0
Gas	97	1.0	0.0
Gas	98	1.0	0.0
Gas	99	1.0	0.0
Gas	100	1.0	0.0
Gas	101	1.0	0.0
Gas	102	1.0	0.0
Gas	103	1.0	0.0
Gas	104	1.0	0.0
Gas	105	1.0	0.0
Gas	106	1.0	0.0
Gas	107	1.0	0.0
Gas	108	1.0	0.0
Gas	109	1.0	0.0
Gas	110	1.0	0.0
Gas	111	1.0	0.0
Gas	112	1.0	0.0
Gas	113	1.0	0.0
Gas	114	1.0	0.0
Gas	115	1.0	0.0
Gas	116	1.0	0.0
Gas	117	1.0	0.0
Gas	118	1.0	0.0
Gas	119	1.0	0.0
Gas	120	1.0	0.0
Gas	121	1.0	0.0
Gas	122	1.0	0.0
Gas	123	1.0	0.0
Gas	124	1.0	0.0
Gas	125	1.0	0.0
Gas	126	1.0	0.0
Gas	127	1.0	0.0
Gas	128	1.0	0.0
Gas	129	1.0	0.0
Gas	130	1.0	0.0
Gas	131	1.0	0.0
Gas	132	1.0	0.0
Gas	133	1.0	0.0
Gas	134	1.0	0.0
Gas	135	1.0	0.0
Gas	136	1.0	0.0
Gas	137	1.0	0.0
Gas	138	1.0	0.0
Gas	139	1.0	0.0
Gas	140	1.0	0.0
Gas	141	1.0	0.0
Gas	142	1.0	0.0
Gas	143	1.0	0.0
Gas	144	1.0	0.0
Gas	145	1.0	0.0
Gas	146	1.0	0.0
Gas	147	1.0	0.0
Gas	148	1.0	0.0
Gas	149	1.0	0.0
Gas	150	1.0	0.0
Gas	151	1.0	0.0
Gas	152	1.0	0.0
Gas	153	1.0	0.0
Gas	154	1.0	0.0
Gas	155	1.0	0.0
Gas	156	1.0	0.0
Gas	157	1.0	0.0
Gas	158	1.0	0.0
Gas	159	1.0	0.0
Gas	160	1.0	0.0
Gas	161	1.0	0.0
Gas	162	1.0	0.0
Gas	163	1.0	0.0
Gas	164	1.0	0.0
Gas	165	1.0	0.0
Gas	166	1.0	0.0
Gas	167	1.0	0.0
Gas	168	1.0	0.0
Hybrid	1	.	0.965
Hybrid	2	.	0.965
Hybrid	3	.	0.965
Hybrid	4	.	0.965
Hybrid	5	.	0.965
Hybrid	6	.	0.965
Hybrid	7	.	0.965
Hybrid	8	.	0.965
Hybrid	9	.	0.965
Hybrid	10	.	0.965
Hybrid	11	.	0.965
Hybrid	12	.	0.965
Hybrid	13	.	0.965
Hybrid	14	.	0.965
Hybrid	15	.	0.965
Hybrid	16	.	0.965
Hybrid	17	.	0.965
Hybrid	18	.	0.965
Hybrid	19	.	0.965
Hybrid	20	.	0.965
Hybrid	21	.	0.965
Hybrid	22	.	0.965
Hybrid	23	.	0.965
Hybrid	24	.	0.965
Hybrid	25	.	0.965
Hybrid	26	.	0.965
Hybrid	27	.	0.965
Hybrid	28	.	0.965
Hybrid	29	.	0.965
Hybrid	30	.	0.965
Hybrid	31	.	0.965
Hybrid	32	.	0.965
Hybrid	33	.	0.965
Hybrid	34	.	0.965
Hybrid	35	.	0.965
Hybrid	36	.	0.965
Hybrid	37	.	0.965
Hybrid	38	.	0.965
Hybrid	39	.	0.965
Hybrid	40	.	0.965
Hybrid	41	.	0.965
Hybrid	42	.	0.965
Hybrid	43	.	0.965
Hybrid	44	.	0.965
Hybrid	45	.	0.965
Hybrid	46	.	0.965
Hybrid	47	.	0.965
Hybrid	48	.	0.965
Hybrid	49	.	0.965
Hybrid	50	.	0.965
Hybrid	51	.	0.965
Hybrid	52	.	0.965
Hybrid	53	.	0.965
Hybrid	54	.	0.965
Hybrid	55	.	0.965
Hybrid	56	.	0.965
Hybrid	57	.	0.965
Hybrid	58	.	0.965
Hybrid	59	.	0.965
Hybrid	60	.	0.965
Hybrid	61	.	0.965
Hybrid	62	.	0.965
Hybrid	63	.	0.965
Hybrid	64	.	0.965
Hybrid	65	.	0.965
Hybrid	66	.	0.965
Hybrid	67	.	0.965
Hybrid	68	.	0.965
Hybrid	69	.	0.965
Hybrid	70	.	0.965
Hybrid	71	.	0.965
Hybrid	72	.	0.965
Hybrid	73	.	0.965
Hybrid	74	.	0.965
Hybrid	75	.	0.965
Hybrid	76	.	0.965
Hybrid	77	.	0.965
Hybrid	78	.	0.965
Hybrid	79	.	0.965
Hybrid	80	.	0.965
Hybrid	81	.	0.965
Hybrid	82	.	0.965
Hybrid	83	.	0.965
Hybrid	84	.	0.965
Hybrid	85	.	0.965
Hybrid	86	.	0.965
Hybrid	87	.	0.965
Hybrid	88	.	0.965
Hybrid	89	.	0.965
Hybrid	90	.	0.965
Hybrid	91	.	0.965
Hybrid	92	.	0.965
Hybrid	93	.	0.965
Hybrid	94	.	0.965
Hybrid	95	.	0.965
Hybrid	96	.	0.965
Hybrid	97	.	0.965
Hybrid	98	.	0.965
Hybrid	99	.	0.965
Hybrid	100	.	0.965
Hybrid	101	.	0.965
Hybrid	102	.	0.965
Hybrid	103	.	0.965
Hybrid	104	.	0.965
Hybrid	105	.	0.965
Hybrid	106	.	0.965
Hybrid	107	.	0.965
Hybrid	108	.	0.965
Hybrid	109	.	0.965
Hybrid	110	.	0.965
Hybrid	111	.	0.965
Hybrid	112	.	0.965
Hybrid	113	.	0.965
Hybrid	114	.	0.965
Hybrid	115	.	0.965
Hybrid	116	.	0.965
Hybrid	117	.	0.965
Hybrid	118	.	0.965
Hybrid	119	.	0.965
Hybrid	120	.	0.965
Hybrid	121	.	0.965
Hybrid	122	.	0.965
Hybrid	123	.	0.965
Hybrid	124	.	0.965
Hybrid	125	.	0.965
Hybrid	126	.	0.965
Hybrid	127	.	0.965
Hybrid	128	.	0.965
Hybrid	129	.	0.965
Hybrid	130	.	0.965
Hybrid	131	.	0.965
Hybrid	132	.	0.965
Hybrid	133	.	0.965
Hybrid	134	.	0.965
Hybrid	135	.	0.965
Hybrid	136	.	0.965
Hybrid	137	.	0.965
Hybrid	138	.	0.965
Hybrid	139	.	0.965
Hybrid	140	.	0.965
Hybrid	141	.	0.965
Hybrid	142	.	0.965
Hybrid	143	.	0.965
Hybrid	144	.	0.965
Hybrid	145	.	0.965
Hybrid	146	.	0.965
Hybrid	147	.	0.965
Hybrid	148	.	0.965
Hybrid	149	.	0.965
Hybrid	150	.	0.965
Hybrid	151	.	0.965
Hybrid	152	.	0.965
Hybrid	153	.	0.965
Hybrid	154	.	0.965
Hybrid	155	.	0.965
Hybrid	156	.	0.965
Hybrid	157	.	0.965
Hybrid	158	.	0.965
Hybrid	159	.	0.965
Hybrid	160	.	0.965
Hybrid	161	.	0.965
Hybrid	162	.	0.965
Hybrid	163	.	0.965
Hybrid	164	.	0.965
Hybrid	165	.	0.965
Hybrid	166	.	0.965
Hybrid	167	.	0.965
Hybrid	168	.	0.965
