project,period,lifetime_yrs,annualized_real_cost_per_kw_yr,annualized_real_cost_per_kwh_yr,levelized_cost_per_mwh,supply_curve_scenario_id
Northern_California_Ex_Geothermal,2026,50,712.4198591,,,
Northern_California_Ex_Geothermal,2030,50,732.100211,,,
Northern_California_Ex_Geothermal,2045,50,726.4471006,,,
Riverside_Palm_Springs_Geothermal,2020,50,615.47134,,,
Riverside_Palm_Springs_Geothermal,2021,50,616.1921323,,,
Riverside_Palm_Springs_Geothermal,2022,50,617.6193556,,,
Riverside_Palm_Springs_Geothermal,2023,50,632.9821799,,,
Riverside_Palm_Springs_Geothermal,2024,50,647.597501,,,
Riverside_Palm_Springs_Geothermal,2026,50,679.1794876,,,
Riverside_Palm_Springs_Geothermal,2030,50,697.4850373,,,
Riverside_Palm_Springs_Geothermal,2045,50,690.9153921,,,
Solano_Geothermal,2020,50,612.6102521,,,
Solano_Geothermal,2021,50,613.3195833,,,
Solano_Geothermal,2022,50,614.731178,,,
Solano_Geothermal,2023,50,630.0043979,,,
Solano_Geothermal,2024,50,644.5342823,,,
Solano_Geothermal,2026,50,675.9297668,,,
Solano_Geothermal,2030,50,694.10091,,,
Solano_Geothermal,2045,50,687.4416604,,,
Southern_Nevada_Geothermal,2020,50,608.9551996,,,
Southern_Nevada_Geothermal,2021,50,609.7020564,,,
Southern_Nevada_Geothermal,2022,50,611.1515368,,,
Southern_Nevada_Geothermal,2023,50,626.4272787,,,
Southern_Nevada_Geothermal,2024,50,640.9605531,,,
Southern_Nevada_Geothermal,2026,50,672.3730713,,,
Southern_Nevada_Geothermal,2030,50,690.6896876,,,
Southern_Nevada_Geothermal,2045,50,684.6887565,,,
Carrizo_Solar,2020,50,77.69593568,,,
Carrizo_Solar,2021,50,74.55822552,,,
Carrizo_Solar,2022,50,71.61387952,,,
Carrizo_Solar,2023,50,69.66032224,,,
Carrizo_Solar,2024,50,84.02080668,,,
Carrizo_Solar,2026,50,84.60625134,,,
Carrizo_Solar,2030,50,82.05017295,,,
Carrizo_Solar,2045,50,75.55965607,,,
Carrizo_Wind,2020,50,124.9737044,,,
Carrizo_Wind,2021,50,131.7557381,,,
Carrizo_Wind,2022,50,138.7875261,,,
Carrizo_Wind,2023,50,153.8400705,,,
Carrizo_Wind,2024,50,154.8583435,,,
Carrizo_Wind,2026,50,157.6425084,,,
Carrizo_Wind,2030,50,158.2372867,,,
Carrizo_Wind,2045,50,160.3128631,,,
Central_Valley_North_Los_Banos_Solar,2020,50,77.69593568,,,
Central_Valley_North_Los_Banos_Solar,2021,50,74.55822552,,,
Central_Valley_North_Los_Banos_Solar,2022,50,71.61387952,,,
Central_Valley_North_Los_Banos_Solar,2023,50,69.66032224,,,
Central_Valley_North_Los_Banos_Solar,2024,50,84.02080668,,,
Central_Valley_North_Los_Banos_Solar,2026,50,84.60625134,,,
Central_Valley_North_Los_Banos_Solar,2030,50,82.05017295,,,
Central_Valley_North_Los_Banos_Solar,2045,50,75.55965607,,,
Central_Valley_North_Los_Banos_Wind,2020,50,123.8891297,,,
Central_Valley_North_Los_Banos_Wind,2021,50,130.7070389,,,
Central_Valley_North_Los_Banos_Wind,2022,50,137.7714133,,,
Central_Valley_North_Los_Banos_Wind,2023,50,152.8860616,,,
Central_Valley_North_Los_Banos_Wind,2024,50,153.892355,,,
Central_Valley_North_Los_Banos_Wind,2026,50,156.6482045,,,
Central_Valley_North_Los_Banos_Wind,2030,50,157.2299142,,,
Central_Valley_North_Los_Banos_Wind,2045,50,159.2673739,,,
Distributed_Solar,2020,50,124.0309686,,,
Distributed_Solar,2021,50,120.0001775,,,
Distributed_Solar,2022,50,113.2580453,,,
Distributed_Solar,2023,50,108.2312459,,,
Distributed_Solar,2024,50,128.8148615,,,
Distributed_Solar,2026,50,124.6668058,,,
Distributed_Solar,2030,50,110.3606993,,,
Distributed_Solar,2045,50,103.6818679,,,
Mountain_Pass_El_Dorado_Solar,2020,50,77.69593568,,,
Mountain_Pass_El_Dorado_Solar,2021,50,74.55822552,,,
Mountain_Pass_El_Dorado_Solar,2022,50,71.61387952,,,
Mountain_Pass_El_Dorado_Solar,2023,50,69.66032224,,,
Mountain_Pass_El_Dorado_Solar,2024,50,84.02080668,,,
Mountain_Pass_El_Dorado_Solar,2026,50,84.60625134,,,
Mountain_Pass_El_Dorado_Solar,2030,50,82.05017295,,,
Mountain_Pass_El_Dorado_Solar,2045,50,75.55965607,,,
Greater_Imperial_Solar,2020,50,77.69593568,,,
Greater_Imperial_Solar,2021,50,74.55822552,,,
Greater_Imperial_Solar,2022,50,71.61387952,,,
Greater_Imperial_Solar,2023,50,69.66032224,,,
Greater_Imperial_Solar,2024,50,84.02080668,,,
Greater_Imperial_Solar,2026,50,84.60625134,,,
Greater_Imperial_Solar,2030,50,82.05017295,,,
Greater_Imperial_Solar,2045,50,75.55965607,,,
Greater_Imperial_Wind,2020,50,117.0287202,,,
Greater_Imperial_Wind,2021,50,125.2949108,,,
Greater_Imperial_Wind,2022,50,133.8185939,,,
Greater_Imperial_Wind,2023,50,152.3903033,,,
Greater_Imperial_Wind,2024,50,152.9727849,,,
Greater_Imperial_Wind,2026,50,154.8553071,,,
Greater_Imperial_Wind,2030,50,153.9687886,,,
Greater_Imperial_Wind,2045,50,152.3939788,,,
Greater_Kramer_Wind,2020,50,122.7293174,,,
Greater_Kramer_Wind,2021,50,129.8089334,,,
Greater_Kramer_Wind,2022,50,137.1392881,,,
Greater_Kramer_Wind,2023,50,152.8644601,,,
Greater_Kramer_Wind,2024,50,153.8151452,,,
Greater_Kramer_Wind,2026,50,156.4605061,,,
Greater_Kramer_Wind,2030,50,156.8413909,,,
Greater_Kramer_Wind,2045,50,158.3996456,,,
Humboldt_Wind,2020,50,126.439292,,,
Humboldt_Wind,2021,50,133.8478493,,,
Humboldt_Wind,2022,50,141.5476447,,,
Humboldt_Wind,2023,50,158.3731565,,,
Humboldt_Wind,2024,50,159.1405391,,,
Humboldt_Wind,2026,50,161.4482211,,,
Humboldt_Wind,2030,50,160.9896542,,,
Humboldt_Wind,2045,50,160.5855701,,,
Inyokern_North_Kramer_Solar,2020,50,77.69593568,,,
Inyokern_North_Kramer_Solar,2021,50,74.55822552,,,
Inyokern_North_Kramer_Solar,2022,50,71.61387952,,,
Inyokern_North_Kramer_Solar,2023,50,69.66032224,,,
Inyokern_North_Kramer_Solar,2024,50,84.02080668,,,
Inyokern_North_Kramer_Solar,2026,50,84.60625134,,,
Inyokern_North_Kramer_Solar,2030,50,82.05017295,,,
Inyokern_North_Kramer_Solar,2045,50,75.55965607,,,
Kern_Greater_Carrizo_Solar,2020,50,77.69593568,,,
Kern_Greater_Carrizo_Solar,2021,50,74.55822552,,,
Kern_Greater_Carrizo_Solar,2022,50,71.61387952,,,
Kern_Greater_Carrizo_Solar,2023,50,69.66032224,,,
Kern_Greater_Carrizo_Solar,2024,50,84.02080668,,,
Kern_Greater_Carrizo_Solar,2026,50,84.60625134,,,
Kern_Greater_Carrizo_Solar,2030,50,82.05017295,,,
Kern_Greater_Carrizo_Solar,2045,50,75.55965607,,,
Kern_Greater_Carrizo_Wind,2020,50,127.8221962,,,
Kern_Greater_Carrizo_Wind,2021,50,134.0457085,,,
Kern_Greater_Carrizo_Wind,2022,50,140.5224598,,,
Kern_Greater_Carrizo_Wind,2023,50,154.4546146,,,
Kern_Greater_Carrizo_Wind,2024,50,155.4806045,,,
Kern_Greater_Carrizo_Wind,2026,50,158.2830093,,,
Kern_Greater_Carrizo_Wind,2030,50,158.886206,,,
Kern_Greater_Carrizo_Wind,2045,50,160.9863362,,,
Kramer_Inyokern_Ex_Solar,2020,50,77.69593568,,,
Kramer_Inyokern_Ex_Solar,2021,50,74.55822552,,,
Kramer_Inyokern_Ex_Solar,2022,50,71.61387952,,,
Kramer_Inyokern_Ex_Solar,2023,50,69.66032224,,,
Kramer_Inyokern_Ex_Solar,2024,50,84.02080668,,,
Kramer_Inyokern_Ex_Solar,2026,50,84.60625134,,,
Kramer_Inyokern_Ex_Solar,2030,50,82.05017295,,,
Kramer_Inyokern_Ex_Solar,2045,50,75.55965607,,,
Kramer_Inyokern_Ex_Wind,2020,50,127.3274984,,,
Kramer_Inyokern_Ex_Wind,2021,50,133.649903,,,
Kramer_Inyokern_Ex_Wind,2022,50,140.2249624,,,
Kramer_Inyokern_Ex_Wind,2023,50,154.3556,,,
Kramer_Inyokern_Ex_Wind,2024,50,155.3803465,,,
Kramer_Inyokern_Ex_Wind,2026,50,158.1798125,,,
Kramer_Inyokern_Ex_Wind,2030,50,158.7816529,,,
Kramer_Inyokern_Ex_Wind,2045,50,160.8778269,,,
North_Victor_Solar,2020,50,77.69593568,,,
North_Victor_Solar,2021,50,74.55822552,,,
North_Victor_Solar,2022,50,71.61387952,,,
North_Victor_Solar,2023,50,69.66032224,,,
North_Victor_Solar,2024,50,84.02080668,,,
North_Victor_Solar,2026,50,84.60625134,,,
North_Victor_Solar,2030,50,82.05017295,,,
North_Victor_Solar,2045,50,75.55965607,,,
Northern_California_Ex_Solar,2020,50,77.69593568,,,
Northern_California_Ex_Solar,2021,50,74.55822552,,,
Northern_California_Ex_Solar,2022,50,71.61387952,,,
Northern_California_Ex_Solar,2023,50,69.66032224,,,
Northern_California_Ex_Solar,2024,50,84.02080668,,,
Northern_California_Ex_Solar,2026,50,84.60625134,,,
Northern_California_Ex_Solar,2030,50,82.05017295,,,
Northern_California_Ex_Solar,2045,50,75.55965607,,,
Northern_California_Ex_Wind,2020,50,131.3813977,,,
Northern_California_Ex_Wind,2021,50,138.1434637,,,
Northern_California_Ex_Wind,2022,50,145.1796567,,,
Northern_California_Ex_Wind,2023,50,160.3053429,,,
Northern_California_Ex_Wind,2024,50,161.375539,,,
Northern_California_Ex_Wind,2026,50,164.2935092,,,
Northern_California_Ex_Wind,2030,50,164.870815,,,
Northern_California_Ex_Wind,2045,50,166.9517642,,,
NW_Ext_Tx_Wind,2020,50,169.4182119,,,
NW_Ext_Tx_Wind,2021,50,176.1261732,,,
NW_Ext_Tx_Wind,2022,50,183.100584,,,
NW_Ext_Tx_Wind,2023,50,198.0573857,,,
NW_Ext_Tx_Wind,2024,50,199.137518,,,
NW_Ext_Tx_Wind,2026,50,202.0683571,,,
NW_Ext_Tx_Wind,2030,50,202.7299878,,,
NW_Ext_Tx_Wind,2045,50,205.0009667,,,
Riverside_Palm_Springs_Solar,2020,50,77.69593568,,,
Riverside_Palm_Springs_Solar,2021,50,74.55822552,,,
Riverside_Palm_Springs_Solar,2022,50,71.61387952,,,
Riverside_Palm_Springs_Solar,2023,50,69.66032224,,,
Riverside_Palm_Springs_Solar,2024,50,84.02080668,,,
Riverside_Palm_Springs_Solar,2026,50,84.60625134,,,
Riverside_Palm_Springs_Solar,2030,50,82.05017295,,,
Riverside_Palm_Springs_Solar,2045,50,75.55965607,,,
Sacramento_River_Solar,2020,50,77.69593568,,,
Sacramento_River_Solar,2021,50,74.55822552,,,
Sacramento_River_Solar,2022,50,71.61387952,,,
Sacramento_River_Solar,2023,50,69.66032224,,,
Sacramento_River_Solar,2024,50,84.02080668,,,
Sacramento_River_Solar,2026,50,84.60625134,,,
Sacramento_River_Solar,2030,50,82.05017295,,,
Sacramento_River_Solar,2045,50,75.55965607,,,
SCADSNV_Solar,2020,50,77.69593568,,,
SCADSNV_Solar,2021,50,74.55822552,,,
SCADSNV_Solar,2022,50,71.61387952,,,
SCADSNV_Solar,2023,50,69.66032224,,,
SCADSNV_Solar,2024,50,84.02080668,,,
SCADSNV_Solar,2026,50,84.60625134,,,
SCADSNV_Solar,2030,50,82.05017295,,,
SCADSNV_Solar,2045,50,75.55965607,,,
SCADSNV_Wind,2020,50,123.039936,,,
SCADSNV_Wind,2021,50,130.0668845,,,
SCADSNV_Wind,2022,50,137.3595273,,,
SCADSNV_Wind,2023,50,153.2075531,,,
SCADSNV_Wind,2024,50,154.011649,,,
SCADSNV_Wind,2026,50,156.3676527,,,
SCADSNV_Wind,2030,50,156.2064201,,,
SCADSNV_Wind,2045,50,156.4740041,,,
Solano_Solar,2020,50,77.69593568,,,
Solano_Solar,2021,50,74.55822552,,,
Solano_Solar,2022,50,71.61387952,,,
Solano_Solar,2023,50,69.66032224,,,
Solano_Solar,2024,50,84.02080668,,,
Solano_Solar,2026,50,84.60625134,,,
Solano_Solar,2030,50,82.05017295,,,
Solano_Solar,2045,50,75.55965607,,,
Solano_subzone_Solar,2020,50,77.69593568,,,
Solano_subzone_Solar,2021,50,74.55822552,,,
Solano_subzone_Solar,2022,50,71.61387952,,,
Solano_subzone_Solar,2023,50,69.66032224,,,
Solano_subzone_Solar,2024,50,84.02080668,,,
Solano_subzone_Solar,2026,50,84.60625134,,,
Solano_subzone_Solar,2030,50,82.05017295,,,
Solano_subzone_Solar,2045,50,75.55965607,,,
Solano_subzone_Wind,2020,50,122.7280039,,,
Solano_subzone_Wind,2021,50,130.1450241,,,
Solano_subzone_Wind,2022,50,137.8112122,,,
Solano_subzone_Wind,2023,50,154.1483934,,,
Solano_subzone_Wind,2024,50,155.170538,,,
Solano_subzone_Wind,2026,50,157.963854,,,
Solano_subzone_Wind,2030,50,158.5628559,,,
Solano_subzone_Wind,2045,50,160.6507512,,,
Solano_Wind,2020,50,125.5367233,,,
Solano_Wind,2021,50,132.4298,,,
Solano_Wind,2022,50,139.5793621,,,
Solano_Wind,2023,50,154.9234408,,,
Solano_Wind,2024,50,155.9179781,,,
Solano_Wind,2026,50,158.6601763,,,
Solano_Wind,2030,50,159.1344851,,,
Solano_Wind,2045,50,160.9305777,,,
Southern_California_Desert_Ex_Solar,2020,50,77.69593568,,,
Southern_California_Desert_Ex_Solar,2021,50,74.55822552,,,
Southern_California_Desert_Ex_Solar,2022,50,71.61387952,,,
Southern_California_Desert_Ex_Solar,2023,50,69.66032224,,,
Southern_California_Desert_Ex_Solar,2024,50,84.02080668,,,
Southern_California_Desert_Ex_Solar,2026,50,84.60625134,,,
Southern_California_Desert_Ex_Solar,2030,50,82.05017295,,,
Southern_California_Desert_Ex_Solar,2045,50,75.55965607,,,
Southern_California_Desert_Ex_Wind,2020,50,143.8965111,,,
Southern_California_Desert_Ex_Wind,2021,50,149.3292584,,,
Southern_California_Desert_Ex_Wind,2022,50,155.061118,,,
Southern_California_Desert_Ex_Wind,2023,50,167.5387159,,,
Southern_California_Desert_Ex_Wind,2024,50,168.7290039,,,
Southern_California_Desert_Ex_Wind,2026,50,171.9197495,,,
Southern_California_Desert_Ex_Wind,2030,50,172.7021805,,,
Southern_California_Desert_Ex_Wind,2045,50,175.3250773,,,
Southern_Nevada_Solar,2020,50,75.86667125,,,
Southern_Nevada_Solar,2021,50,72.82032248,,,
Southern_Nevada_Solar,2022,50,69.95162603,,,
Southern_Nevada_Solar,2023,50,68.04927768,,,
Southern_Nevada_Solar,2024,50,81.97419527,,,
Southern_Nevada_Solar,2026,50,82.55323881,,,
Southern_Nevada_Solar,2030,50,80.07484669,,,
Southern_Nevada_Solar,2045,50,73.78480113,,,
Southern_Nevada_Wind,2020,50,130.6686328,,,
Southern_Nevada_Wind,2021,50,136.6499587,,,
Southern_Nevada_Wind,2022,50,142.8964056,,,
Southern_Nevada_Wind,2023,50,156.3661732,,,
Southern_Nevada_Wind,2024,50,157.4340145,,,
Southern_Nevada_Wind,2026,50,160.3279686,,,
Southern_Nevada_Wind,2030,50,160.9869042,,,
Southern_Nevada_Wind,2045,50,163.2429473,,,
SW_Ext_Tx_Wind,2020,50,195.2642151,,,
SW_Ext_Tx_Wind,2021,50,203.885394,,,
SW_Ext_Tx_Wind,2022,50,212.7722664,,,
SW_Ext_Tx_Wind,2023,50,231.9467032,,,
SW_Ext_Tx_Wind,2024,50,232.6415379,,,
SW_Ext_Tx_Wind,2026,50,234.7632688,,,
SW_Ext_Tx_Wind,2030,50,234.2635335,,,
SW_Ext_Tx_Wind,2045,50,233.7120183,,,
Tehachapi_Ex_Solar,2020,50,77.69593568,,,
Tehachapi_Ex_Solar,2021,50,74.55822552,,,
Tehachapi_Ex_Solar,2022,50,71.61387952,,,
Tehachapi_Ex_Solar,2023,50,69.66032224,,,
Tehachapi_Ex_Solar,2024,50,84.02080668,,,
Tehachapi_Ex_Solar,2026,50,84.60625134,,,
Tehachapi_Ex_Solar,2030,50,82.05017295,,,
Tehachapi_Ex_Solar,2045,50,75.55965607,,,
Tehachapi_Solar,2020,50,77.69593568,,,
Tehachapi_Solar,2021,50,74.55822552,,,
Tehachapi_Solar,2022,50,71.61387952,,,
Tehachapi_Solar,2023,50,69.66032224,,,
Tehachapi_Solar,2024,50,84.02080668,,,
Tehachapi_Solar,2026,50,84.60625134,,,
Tehachapi_Solar,2030,50,82.05017295,,,
Tehachapi_Solar,2045,50,75.55965607,,,
Tehachapi_Wind,2020,50,118.626118,,,
Tehachapi_Wind,2021,50,126.3717311,,,
Tehachapi_Wind,2022,50,134.3781506,,,
Tehachapi_Wind,2023,50,151.7507995,,,
Tehachapi_Wind,2024,50,152.463758,,,
Tehachapi_Wind,2026,50,154.6253214,,,
Tehachapi_Wind,2030,50,154.1916838,,,
Tehachapi_Wind,2045,50,153.7752131,,,
Westlands_Ex_Solar,2020,50,77.69593568,,,
Westlands_Ex_Solar,2021,50,74.55822552,,,
Westlands_Ex_Solar,2022,50,71.61387952,,,
Westlands_Ex_Solar,2023,50,69.66032224,,,
Westlands_Ex_Solar,2024,50,84.02080668,,,
Westlands_Ex_Solar,2026,50,84.60625134,,,
Westlands_Ex_Solar,2030,50,82.05017295,,,
Westlands_Ex_Solar,2045,50,75.55965607,,,
Westlands_Solar,2020,50,77.69593568,,,
Westlands_Solar,2021,50,74.55822552,,,
Westlands_Solar,2022,50,71.61387952,,,
Westlands_Solar,2023,50,69.66032224,,,
Westlands_Solar,2024,50,84.02080668,,,
Westlands_Solar,2026,50,84.60625134,,,
Westlands_Solar,2030,50,82.05017295,,,
Westlands_Solar,2045,50,75.55965607,,,
Arizona_Solar,2020,50,75.64802767,,,
Arizona_Solar,2021,50,72.61259889,,,
Arizona_Solar,2022,50,69.7529445,,,
Arizona_Solar,2023,50,67.8567169,,,
Arizona_Solar,2024,50,81.72957319,,,
Arizona_Solar,2026,50,82.30785163,,,
Arizona_Solar,2030,50,79.838745,,,
Arizona_Solar,2045,50,73.57266085,,,
Baja_California_Wind,2020,50,116.5934374,,,
Baja_California_Wind,2021,50,125.177449,,,
Baja_California_Wind,2022,50,134.0278117,,,
Baja_California_Wind,2023,50,153.0937231,,,
Baja_California_Wind,2024,50,153.8559659,,,
Baja_California_Wind,2026,50,156.1142692,,,
Baja_California_Wind,2030,50,155.7695791,,,
Baja_California_Wind,2045,50,155.5668805,,,
New_Mexico_Wind,2020,50,224.1006088,,,
New_Mexico_Wind,2021,50,234.8580033,,,
New_Mexico_Wind,2022,50,245.8930713,,,
New_Mexico_Wind,2023,50,270.2316674,,,
New_Mexico_Wind,2024,50,270.1892769,,,
New_Mexico_Wind,2026,50,270.7486486,,,
New_Mexico_Wind,2030,50,267.742108,,,
New_Mexico_Wind,2045,50,260.8552776,,,
Wyoming_Wind,2020,50,244.3082099,,,
Wyoming_Wind,2021,50,255.2035754,,,
Wyoming_Wind,2022,50,266.3788845,,,
Wyoming_Wind,2023,50,291.0695092,,,
Wyoming_Wind,2024,50,290.9481921,,,
Wyoming_Wind,2026,50,291.3435834,,,
Wyoming_Wind,2030,50,288.1007842,,,
Wyoming_Wind,2045,50,280.6291441,,,
CAISO_New_Pumped_Storage,2020,50,131.1092587,10.78,,
CAISO_New_Pumped_Storage,2021,50,123.670744,10.1,,
CAISO_New_Pumped_Storage,2022,50,118.070108,9.59,,
CAISO_New_Pumped_Storage,2023,50,106.1728345,8.5,,
CAISO_New_Pumped_Storage,2024,50,106.2380846,8.5,,
CAISO_New_Pumped_Storage,2026,50,107.2385866,8.59,,
CAISO_New_Pumped_Storage,2030,50,109.0438402,8.74,,
CAISO_New_Pumped_Storage,2045,50,113.7527245,12.1480752,,
CAISO_New_Flow_Battery,2020,50,143.4104059,25.01,,
CAISO_New_Flow_Battery,2021,50,131.0368173,22.85,,
CAISO_New_Flow_Battery,2022,50,120.3164633,20.98,,
CAISO_New_Flow_Battery,2023,50,106.4642051,18.56,,
CAISO_New_Flow_Battery,2024,50,101.329936,16.81,,
CAISO_New_Flow_Battery,2026,50,93.833903,15.39,,
CAISO_New_Flow_Battery,2030,50,86.56377787,13.78,,
CAISO_New_Flow_Battery,2045,50,88.64829115,13.37,,
CAISO_New_Flow_Battery_2,2020,50,143.4104059,25.01,,
CAISO_New_Flow_Battery_2,2021,50,131.0368173,22.85,,
CAISO_New_Flow_Battery_2,2022,50,120.3164633,20.98,,
CAISO_New_Flow_Battery_2,2023,50,106.4642051,18.56,,
CAISO_New_Flow_Battery_2,2024,50,101.329936,16.81,,
CAISO_New_Flow_Battery_2,2026,50,93.833903,15.39,,
CAISO_New_Flow_Battery_2,2030,50,86.56377787,13.78,,
CAISO_New_Flow_Battery_2,2045,50,88.64829115,13.37,,
CAISO_New_Flow_Battery_3,2020,50,143.4104059,25.01,,
CAISO_New_Flow_Battery_3,2021,50,131.0368173,22.85,,
CAISO_New_Flow_Battery_3,2022,50,120.3164633,20.98,,
CAISO_New_Flow_Battery_3,2023,50,106.4642051,18.56,,
CAISO_New_Flow_Battery_3,2024,50,101.329936,16.81,,
CAISO_New_Flow_Battery_3,2026,50,93.833903,15.39,,
CAISO_New_Flow_Battery_3,2030,50,86.56377787,13.78,,
CAISO_New_Flow_Battery_3,2045,50,88.64829115,13.37,,
CAISO_New_Flow_Battery_4,2020,50,143.4104059,25.01,,
CAISO_New_Flow_Battery_4,2021,50,131.0368173,22.85,,
CAISO_New_Flow_Battery_4,2022,50,120.3164633,20.98,,
CAISO_New_Flow_Battery_4,2023,50,106.4642051,18.56,,
CAISO_New_Flow_Battery_4,2024,50,101.329936,16.81,,
CAISO_New_Flow_Battery_4,2026,50,93.833903,15.39,,
CAISO_New_Flow_Battery_4,2030,50,86.56377787,13.78,,
CAISO_New_Flow_Battery_4,2045,50,88.64829115,13.37,,
CAISO_New_Flow_Battery_5,2020,50,143.4104059,25.01,,
CAISO_New_Flow_Battery_5,2021,50,131.0368173,22.85,,
CAISO_New_Flow_Battery_5,2022,50,120.3164633,20.98,,
CAISO_New_Flow_Battery_5,2023,50,106.4642051,18.56,,
CAISO_New_Flow_Battery_5,2024,50,101.329936,16.81,,
CAISO_New_Flow_Battery_5,2026,50,93.833903,15.39,,
CAISO_New_Flow_Battery_5,2030,50,86.56377787,13.78,,
CAISO_New_Flow_Battery_5,2045,50,88.64829115,13.37,,
CAISO_New_Li_Battery,2020,50,23.66579905,46.04,,
CAISO_New_Li_Battery,2021,50,21.00891047,41.34,,
CAISO_New_Li_Battery,2022,50,18.7315774,37.22,,
CAISO_New_Li_Battery,2023,50,16.15675488,32.78,,
CAISO_New_Li_Battery,2024,50,14.60775806,29.89,,
CAISO_New_Li_Battery,2026,50,12.76127179,26.22,,
CAISO_New_Li_Battery,2030,50,10.76091166,22.24,,
CAISO_New_Li_Battery,2045,50,9.201656587,19.02,,
CAISO_BTM_Li_Battery,2020,50,50.97593738,137.6,,
CAISO_BTM_Li_Battery,2021,50,45.95043082,124.54,,
CAISO_BTM_Li_Battery,2022,50,41.5840071,113.08,,
CAISO_BTM_Li_Battery,2023,50,36.92923463,101.17,,
CAISO_BTM_Li_Battery,2024,50,33.86038022,92.99,,
CAISO_BTM_Li_Battery,2026,50,30.02946129,82.5,,
CAISO_BTM_Li_Battery,2030,50,26.58987279,72.97,,
CAISO_BTM_Li_Battery,2045,50,22.90312822,31.60050188,,
CAISO_New_Li_Battery_2,2020,50,23.66579905,46.04,,
CAISO_New_Li_Battery_2,2021,50,21.00891047,41.34,,
CAISO_New_Li_Battery_2,2022,50,18.7315774,37.22,,
CAISO_New_Li_Battery_2,2023,50,16.15675488,32.78,,
CAISO_New_Li_Battery_2,2024,50,14.60775806,29.89,,
CAISO_New_Li_Battery_2,2026,50,12.76127179,26.22,,
CAISO_New_Li_Battery_2,2030,50,10.76091166,22.24,,
CAISO_New_Li_Battery_2,2045,50,9.201656587,19.02,,
CAISO_New_Li_Battery_3,2020,50,23.66579905,46.04,,
CAISO_New_Li_Battery_3,2021,50,21.00891047,41.34,,
CAISO_New_Li_Battery_3,2022,50,18.7315774,37.22,,
CAISO_New_Li_Battery_3,2023,50,16.15675488,32.78,,
CAISO_New_Li_Battery_3,2024,50,14.60775806,29.89,,
CAISO_New_Li_Battery_3,2026,50,12.76127179,26.22,,
CAISO_New_Li_Battery_3,2030,50,10.76091166,22.24,,
