project,availability_type,exogenous_availability_scenario_id,endogenous_availability_scenario_id
Riverside_Palm_Springs_Solar,exogenous,,
Sacramento_River_Solar,exogenous,,
Sacramento_River_Wind,exogenous,,
SCADSNV_Solar,exogenous,,
SCADSNV_Wind,exogenous,,
Solano_Solar,exogenous,,
Solano_subzone_Solar,exogenous,,
Solano_subzone_Wind,exogenous,,
Solano_Wind,exogenous,,
Southern_California_Desert_Ex_Solar,exogenous,,
Southern_California_Desert_Ex_Wind,exogenous,,
Southern_Nevada_Solar,exogenous,,
Southern_Nevada_Wind,exogenous,,
SW_Ext_Tx_Wind,exogenous,,
Tehachapi_Ex_Solar,exogenous,,
Tehachapi_Solar,exogenous,,
Tehachapi_Wind,exogenous,,
Westlands_Ex_Solar,exogenous,,
Westlands_Ex_Wind,exogenous,,
Westlands_Solar,exogenous,,
Arizona_Solar,exogenous,,
Arizona_Wind,exogenous,,
Baja_California_Solar,exogenous,,
Baja_California_Wind,exogenous,,
Idaho_Wind,exogenous,,
New_Mexico_Solar,exogenous,,
New_Mexico_Wind,exogenous,,
Utah_Solar,exogenous,,
Utah_Wind,exogenous,,
Wyoming_Wind,exogenous,,
Pacific_Northwest_Wind,exogenous,,
Diablo_Canyon_Offshore_Wind,exogenous,,
Humboldt_Bay_Offshore_Wind,exogenous,,
Morro_Bay_Offshore_Wind,exogenous,,
Diablo_Canyon_Offshore_Wind_Ext_Tx,exogenous,,
Cape_Mendocino_Offshore_Wind,exogenous,,
Del_Norte_Offshore_Wind,exogenous,,
CAISO_Existing_Pumped_Storage,exogenous,,
CAISO_New_Pumped_Storage,exogenous,,
CAISO_New_Flow_Battery,exogenous,,
CAISO_New_Flow_Battery_2,exogenous,,
CAISO_New_Flow_Battery_3,exogenous,,
CAISO_New_Flow_Battery_4,exogenous,,
CAISO_New_Flow_Battery_5,exogenous,,
CAISO_New_Li_Battery,exogenous,,
CAISO_BTM_Li_Battery,exogenous,,
CAISO_New_Li_Battery_2,exogenous,,
CAISO_New_Li_Battery_3,exogenous,,
CAISO_New_Li_Battery_4,exogenous,,
CAISO_New_Li_Battery_5,exogenous,,
CAISO_New_Li_Battery_6,exogenous,,
CAISO_Hydro,exogenous,,
NW_Hydro,exogenous,,
SW_Hydro,exogenous,,
LDWP_Hydro,exogenous,,
BANC_Hydro,exogenous,,
IID_Hydro,exogenous,,
NW_Hydro_for_CAISO,exogenous,,
Hydrogen_electrolysis,exogenous,,
EV_Charging,exogenous,,
CAISO_Shed_DR_Existing,exogenous,,
CAISO_Shed_DR_Tranche1,exogenous,,
CAISO_Shed_DR_Tranche2,exogenous,,
CAISO_Shed_DR_Tranche3,exogenous,,
CAISO_Shed_DR_Tranche4,exogenous,,
CAISO_Shed_DR_Tranche5,exogenous,,
CAISO_Shed_DR_Tranche6,exogenous,,
CAISO_Shed_DR_Tranche7,exogenous,,
CAISO_Shed_DR_Tranche8,exogenous,,
