project,period,fixed_cost_per_mw_yr,hyb_gen_fixed_cost_per_mw_yr,hyb_stor_fixed_cost_per_mw_yr,fixed_cost_per_mwh_year,fuel_production_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_release_capacity_fixed_cost_per_fuelunitperhour_yr,fuel_storage_capacity_fixed_cost_per_fuelunit_yr
10504__4000,2026,0,,,,,,
10548__GEN1,2026,0,,,,,,
10631__GEN1,2026,0,,,,,,
10632__GEN1,2026,0,,,,,,
10634__GEN1,2026,0,,,,,,
10649__GEN1,2026,0,,,,,,
10650__GEN1,2026,0,,,,,,
10652__GEN1,2026,0,,,,,,
10661__GEN5,2026,0,,,,,,
10677__UNT2,2026,0,,,,,,
10677__UNT3,2026,0,,,,,,
10682__GT1,2026,0,,,,,,
10682__GT2,2026,0,,,,,,
10682__GT3,2026,0,,,,,,
10682__GT4,2026,0,,,,,,
10682__GT5,2026,0,,,,,,
10682__ST1,2026,0,,,,,,
10682__ST2,2026,0,,,,,,
10682__ST4,2026,0,,,,,,
10684__TG5,2026,0,,,,,,
10684__TG8,2026,0,,,,,,
10684__TG9,2026,0,,,,,,
10685__PINA,2026,0,,,,,,
10720__287,2026,0,,,,,,
10720__333,2026,0,,,,,,
10748__U1C06,2026,0,,,,,,
10748__U2J18,2026,0,,,,,,
10748__U3J17,2026,0,,,,,,
10748__U4J16,2026,0,,,,,,
10759__GEN1,2026,0,,,,,,
10761__GEN1,2026,0,,,,,,
10761__GEN2,2026,0,,,,,,
10761__GEN3,2026,0,,,,,,
10761__GEN4,2026,0,,,,,,
10761__GEN5,2026,0,,,,,,
10761__GEN6,2026,0,,,,,,
10761__GEN7,2026,0,,,,,,
10761__GEN8,2026,0,,,,,,
10763__GBU,2026,0,,,,,,
10763__GEN1,2026,0,,,,,,
10763__OE301,2026,0,,,,,,
10764__GEN1,2026,0,,,,,,
10767__GEN1,2026,0,,,,,,
10772__GEN1,2026,0,,,,,,
10776__GTG,2026,0,,,,,,
10777__GEN1,2026,0,,,,,,
10784__GEN1,2026,0,,,,,,
10836__GEN1,2026,0,,,,,,
10837__GEN1,2026,0,,,,,,
10840__GEN1,2026,0,,,,,,
10840__GEN2,2026,0,,,,,,
10869__BBC,2026,0,,,,,,
10869__GE,2026,0,,,,,,
10869__GE_2,2026,0,,,,,,
10873__GEN1,2026,0,,,,,,
10873__GEN2,2026,0,,,,,,
10873__GEN3,2026,0,,,,,,
10874__GEN4,2026,0,,,,,,
10874__GEN5,2026,0,,,,,,
10874__GEN6,2026,0,,,,,,
10875__GEN7,2026,0,,,,,,
10875__GEN8,2026,0,,,,,,
10875__GEN9,2026,0,,,,,,
10878__EE11,2026,0,,,,,,
10879__GEN1,2026,0,,,,,,
10879__GEN2,2026,0,,,,,,
10879__GEN3,2026,0,,,,,,
10884__CTC1,2026,0,,,,,,
10884__CTC2,2026,0,,,,,,
113__1,2026,0,,,,,,
113__3,2026,0,,,,,,
114__1,2026,0,,,,,,
116__GT1,2026,0,,,,,,
116__GT2,2026,0,,,,,,
116__GT3,2026,0,,,,,,
116__GT4,2026,0,,,,,,
116__GT5,2026,0,,,,,,
116__GT6,2026,0,,,,,,
116__GT7,2026,0,,,,,,
117__1B,2026,0,,,,,,
117__2B,2026,0,,,,,,
117__3B,2026,0,,,,,,
117__C4_1,2026,0,,,,,,
117__C4_2,2026,0,,,,,,
117__C5_1,2026,0,,,,,,
117__C5_2,2026,0,,,,,,
117__C5_3,2026,0,,,,,,
117__GT1,2026,0,,,,,,
117__GT2,2026,0,,,,,,
118__GE1,2026,0,,,,,,
118__GT1,2026,0,,,,,,
118__GT2,2026,0,,,,,,
120__GT1,2026,0,,,,,,
120__GT2,2026,0,,,,,,
120__GT21,2026,0,,,,,,
120__GT3,2026,0,,,,,,
120__GT4,2026,0,,,,,,
120__GT5,2026,0,,,,,,
120__GT6,2026,0,,,,,,
120__ST1,2026,0,,,,,,
124__GT2,2026,0,,,,,,
126__4,2026,0,,,,,,
126__GT1,2026,0,,,,,,
126__GT2,2026,0,,,,,,
126__RIC1,2026,0,,,,,,
126__RIC10,2026,0,,,,,,
126__RIC2,2026,0,,,,,,
126__RIC3,2026,0,,,,,,
126__RIC4,2026,0,,,,,,
126__RIC5,2026,0,,,,,,
126__RIC6,2026,0,,,,,,
126__RIC7,2026,0,,,,,,
126__RIC8,2026,0,,,,,,
126__RIC9,2026,0,,,,,,
126__ST3,2026,0,,,,,,
141__AF1,2026,0,,,,,,
141__AF2,2026,0,,,,,,
141__AF3,2026,0,,,,,,
141__AF4,2026,0,,,,,,
141__AF5,2026,0,,,,,,
141__AF6,2026,0,,,,,,
141__AF7,2026,0,,,,,,
141__AF8,2026,0,,,,,,
141__AFSB1,2026,0,,,0.0,,,
145__HM4,2026,0,,,0.0,,,
147__KY1,2026,0,,,,,,
147__KY2,2026,0,,,,,,
147__KY4,2026,0,,,,,,
147__KY5,2026,0,,,,,,
147__KY6,2026,0,,,,,,
147__KY7,2026,0,,,,,,
147__KY7A,2026,0,,,,,,
148__MF2,2026,0,,,0.0,,,
151__1,2026,0,,,,,,
151__2,2026,0,,,,,,
160__GT1,2026,0,,,,,,
160__GT2,2026,0,,,,,,
160__GT3,2026,0,,,,,,
160__GT4,2026,0,,,,,,
160__GT5,2026,0,,,,,,
160__GT6,2026,0,,,,,,
160__ST1,2026,0,,,,,,
160__ST2,2026,0,,,,,,
160__ST3,2026,0,,,,,,
2196__1,2026,0,,,,,,
2196__2,2026,0,,,,,,
2322__10,2026,0,,,,,,
2322__11,2026,0,,,,,,
2322__12,2026,0,,,,,,
2322__13,2026,0,,,,,,
2322__14,2026,0,,,,,,
2322__15,2026,0,,,,,,
2322__16,2026,0,,,,,,
2322__17,2026,0,,,,,,
2322__18,2026,0,,,,,,
2322__19,2026,0,,,,,,
2322__20,2026,0,,,,,,
2322__21,2026,0,,,,,,
2322__22,2026,0,,,,,,
2322__9,2026,0,,,,,,
2322__GT4,2026,0,,,,,,
2322__GT5,2026,0,,,,,,
2322__GT6,2026,0,,,,,,
2322__GT7,2026,0,,,,,,
2322__GT8,2026,0,,,,,,
2324__RGES1,2026,0,,,0.0,,,
2330__1,2026,0,,,,,,
2330__2,2026,0,,,,,,
2336__10,2026,0,,,,,,
2336__3,2026,0,,,,,,
2336__4,2026,0,,,,,,
2336__5,2026,0,,,,,,
2336__8,2026,0,,,,,,
2336__9,2026,0,,,,,,
2336__GT3,2026,0,,,,,,
2336__GT4,2026,0,,,,,,
2442__4,2026,0,,,,,,
2442__5,2026,0,,,,,,
2444__6,2026,0,,,,,,
2444__7,2026,0,,,,,,
2444__8,2026,0,,,,,,
2444__9,2026,0,,,,,,
2450__1,2026,0,,,,,,
2450__2,2026,0,,,,,,
2450__3,2026,0,,,,,,
246__IC1,2026,0,,,,,,
246__IC10,2026,0,,,,,,
246__IC2,2026,0,,,,,,
246__IC3,2026,0,,,,,,
246__IC4,2026,0,,,,,,
246__IC5,2026,0,,,,,,
246__IC6,2026,0,,,,,,
246__IC7,2026,0,,,,,,
246__IC8,2026,0,,,,,,
246__IC9,2026,0,,,,,,
2475__1,2026,0,,,,,,
2475__2,2026,0,,,,,,
2475__3,2026,0,,,,,,
260__BAT1,2026,0,,,0.0,,,
260__BAT2,2026,0,,,0.0,,,
260__BAT3,2026,0,,,0.0,,,
260__CT1A,2026,0,,,,,,
260__CT1B,2026,0,,,,,,
260__CT2A,2026,0,,,,,,
260__CT2B,2026,0,,,,,,
260__ST1,2026,0,,,,,,
260__ST2,2026,0,,,,,,
286__U11,2026,0,,,,,,
286__U12,2026,0,,,,,,
286__U13,2026,0,,,,,,
286__U14,2026,0,,,,,,
286__U16,2026,0,,,,,,
286__U17,2026,0,,,,,,
286__U18,2026,0,,,,,,
286__U20,2026,0,,,,,,
286__U5,2026,0,,,,,,
286__U6,2026,0,,,,,,
286__U7,2026,0,,,,,,
286__U8,2026,0,,,,,,
299__1,2026,0,,,,,,
299__2,2026,0,,,,,,
299__3,2026,0,,,,,,
315__3,2026,0,,,,,,
315__4,2026,0,,,,,,
315__5,2026,0,,,,,,
3325__1,2026,0,,,,,,
3325__2,2026,0,,,,,,
3325__3,2026,0,,,,,,
3325__4,2026,0,,,,,,
3325__5,2026,0,,,,,,
3325__GT1,2026,0,,,,,,
3325__GT2,2026,0,,,,,,
3325__GT3,2026,0,,,,,,
3325__GT4,2026,0,,,,,,
335__2,2026,0,,,,,,
341__CT1,2026,0,,,,,,
341__CT2,2026,0,,,,,,
341__CT3,2026,0,,,,,,
341__CT4,2026,0,,,,,,
3456__1,2026,0,,,,,,
3456__2,2026,0,,,,,,
3456__3,2026,0,,,,,,
3456__4,2026,0,,,,,,
3456__5CA1,2026,0,,,,,,
3456__5CT1,2026,0,,,,,,
3456__5CT2,2026,0,,,,,,
3456__6,2026,0,,,,,,
3456__CT1,2026,0,,,,,,
3456__CT2,2026,0,,,,,,
350__1,2026,0,,,,,,
350__2,2026,0,,,,,,
358__MV3A,2026,0,,,,,,
358__MV3B,2026,0,,,,,,
358__MV3C,2026,0,,,,,,
358__MV4A,2026,0,,,,,,
358__MV4B,2026,0,,,,,,
358__MV4C,2026,0,,,,,,
3648__1,2026,0,,,,,,
3648__2,2026,0,,,,,,
3648__3,2026,0,,,,,,
3648__4,2026,0,,,,,,
3648__5,2026,0,,,,,,
3648__6,2026,0,,,,,,
3665__1A,2026,0,,,,,,
3665__2A,2026,0,,,,,,
3665__3A,2026,0,,,,,,
371__2,2026,0,,,,,,
377__9,2026,0,,,,,,
3845__2,2026,0,,,,,,
3853__1,2026,0,,,,,,
389__2,2026,0,,,,,,
389__2A,2026,0,,,,,,
389__30,2026,0,,,,,,
389__31,2026,0,,,,,,
389__32,2026,0,,,,,,
389__4,2026,0,,,,,,
389__BESS,2026,0,,,0.0,,,
392__1,2026,0,,,0.0,,,
392__2,2026,0,,,0.0,,,
392__3,2026,0,,,0.0,,,
392__4,2026,0,,,0.0,,,
392__5,2026,0,,,0.0,,,
392__6,2026,0,,,0.0,,,
399__10A,2026,0,,,,,,
399__10B,2026,0,,,,,,
399__5,2026,0,,,,,,
399__GT10,2026,0,,,,,,
399__GT11,2026,0,,,,,,
399__GT12,2026,0,,,,,,
399__GT13,2026,0,,,,,,
399__GT14,2026,0,,,,,,
400__1,2026,0,,,,,,
400__10,2026,0,,,,,,
400__11,2026,0,,,,,,
400__12,2026,0,,,,,,
400__13,2026,0,,,,,,
400__14,2026,0,,,,,,
400__15,2026,0,,,,,,
400__16,2026,0,,,,,,
400__2,2026,0,,,,,,
400__8,2026,0,,,,,,
400__9,2026,0,,,,,,
404__1,2026,0,,,,,,
404__2,2026,0,,,,,,
404__4,2026,0,,,,,,
404__5,2026,0,,,,,,
404__6,2026,0,,,,,,
404__7,2026,0,,,,,,
404__8,2026,0,,,,,,
404__9,2026,0,,,,,,
408__5,2026,0,,,,,,
408__6,2026,0,,,,,,
408__7,2026,0,,,,,,
408__8,2026,0,,,,,,
4158__1,2026,0,,,,,,
4158__2,2026,0,,,,,,
4158__3,2026,0,,,,,,
4158__4,2026,0,,,,,,
4162__1,2026,0,,,,,,
4162__2,2026,0,,,,,,
4162__3,2026,0,,,,,,
422__GT1,2026,0,,,,,,
422__GT2,2026,0,,,,,,
422__GT3,2026,0,,,,,,
422__GT4,2026,0,,,,,,
422__GT5,2026,0,,,,,,
422__ST1,2026,0,,,,,,
4251__1,2026,0,,,,,,
4251__2,2026,0,,,,,,
4251__3,2026,0,,,,,,
4256__1,2026,0,,,,,,
4256__2,2026,0,,,,,,
437__2,2026,0,,,0.0,,,
437__4,2026,0,,,0.0,,,
437__6,2026,0,,,0.0,,,
438__2,2026,0,,,0.0,,,
438__3,2026,0,,,0.0,,,
438__4,2026,0,,,0.0,,,
446__1,2026,0,,,0.0,,,
446__2,2026,0,,,0.0,,,
446__3,2026,0,,,0.0,,,
446__4,2026,0,,,0.0,,,
446__5,2026,0,,,0.0,,,
446__6,2026,0,,,0.0,,,
448__1,2026,0,,,0.0,,,
448__2,2026,0,,,0.0,,,
448__3,2026,0,,,0.0,,,
448__4,2026,0,,,0.0,,,
448__5,2026,0,,,0.0,,,
448__6,2026,0,,,0.0,,,
448__7,2026,0,,,0.0,,,
448__8,2026,0,,,0.0,,,
460__IC1,2026,0,,,,,,
460__IC3,2026,0,,,,,,
460__IC4,2026,0,,,,,,
460__IC5,2026,0,,,,,,
464__CT1,2026,0,,,,,,
464__CT2,2026,0,,,,,,
467__A,2026,0,,,0.0,,,
467__B,2026,0,,,0.0,,,
469__4,2026,0,,,,,,
469__5,2026,0,,,,,,
469__6,2026,0,,,,,,
469__7,2026,0,,,,,,
470__2,2026,0,,,,,,
470__3,2026,0,,,,,,
471__1,2026,0,,,,,,
477__6,2026,0,,,,,,
492__A1,2026,0,,,,,,
492__A2,2026,0,,,,,,
492__A3,2026,0,,,,,,
492__A4,2026,0,,,,,,
492__A5,2026,0,,,,,,
492__A6,2026,0,,,,,,
493__1,2026,0,,,,,,
493__2,2026,0,,,,,,
493__3,2026,0,,,,,,
50003__GEN1,2026,0,,,,,,
50049__GEN1,2026,0,,,,,,
50049__GEN2,2026,0,,,,,,
50049__GEN3,2026,0,,,,,,
50061__GEN2,2026,0,,,,,,
50061__GEN3,2026,0,,,,,,
50061__GEN4,2026,0,,,,,,
50064__18027,2026,0,,,0.0,,,
50064__3,2026,0,,,,,,
50066__UNT1,2026,0,,,,,,
50066__UNT2,2026,0,,,,,,
50089__S_17,2026,0,,,,,,
50099__GEN1,2026,0,,,,,,
50110__GEN1,2026,0,,,,,,
50112__GEN3,2026,0,,,,,,
50115__GEN1,2026,0,,,,,,
50119__GENA,2026,0,,,,,,
50119__GENB,2026,0,,,,,,
50119__GENC,2026,0,,,,,,
50131__K100,2026,0,,,,,,
50134__GTAG,2026,0,,,,,,
50134__GTBG,2026,0,,,,,,
50134__GTCG,2026,0,,,,,,
50134__GTDG,2026,0,,,,,,
50148__GEN1,2026,0,,,,,,
50148__GEN2,2026,0,,,,,,
50170__GEN1,2026,0,,,,,,
50185__TG1,2026,0,,,,,,
50185__TG2,2026,0,,,,,,
50187__TG1,2026,0,,,,,,
50187__TG2,2026,0,,,,,,
50187__TG4,2026,0,,,,,,
50187__TG5,2026,0,,,,,,
50191__TG1,2026,0,,,,,,
50191__TG2,2026,0,,,,,,
50191__TG3,2026,0,,,,,,
50191__TG4,2026,0,,,,,,
50200__GEN1,2026,0,,,,,,
50200__GEN2,2026,0,,,,,,
50205__7101,2026,0,,,,,,
50210__GEN1,2026,0,,,,,,
50210__GEN2,2026,0,,,,,,
50216__GN91,2026,0,,,,,,
50216__GN92,2026,0,,,,,,
50216__GN93,2026,0,,,,,,
50216__GN94,2026,0,,,,,,
50216__GN95,2026,0,,,,,,
50216__GN96,2026,0,,,,,,
50216__GN97,2026,0,,,,,,
50224__7610,2026,0,,,,,,
50224__7710,2026,0,,,,,,
50224__7810,2026,0,,,,,,
50234__2074,2026,0,,,,,,
50234__2075,2026,0,,,,,,
50234__2076,2026,0,,,,,,
50241__9541,2026,0,,,,,,
50241__9542,2026,0,,,,,,
50270__GTG1,2026,0,,,,,,
50270__STG1,2026,0,,,,,,
50274__GEN1,2026,0,,,,,,
50293__GEN1,2026,0,,,,,,
50299__GEN1,2026,0,,,,,,
502__5,2026,0,,,,,,
502__CAT,2026,0,,,,,,
502__EMD,2026,0,,,,,,
50300__BESS1,2026,0,,,0.0,,,
50300__BESS2,2026,0,,,0.0,,,
50329__4,2026,0,,,,,,
50329__5,2026,0,,,,,,
50363__L313,2026,0,,,,,,
50396__GEN1,2026,0,,,,,,
50396__GEN2,2026,0,,,,,,
50396__GEN3,2026,0,,,,,,
50396__GEN4,2026,0,,,,,,
50396__GEN5,2026,0,,,,,,
50396__GEN6,2026,0,,,,,,
50464__GEN1,2026,0,,,,,,
50464__GEN2,2026,0,,,,,,
50492__1,2026,0,,,,,,
50492__2,2026,0,,,,,,
50493__DC1,2026,0,,,,,,
50493__DC2,2026,0,,,,,,
50494__KF1,2026,0,,,,,,
50494__KF2,2026,0,,,,,,
50495__HS1,2026,0,,,,,,
50495__HS2,2026,0,,,,,,
504__1,2026,0,,,,,,
504__3,2026,0,,,,,,
504__4,2026,0,,,,,,
504__5,2026,0,,,,,,
50530__GEN1,2026,0,,,,,,
50530__GEN2,2026,0,,,,,,
50530__GEN3,2026,0,,,,,,
50537__GEN1,2026,0,,,,,,
50540__GEN1,2026,0,,,,,,
50540__GEN2,2026,0,,,,,,
50541__GEN1,2026,0,,,,,,
50541__ST1,2026,0,,,,,,
50541__ST2,2026,0,,,,,,
50544__GEN6,2026,0,,,,,,
50560__GEN1,2026,0,,,,,,
50571__GEN1,2026,0,,,,,,
50571__GEN2,2026,0,,,,,,
50610__1,2026,0,,,,,,
50612__GEN1,2026,0,,,,,,
50622__GEN1,2026,0,,,,,,
50622__GEN2,2026,0,,,,,,
50624__EXP1,2026,0,,,,,,
50624__GTG1,2026,0,,,,,,
50624__STG1,2026,0,,,,,,
50630__GEN1,2026,0,,,,,,
50632__GEN1,2026,0,,,,,,
50637__GEN1,2026,0,,,,,,
50637__GEN2,2026,0,,,,,,
50637__GEN3,2026,0,,,,,,
50637__GEN4,2026,0,,,,,,
50654__OEC51,2026,0,,,,,,
50654__OEC52,2026,0,,,,,,
50674__GEN1A,2026,0,,,,,,
50696__GEN1,2026,0,,,,,,
50696__GEN2,2026,0,,,,,,
50696__GEN3,2026,0,,,,,,
50707__LMA,2026,0,,,,,,
50707__LMB,2026,0,,,,,,
50707__LMC,2026,0,,,,,,
50707__LMD,2026,0,,,,,,
50707__LME,2026,0,,,,,,
50707__STA,2026,0,,,,,,
50707__STB,2026,0,,,,,,
50748__GEN1,2026,0,,,,,,
50748__GEN2,2026,0,,,,,,
50750__GEN1,2026,0,,,,,,
50750__GEN2,2026,0,,,,,,
50751__GTG1,2026,0,,,,,,
50751__GTG2,2026,0,,,,,,
50751__GTG3,2026,0,,,,,,
50752__GEN1,2026,0,,,,,,
50752__GEN2,2026,0,,,,,,
50752__GEN3,2026,0,,,,,,
50765__1_1,2026,0,,,,,,
50765__1_2,2026,0,,,,,,
50765__2_1,2026,0,,,,,,
50765__2_2,2026,0,,,,,,
50766__ITLU1,2026,0,,,,,,
50766__ITLU2,2026,0,,,,,,
50766__OE31,2026,0,,,,,,
50766__OE32,2026,0,,,,,,
507__1,2026,0,,,,,,
507__2,2026,0,,,,,,
507__4,2026,0,,,,,,
507__5,2026,0,,,,,,
507__6,2026,0,,,,,,
50831__GEN1,2026,0,,,,,,
50831__GEN2,2026,0,,,,,,
50831__GEN3,2026,0,,,,,,
50837__GEN1,2026,0,,,,,,
50849__GEN1,2026,0,,,,,,
50849__GEN2,2026,0,,,,,,
50850__GEN1,2026,0,,,,,,
50850__GEN2,2026,0,,,,,,
50851__GEN1,2026,0,,,,,,
50851__GEN2,2026,0,,,,,,
50864__K100,2026,0,,,,,,
50865__K100,2026,0,,,,,,
50881__GEN1,2026,0,,,,,,
50881__GEN2,2026,0,,,,,,
50881__GEN3,2026,0,,,,,,
50886__GEN1,2026,0,,,,,,
508__IC1,2026,0,,,,,,
508__IC2,2026,0,,,,,,
50906__3,2026,0,,,,,,
50906__4,2026,0,,,,,,
50906__5,2026,0,,,,,,
50921__GEN1,2026,0,,,,,,
50931__GEN1,2026,0,,,,,,
50951__GEN1,2026,0,,,,,,
50963__4TG,2026,0,,,,,,
50964__IND,2026,0,,,,,,
50964__SYN,2026,0,,,,,,
50985__3163,2026,0,,,,,,
50985__3164,2026,0,,,,,,
50985__3165,2026,0,,,,,,
50993__GEN1,2026,0,,,,,,
510__1,2026,0,,,,,,
511__3,2026,0,,,,,,
511__4,2026,0,,,,,,
511__5,2026,0,,,,,,
511__6,2026,0,,,,,,
511__7,2026,0,,,,,,
518__3,2026,0,,,0.0,,,
52015__GEN1,2026,0,,,,,,
52015__GEN2,2026,0,,,,,,
52063__GEN1,2026,0,,,,,,
52064__GEN1,2026,0,,,,,,
52073__GEN1,2026,0,,,,,,
52073__GEN2,2026,0,,,,,,
52073__GEN3,2026,0,,,,,,
52076__UNIT1,2026,0,,,,,,
52076__UNIT2,2026,0,,,,,,
52077__GEN5,2026,0,,,,,,
52077__GEN6,2026,0,,,,,,
52078__GEN7,2026,0,,,,,,
52078__GEN8,2026,0,,,,,,
52078__GEN9,2026,0,,,,,,
52081__TG1,2026,0,,,,,,
52081__TG2,2026,0,,,,,,
52082__TG1,2026,0,,,,,,
52082__TG2,2026,0,,,,,,
52083__TG1,2026,0,,,,,,
52083__TG2,2026,0,,,,,,
52085__TG1,2026,0,,,,,,
52085__TG2,2026,0,,,,,,
52085__TG3,2026,0,,,,,,
52085__TG4,2026,0,,,,,,
52086__TG1,2026,0,,,,,,
52086__TG2,2026,0,,,,,,
52086__TG3,2026,0,,,,,,
52086__TG4,2026,0,,,,,,
52096__GEN1,2026,0,,,,,,
52096__GEN2,2026,0,,,,,,
52099__GEN1,2026,0,,,,,,
52099__GEN2,2026,0,,,,,,
52099__GEN3,2026,0,,,,,,
52099__GEN4,2026,0,,,,,,
52099__GEN5,2026,0,,,,,,
52099__GEN6,2026,0,,,,,,
52104__GEN1,2026,0,,,,,,
52104__GEN2,2026,0,,,,,,
52104__GEN3,2026,0,,,,,,
52104__GEN4,2026,0,,,,,,
52107__101A,2026,0,,,,,,
52107__101B,2026,0,,,,,,
52109__GEN1,2026,0,,,,,,
52109__GEN2,2026,0,,,,,,
52109__GEN3,2026,0,,,,,,
52109__GEN5,2026,0,,,,,,
52109__GEN6,2026,0,,,,,,
52127__GEN1,2026,0,,,,,,
52127__GEN2,2026,0,,,,,,
52147__GEN1,2026,0,,,,,,
52147__GEN2,2026,0,,,,,,
52147__GEN3,2026,0,,,,,,
52158__GEN1,2026,0,,,,,,
52158__GEN2,2026,0,,,,,,
52169__A,2026,0,,,,,,
52169__B,2026,0,,,,,,
52169__C,2026,0,,,,,,
52186__GEN1,2026,0,,,,,,
525__1,2026,0,,,,,,
525__2,2026,0,,,,,,
535__1,2026,0,,,,,,
54015__GEN2,2026,0,,,,,,
54038__GEN1,2026,0,,,,,,
54111__GE13,2026,0,,,,,,
54111__GEN14,2026,0,,,,,,
54111__OEC1,2026,0,,,,,,
54111__OEC2,2026,0,,,,,,
54238__STG,2026,0,,,,,,
54268__GTG1,2026,0,,,,,,
54268__GTG2,2026,0,,,,,,
54268__GTG3,2026,0,,,,,,
54271__CTG1,2026,0,,,,,,
54271__CTG2,2026,0,,,,,,
54271__STG,2026,0,,,,,,
54296__BATT,2026,0,,,0.0,,,
54296__EG3,2026,0,,,,,,
54296__EG_1H,2026,0,,,,,,
54296__EG_2H,2026,0,,,,,,
54318__TG1,2026,0,,,,,,
54318__TG2,2026,0,,,,,,
54327__TOY7,2026,0,,,,,,
54349__GTA,2026,0,,,,,,
54349__GTB,2026,0,,,,,,
54349__GTC,2026,0,,,,,,
54349__STM,2026,0,,,,,,
54350__GTA,2026,0,,,,,,
54350__GTB,2026,0,,,,,,
54350__GTC,2026,0,,,,,,
54350__STM,2026,0,,,,,,
54372__GT1,2026,0,,,,,,
54372__GT2,2026,0,,,,,,
54372__ST1,2026,0,,,,,,
54374__NO2,2026,0,,,,,,
54374__NO3,2026,0,,,,,,
54374__NO5,2026,0,,,,,,
54374__NO7,2026,0,,,,,,
54410__CTG,2026,0,,,,,,
54447__TI,2026,0,,,,,,
54449__T1,2026,0,,,,,,
54449__T2,2026,0,,,,,,
54451__G2,2026,0,,,,,,
54472__GEN1,2026,0,,,,,,
54476__GEN1,2026,0,,,,,,
54476__GEN2,2026,0,,,,,,
54477__GEN1,2026,0,,,,,,
54477__GEN2,2026,0,,,,,,
54477__GEN3,2026,0,,,,,,
54477__GEN4,2026,0,,,,,,
54477__GEN5,2026,0,,,,,,
54477__GEN6,2026,0,,,,,,
54477__GEN7,2026,0,,,,,,
54517__GEN3,2026,0,,,,,,
