project,timepoint,period,horizon,capacity_type,availability_type,operational_type,balancing_type,timepoint_weight,number_of_hours_in_timepoint,load_zone,technology,capacity_mw,availability_derate,lf_reserves_up_ba,lf_reserves_up_reserve_provision_mw,lf_reserves_down_ba,lf_reserves_down_reserve_provision_mw,regulation_up_ba,regulation_up_reserve_provision_mw,regulation_down_ba,regulation_down_reserve_provision_mw,power_mw,gross_power_mw,auxiliary_consumption_mw,net_power_mw,committed_mw,committed_units,scheduled_curtailment_mw,subhourly_curtailment_mw,subhourly_energy_delivered_mw,total_curtailment_mw,variable_om_cost,fuel_cost,startup_cost,shutdown_cost,operational_violation_cost,curtailment_cost,soc_penalty_cost,soc_last_tmp_penalty_cost,carbon_emissions_tons
Gas_CCGT,20300101,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0,1,Zone1,1.0,Zone1,1.0,Zone1,0.6,Zone1,1.0,4.4,4.4,0.0,4.4,6.0,1.0,,,,,8.8,7632.0,0.0,0.0,,,,,80.990784
Gas_CCGT,20300102,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0,1,Zone1,0.0,Zone1,2.0,Zone1,1.6,Zone1,0.0,4.4,4.4,0.0,4.4,6.0,1.0,,,,,8.8,7632.0,0.0,0.0,,,,,80.990784
Gas_CCGT_new,20200101,2020,202001,gen_new_lin,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,63.733333,1,Zone1,1.0,Zone1,1.0,Zone1,1.0,Zone1,0.0,61.733333,61.733333,0.0,61.733333,63.733333,10.622222166666667,,,,,123.466666,81518.66500000001,20.533333,0.0,,,,,865.07607298
Gas_CCGT_new,20200102,2020,202001,gen_new_lin,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,63.733333,1,Zone1,2.0,Zone1,0.4,Zone1,2.0,Zone1,0.0,39.2,39.2,0.0,39.2,43.2,7.2,,,,,78.4,55176.0,0.0,41.066666,,,,,585.5277120000001
Gas_CCGT_new,20300101,2030,203001,gen_new_lin,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,63.733333,1,Zone1,0.0,Zone1,0.0,Zone1,0.4,Zone1,0.0,0.26666667,0.26666667,0.0,0.26666667,0.66666667,0.11111111166666666,,,,,0.53333334,841.33335,0.0,13.3333334,,,,,8.928229510200001
Gas_CCGT_new,20300102,2030,203001,gen_new_lin,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,63.733333,1,Zone1,2.0,Zone1,0.0,Zone1,0.4,Zone1,2.0,4.9333333,4.9333333,0.0,4.9333333,7.3333333,1.2222222166666665,,,,,9.8666666,9314.6665,6.6666667,0.0,,,,,98.847240898
Gas_CCGT_z2,20200101,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Gas,6.0,1,Zone2,1.0,Zone2,1.0,Zone2,0.6,Zone2,1.0,4.4,4.4,0.0,4.4,6.0,1.0,,,,,8.8,7632.0,0.0,0.0,,,,,80.990784
Gas_CCGT_z2,20200102,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Gas,6.0,1,Zone2,1.2,Zone2,2.0,Zone2,0.0,Zone2,0.4,4.8,4.8,0.0,4.8,6.0,1.0,,,,,9.6,7644.0,0.0,0.0,,,,,81.118128
Gas_CCGT_z2,20300101,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Gas,6.0,1,Zone2,1.0,Zone2,1.0,Zone2,0.6,Zone2,1.0,4.4,4.4,0.0,4.4,6.0,1.0,,,,,8.8,7632.0,0.0,0.0,,,,,80.990784
Gas_CCGT_z2,20300102,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Gas,6.0,1,Zone2,1.2,Zone2,2.0,Zone2,0.0,Zone2,0.4,4.8,4.8,0.0,4.8,6.0,1.0,,,,,9.6,7644.0,0.0,0.0,,,,,81.118128
Gas_CT,20200101,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0,1,,,,,,,,,6.0,6.0,0.0,6.0,6.0,1.0,,,,,12.0,2643.9999,0.0,0.0,,,,,28.0581269388
Gas_CT,20200102,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0,1,,,,,,,,,6.0,6.0,0.0,6.0,6.0,1.0,,,,,12.0,2643.9999,0.0,0.0,,,,,28.0581269388
Gas_CT,20300101,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,6.0,,,,,0.0
Gas_CT,20300102,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,6.0,1,,,,,,,,,6.0,6.0,0.0,6.0,6.0,1.0,,,,,12.0,2643.9999,0.0,0.0,,,,,28.0581269388
Gas_CT_new,20300101,2030,203001,gen_new_lin,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,55.866667,1,,,,,,,,,55.066667,55.066667,0.0,55.066667,55.066667,9.177777833333334,,,,,110.133334,24266.0435,0.0,0.8,,,,,257.511253622
Gas_CT_new,20300102,2030,203001,gen_new_lin,exogenous,gen_commit_cap,day,4380.0,1,Zone1,Gas,55.866667,1,,,,,,,,,55.866667,55.866667,0.0,55.866667,55.866667,9.311111166666667,,,,,111.733334,24618.577,0.0,0.0,,,,,261.252339124
Gas_CT_z2,20200101,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Gas,6.0,1,,,,,,,,,6.0,6.0,0.0,6.0,6.0,1.0,,,,,12.0,2643.9999,0.0,0.0,,,,,28.0581269388
Gas_CT_z2,20200102,2020,202001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Gas,6.0,1,,,,,,,,,6.0,6.0,0.0,6.0,6.0,1.0,,,,,12.0,2643.9999,0.0,0.0,,,,,28.0581269388
Gas_CT_z2,20300101,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Gas,6.0,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,6.0,,,,,0.0
Gas_CT_z2,20300102,2030,203001,gen_spec,exogenous,gen_commit_cap,day,4380.0,1,Zone2,Gas,6.0,1,,,,,,,,,6.0,6.0,0.0,6.0,6.0,1.0,,,,,12.0,2643.9999,0.0,0.0,,,,,28.0581269388
Nuclear,20200101,2020,202001,gen_spec,exogenous,gen_must_run,day,4380.0,1,Zone1,Nuclear,6.0,1,,,,,,,,,6.0,6.0,0.0,,,,,,,,6.0,20000.04,,,,,,,0.0
Nuclear,20200102,2020,202001,gen_spec,exogenous,gen_must_run,day,4380.0,1,Zone1,Nuclear,6.0,1,,,,,,,,,6.0,6.0,0.0,,,,,,,,6.0,20000.04,,,,,,,0.0
Nuclear,20300101,2030,203001,gen_spec,exogenous,gen_must_run,day,4380.0,1,Zone1,Nuclear,6.0,1,,,,,,,,,6.0,6.0,0.0,,,,,,,,6.0,20000.04,,,,,,,0.0
Nuclear,20300102,2030,203001,gen_spec,exogenous,gen_must_run,day,4380.0,1,Zone1,Nuclear,6.0,1,,,,,,,,,6.0,6.0,0.0,,,,,,,,6.0,20000.04,,,,,,,0.0
Nuclear_z2,20200101,2020,202001,gen_spec,exogenous,gen_must_run,day,4380.0,1,Zone2,Nuclear,6.0,1,,,,,,,,,6.0,6.0,0.0,,,,,,,,6.0,20000.04,,,,,,,0.0
Nuclear_z2,20200102,2020,202001,gen_spec,exogenous,gen_must_run,day,4380.0,1,Zone2,Nuclear,6.0,1,,,,,,,,,6.0,6.0,0.0,,,,,,,,6.0,20000.04,,,,,,,0.0
Nuclear_z2,20300101,2030,203001,gen_spec,exogenous,gen_must_run,day,4380.0,1,Zone2,Nuclear,6.0,1,,,,,,,,,6.0,6.0,0.0,,,,,,,,6.0,20000.04,,,,,,,0.0
Nuclear_z2,20300102,2030,203001,gen_spec,exogenous,gen_must_run,day,4380.0,1,Zone2,Nuclear,6.0,1,,,,,,,,,6.0,6.0,0.0,,,,,,,,6.0,20000.04,,,,,,,0.0
Wind,20200101,2020,202001,gen_spec,exogenous,gen_var,day,4380.0,1,Zone1,Wind,2.0,1,,,,,,,,,1.8,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0
Wind,20200102,2020,202001,gen_spec,exogenous,gen_var,day,4380.0,1,Zone1,Wind,2.0,1,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0
Wind,20300101,2030,203001,gen_spec,exogenous,gen_var,day,4380.0,1,Zone1,Wind,2.0,1,,,,,,,,,1.8,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0
Wind,20300102,2030,203001,gen_spec,exogenous,gen_var,day,4380.0,1,Zone1,Wind,2.0,1,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0
Wind_z2,20200101,2020,202001,gen_spec,exogenous,gen_var,day,4380.0,1,Zone2,Wind,2.0,1,,,,,,,,,1.8,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0
Wind_z2,20200102,2020,202001,gen_spec,exogenous,gen_var,day,4380.0,1,Zone2,Wind,2.0,1,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0
Wind_z2,20300101,2030,203001,gen_spec,exogenous,gen_var,day,4380.0,1,Zone2,Wind,2.0,1,,,,,,,,,1.8,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0
Wind_z2,20300102,2030,203001,gen_spec,exogenous,gen_var,day,4380.0,1,Zone2,Wind,2.0,1,,,,,,,,,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0
