project,period,specified_capacity_mw,specified_capacity_mwh
NW_Peaker,2020,2993.17,
NW_Peaker,2021,2993.17,
NW_Peaker,2022,2993.17,
NW_Peaker,2023,2993.17,
NW_Peaker,2024,2993.17,
NW_Peaker,2026,2993.17,
NW_Peaker,2030,2993.17,
NW_Peaker,2045,2587.53,
SW_Nuclear,2020,2998,
SW_Nuclear,2021,2998,
SW_Nuclear,2022,2998,
SW_Nuclear,2023,2998,
SW_Nuclear,2024,2998,
SW_Nuclear,2026,2998,
SW_Nuclear,2030,2998,
SW_Nuclear,2045,2998,
SW_Coal,2020,7167.6,
SW_Coal,2021,7167.6,
SW_Coal,2022,7167.6,
SW_Coal,2023,7167.6,
SW_Coal,2024,7167.6,
SW_Coal,2026,6265.6,
SW_Coal,2030,6140.6,
SW_Coal,2045,6140.6,
SW_CCGT,2020,17015.1,
SW_CCGT,2021,17015.1,
SW_CCGT,2022,17015.1,
SW_CCGT,2023,17335.1,
SW_CCGT,2024,17108.1,
SW_CCGT,2026,19421.1,
SW_CCGT,2030,19741.1,
SW_CCGT,2045,16156.7,
SW_Peaker,2020,5989.12,
SW_Peaker,2021,5989.12,
SW_Peaker,2022,6262.12,
SW_Peaker,2023,6535.12,
SW_Peaker,2024,6808.12,
SW_Peaker,2026,6808.12,
SW_Peaker,2030,6301.92,
SW_Peaker,2045,5481.92,
SW_ST,2020,1611.5,
SW_ST,2021,1611.5,
SW_ST,2022,1611.5,
SW_ST,2023,1491.5,
SW_ST,2024,1415.5,
SW_ST,2026,1318.5,
SW_ST,2030,966.5,
SW_ST,2045,824.5,
LDWP_Nuclear,2020,407,
LDWP_Nuclear,2021,407,
LDWP_Nuclear,2022,407,
LDWP_Nuclear,2023,407,
LDWP_Nuclear,2024,407,
LDWP_Nuclear,2026,407,
LDWP_Nuclear,2030,407,
LDWP_Nuclear,2045,407,
LDWP_Coal,2020,1699.94,
LDWP_Coal,2021,1699.94,
LDWP_Coal,2022,1699.94,
LDWP_Coal,2023,1699.94,
LDWP_Coal,2024,1699.94,
LDWP_Coal,2026,0,
LDWP_Coal,2030,0,
LDWP_Coal,2045,0,
LDWP_CCGT,2020,2291.7,
LDWP_CCGT,2021,2291.7,
LDWP_CCGT,2022,2291.7,
LDWP_CCGT,2023,2291.7,
LDWP_CCGT,2024,2291.7,
LDWP_CCGT,2026,2985.7,
LDWP_CCGT,2030,2754.7,
LDWP_CCGT,2045,2754.7,
LDWP_Peaker,2020,1545,
LDWP_Peaker,2021,1545,
LDWP_Peaker,2022,1545,
LDWP_Peaker,2023,1545,
LDWP_Peaker,2024,1545,
LDWP_Peaker,2026,1647,
LDWP_Peaker,2030,1647,
LDWP_Peaker,2045,1647,
LDWP_ST,2020,992,
LDWP_ST,2021,992,
LDWP_ST,2022,992,
LDWP_ST,2023,992,
LDWP_ST,2024,548,
LDWP_ST,2026,371,
LDWP_ST,2030,197,
LDWP_ST,2045,197,
IID_CCGT,2020,255.3,
IID_CCGT,2021,255.3,
IID_CCGT,2022,255.3,
IID_CCGT,2023,255.3,
IID_CCGT,2024,255.3,
IID_CCGT,2026,255.3,
IID_CCGT,2030,255.3,
IID_CCGT,2045,255.3,
IID_Peaker,2020,397,
IID_Peaker,2021,397,
IID_Peaker,2022,397,
IID_Peaker,2023,327,
IID_Peaker,2024,327,
IID_Peaker,2026,327,
IID_Peaker,2030,327,
IID_Peaker,2045,327,
BANC_CCGT,2020,1863.1,
BANC_CCGT,2021,1863.1,
BANC_CCGT,2022,1863.1,
BANC_CCGT,2023,1863.1,
BANC_CCGT,2024,1863.1,
BANC_CCGT,2026,1863.1,
BANC_CCGT,2030,1797.5,
BANC_CCGT,2045,1797.5,
BANC_Peaker,2020,866.99,
BANC_Peaker,2021,866.99,
BANC_Peaker,2022,866.99,
BANC_Peaker,2023,866.99,
BANC_Peaker,2024,866.99,
BANC_Peaker,2026,866.99,
BANC_Peaker,2030,866.99,
BANC_Peaker,2045,866.99,
BANC_Biomass_for_Other,2020,17.5,
BANC_Biomass_for_Other,2021,17.5,
BANC_Biomass_for_Other,2022,17.5,
BANC_Biomass_for_Other,2023,17.5,
BANC_Biomass_for_Other,2024,17.5,
BANC_Biomass_for_Other,2026,17.5,
BANC_Biomass_for_Other,2030,17.5,
BANC_Biomass_for_Other,2045,17.5,
BANC_Geothermal_for_Other,2020,0,
BANC_Geothermal_for_Other,2021,0,
BANC_Geothermal_for_Other,2022,0,
BANC_Geothermal_for_Other,2023,0,
BANC_Geothermal_for_Other,2024,0,
BANC_Geothermal_for_Other,2026,0,
BANC_Geothermal_for_Other,2030,0,
BANC_Geothermal_for_Other,2045,0,
CAISO_Biomass_for_Other,2020,11.7,
CAISO_Biomass_for_Other,2021,11.7,
CAISO_Biomass_for_Other,2022,11.7,
CAISO_Biomass_for_Other,2023,11.7,
CAISO_Biomass_for_Other,2024,11.7,
CAISO_Biomass_for_Other,2026,11.7,
CAISO_Biomass_for_Other,2030,11.7,
CAISO_Biomass_for_Other,2045,11.7,
CAISO_Geothermal_for_Other,2020,38.668,
CAISO_Geothermal_for_Other,2021,38.668,
CAISO_Geothermal_for_Other,2022,38.668,
CAISO_Geothermal_for_Other,2023,38.668,
CAISO_Geothermal_for_Other,2024,38.668,
CAISO_Geothermal_for_Other,2026,38.668,
CAISO_Geothermal_for_Other,2030,38.668,
CAISO_Geothermal_for_Other,2045,38.668,
IID_Biomass_for_Other,2020,77,
IID_Biomass_for_Other,2021,77,
IID_Biomass_for_Other,2022,77,
IID_Biomass_for_Other,2023,77,
IID_Biomass_for_Other,2024,77,
IID_Biomass_for_Other,2026,77,
IID_Biomass_for_Other,2030,77,
IID_Biomass_for_Other,2045,77,
IID_Geothermal_for_Other,2020,709.46,
IID_Geothermal_for_Other,2021,709.46,
IID_Geothermal_for_Other,2022,709.46,
IID_Geothermal_for_Other,2023,709.46,
IID_Geothermal_for_Other,2024,709.46,
IID_Geothermal_for_Other,2026,709.46,
IID_Geothermal_for_Other,2030,709.46,
IID_Geothermal_for_Other,2045,709.46,
LDWP_Biomass_for_Other,2020,0,
LDWP_Biomass_for_Other,2021,0,
LDWP_Biomass_for_Other,2022,0,
LDWP_Biomass_for_Other,2023,0,
LDWP_Biomass_for_Other,2024,0,
LDWP_Biomass_for_Other,2026,0,
LDWP_Biomass_for_Other,2030,0,
LDWP_Biomass_for_Other,2045,0,
LDWP_Geothermal_for_Other,2020,0,
LDWP_Geothermal_for_Other,2021,0,
LDWP_Geothermal_for_Other,2022,0,
LDWP_Geothermal_for_Other,2023,0,
LDWP_Geothermal_for_Other,2024,0,
LDWP_Geothermal_for_Other,2026,0,
LDWP_Geothermal_for_Other,2030,0,
LDWP_Geothermal_for_Other,2045,0,
NW_Biomass_for_Other,2020,591.6,
NW_Biomass_for_Other,2021,584.1,
NW_Biomass_for_Other,2022,584.1,
NW_Biomass_for_Other,2023,584.1,
NW_Biomass_for_Other,2024,584.1,
NW_Biomass_for_Other,2026,584.1,
NW_Biomass_for_Other,2030,544.1,
NW_Biomass_for_Other,2045,544.1,
NW_Geothermal_for_Other,2020,142.095,
NW_Geothermal_for_Other,2021,142.095,
NW_Geothermal_for_Other,2022,142.095,
NW_Geothermal_for_Other,2023,142.095,
NW_Geothermal_for_Other,2024,142.095,
NW_Geothermal_for_Other,2026,142.095,
NW_Geothermal_for_Other,2030,142.095,
NW_Geothermal_for_Other,2045,132.095,
SW_Biomass_for_Other,2020,113.335,
SW_Biomass_for_Other,2021,113.335,
SW_Biomass_for_Other,2022,113.335,
SW_Biomass_for_Other,2023,113.335,
SW_Biomass_for_Other,2024,113.335,
SW_Biomass_for_Other,2026,113.335,
SW_Biomass_for_Other,2030,107.535,
SW_Biomass_for_Other,2045,107.535,
SW_Geothermal_for_Other,2020,659.1,
SW_Geothermal_for_Other,2021,701.85,
SW_Geothermal_for_Other,2022,701.85,
SW_Geothermal_for_Other,2023,701.85,
SW_Geothermal_for_Other,2024,701.85,
SW_Geothermal_for_Other,2026,701.85,
SW_Geothermal_for_Other,2030,664.85,
SW_Geothermal_for_Other,2045,664.85,
CAISO_Biomass_for_CAISO,2020,890.94985,
CAISO_Biomass_for_CAISO,2021,890.94985,
CAISO_Biomass_for_CAISO,2022,890.94985,
CAISO_Biomass_for_CAISO,2023,890.94985,
CAISO_Biomass_for_CAISO,2024,890.94985,
CAISO_Biomass_for_CAISO,2026,890.94985,
CAISO_Biomass_for_CAISO,2030,889.04985,
CAISO_Biomass_for_CAISO,2045,889.04985,
CAISO_Geothermal_for_CAISO,2020,1812.642,
CAISO_Geothermal_for_CAISO,2021,1812.642,
CAISO_Geothermal_for_CAISO,2022,1812.642,
CAISO_Geothermal_for_CAISO,2023,1812.642,
CAISO_Geothermal_for_CAISO,2024,1812.642,
CAISO_Geothermal_for_CAISO,2026,1812.642,
CAISO_Geothermal_for_CAISO,2030,1812.642,
CAISO_Geothermal_for_CAISO,2045,1812.642,
IID_Geothermal_for_CAISO,2020,83,
IID_Geothermal_for_CAISO,2021,83,
IID_Geothermal_for_CAISO,2022,83,
IID_Geothermal_for_CAISO,2023,83,
IID_Geothermal_for_CAISO,2024,83,
IID_Geothermal_for_CAISO,2026,83,
IID_Geothermal_for_CAISO,2030,83,
IID_Geothermal_for_CAISO,2045,83,
NW_Biomass_for_CAISO,2020,46,
NW_Biomass_for_CAISO,2021,46,
NW_Biomass_for_CAISO,2022,46,
NW_Biomass_for_CAISO,2023,46,
NW_Biomass_for_CAISO,2024,46,
NW_Biomass_for_CAISO,2026,46,
NW_Biomass_for_CAISO,2030,46,
NW_Biomass_for_CAISO,2045,46,
NW_Geothermal_for_CAISO,2020,0,
NW_Geothermal_for_CAISO,2021,0,
NW_Geothermal_for_CAISO,2022,0,
NW_Geothermal_for_CAISO,2023,0,
NW_Geothermal_for_CAISO,2024,0,
NW_Geothermal_for_CAISO,2026,0,
NW_Geothermal_for_CAISO,2030,0,
NW_Geothermal_for_CAISO,2045,0,
InState_Biomass,2020,0,
InState_Biomass,2021,0,
InState_Biomass,2022,0,
InState_Biomass,2023,0,
InState_Biomass,2024,0,
InState_Biomass,2026,0,
InState_Biomass,2030,0,
InState_Biomass,2045,0,
CAISO_Small_Hydro_for_CAISO,2020,960.225,
CAISO_Small_Hydro_for_CAISO,2021,960.225,
CAISO_Small_Hydro_for_CAISO,2022,960.225,
CAISO_Small_Hydro_for_CAISO,2023,960.225,
CAISO_Small_Hydro_for_CAISO,2024,960.225,
CAISO_Small_Hydro_for_CAISO,2026,960.225,
CAISO_Small_Hydro_for_CAISO,2030,960.225,
CAISO_Small_Hydro_for_CAISO,2045,960.225,
BANC_Small_Hydro_for_CAISO,2020,0,
BANC_Small_Hydro_for_CAISO,2021,0,
BANC_Small_Hydro_for_CAISO,2022,0,
BANC_Small_Hydro_for_CAISO,2023,0,
BANC_Small_Hydro_for_CAISO,2024,0,
BANC_Small_Hydro_for_CAISO,2026,0,
BANC_Small_Hydro_for_CAISO,2030,0,
BANC_Small_Hydro_for_CAISO,2045,0,
NW_Small_Hydro_for_CAISO,2020,6.9,
NW_Small_Hydro_for_CAISO,2021,6.9,
NW_Small_Hydro_for_CAISO,2022,6.9,
NW_Small_Hydro_for_CAISO,2023,6.9,
NW_Small_Hydro_for_CAISO,2024,6.9,
NW_Small_Hydro_for_CAISO,2026,6.9,
NW_Small_Hydro_for_CAISO,2030,6.9,
NW_Small_Hydro_for_CAISO,2045,6.9,
CAISO_Small_Hydro_for_Other,2020,13.8,
CAISO_Small_Hydro_for_Other,2021,13.8,
CAISO_Small_Hydro_for_Other,2022,13.8,
CAISO_Small_Hydro_for_Other,2023,13.8,
CAISO_Small_Hydro_for_Other,2024,13.8,
CAISO_Small_Hydro_for_Other,2026,13.8,
CAISO_Small_Hydro_for_Other,2030,13.8,
CAISO_Small_Hydro_for_Other,2045,13.8,
BANC_Small_Hydro_for_Other,2020,41.2,
BANC_Small_Hydro_for_Other,2021,41.2,
BANC_Small_Hydro_for_Other,2022,41.2,
BANC_Small_Hydro_for_Other,2023,41.2,
BANC_Small_Hydro_for_Other,2024,41.2,
BANC_Small_Hydro_for_Other,2026,41.2,
BANC_Small_Hydro_for_Other,2030,41.2,
BANC_Small_Hydro_for_Other,2045,41.2,
IID_Small_Hydro_for_Other,2020,0,
IID_Small_Hydro_for_Other,2021,0,
IID_Small_Hydro_for_Other,2022,0,
IID_Small_Hydro_for_Other,2023,0,
IID_Small_Hydro_for_Other,2024,0,
IID_Small_Hydro_for_Other,2026,0,
IID_Small_Hydro_for_Other,2030,0,
IID_Small_Hydro_for_Other,2045,0,
LDWP_Small_Hydro_for_Other,2020,56,
LDWP_Small_Hydro_for_Other,2021,56,
LDWP_Small_Hydro_for_Other,2022,56,
LDWP_Small_Hydro_for_Other,2023,56,
LDWP_Small_Hydro_for_Other,2024,56,
LDWP_Small_Hydro_for_Other,2026,56,
LDWP_Small_Hydro_for_Other,2030,56,
LDWP_Small_Hydro_for_Other,2045,56,
NW_Small_Hydro_for_Other,2020,41,
NW_Small_Hydro_for_Other,2021,41,
NW_Small_Hydro_for_Other,2022,41,
NW_Small_Hydro_for_Other,2023,41,
NW_Small_Hydro_for_Other,2024,41,
NW_Small_Hydro_for_Other,2026,41,
NW_Small_Hydro_for_Other,2030,41,
NW_Small_Hydro_for_Other,2045,41,
SW_Small_Hydro_for_Other,2020,0,
SW_Small_Hydro_for_Other,2021,0,
SW_Small_Hydro_for_Other,2022,0,
SW_Small_Hydro_for_Other,2023,0,
SW_Small_Hydro_for_Other,2024,0,
SW_Small_Hydro_for_Other,2026,0,
SW_Small_Hydro_for_Other,2030,0,
SW_Small_Hydro_for_Other,2045,0,
Greater_Imperial_Geothermal,2020,0,
Greater_Imperial_Geothermal,2021,0,
Greater_Imperial_Geothermal,2022,0,
Greater_Imperial_Geothermal,2023,0,
Greater_Imperial_Geothermal,2024,0,
Greater_Imperial_Geothermal,2026,0,
Greater_Imperial_Geothermal,2030,0,
Greater_Imperial_Geothermal,2045,0,
Inyokern_North_Kramer_Geothermal,2020,0,
Inyokern_North_Kramer_Geothermal,2021,0,
Inyokern_North_Kramer_Geothermal,2022,0,
Inyokern_North_Kramer_Geothermal,2023,0,
Inyokern_North_Kramer_Geothermal,2024,0,
Inyokern_North_Kramer_Geothermal,2026,0,
Inyokern_North_Kramer_Geothermal,2030,0,
Inyokern_North_Kramer_Geothermal,2045,0,
Northern_California_Ex_Geothermal,2020,0,
Northern_California_Ex_Geothermal,2021,0,
Northern_California_Ex_Geothermal,2022,0,
Northern_California_Ex_Geothermal,2023,0,
Northern_California_Ex_Geothermal,2024,0,
Northern_California_Ex_Geothermal,2026,0,
Northern_California_Ex_Geothermal,2030,0,
Northern_California_Ex_Geothermal,2045,0,
Pacific_Northwest_Geothermal,2020,0,
Pacific_Northwest_Geothermal,2021,0,
Pacific_Northwest_Geothermal,2022,0,
Pacific_Northwest_Geothermal,2023,0,
Pacific_Northwest_Geothermal,2024,0,
Pacific_Northwest_Geothermal,2026,0,
Pacific_Northwest_Geothermal,2030,0,
Pacific_Northwest_Geothermal,2045,0,
Riverside_Palm_Springs_Geothermal,2020,0,
Riverside_Palm_Springs_Geothermal,2021,0,
Riverside_Palm_Springs_Geothermal,2022,0,
Riverside_Palm_Springs_Geothermal,2023,0,
Riverside_Palm_Springs_Geothermal,2024,0,
Riverside_Palm_Springs_Geothermal,2026,0,
Riverside_Palm_Springs_Geothermal,2030,0,
Riverside_Palm_Springs_Geothermal,2045,0,
Solano_Geothermal,2020,0,
Solano_Geothermal,2021,0,
Solano_Geothermal,2022,0,
Solano_Geothermal,2023,0,
Solano_Geothermal,2024,0,
Solano_Geothermal,2026,0,
Solano_Geothermal,2030,0,
Solano_Geothermal,2045,0,
Southern_Nevada_Geothermal,2020,0,
Southern_Nevada_Geothermal,2021,0,
Southern_Nevada_Geothermal,2022,0,
Southern_Nevada_Geothermal,2023,0,
Southern_Nevada_Geothermal,2024,0,
Southern_Nevada_Geothermal,2026,0,
Southern_Nevada_Geothermal,2030,0,
Southern_Nevada_Geothermal,2045,0,
Customer_PV,2020,9827.313061,
Customer_PV,2021,11136.82054,
Customer_PV,2022,12284.26634,
Customer_PV,2023,13303.04096,
Customer_PV,2024,14288.23084,
Customer_PV,2026,16155.51337,
Customer_PV,2030,20066.03224,
Customer_PV,2045,34857.66862,
BANC_Solar_for_Other,2020,2077.68253,
BANC_Solar_for_Other,2021,2259.398792,
BANC_Solar_for_Other,2022,2443.132044,
BANC_Solar_for_Other,2023,2613.033231,
BANC_Solar_for_Other,2024,2788.121027,
BANC_Solar_for_Other,2026,3135.324328,
BANC_Solar_for_Other,2030,3777.054166,
BANC_Solar_for_Other,2045,3777.054166,
CAISO_Solar_for_Other,2020,12,
CAISO_Solar_for_Other,2021,12,
CAISO_Solar_for_Other,2022,12,
CAISO_Solar_for_Other,2023,12,
CAISO_Solar_for_Other,2024,12,
CAISO_Solar_for_Other,2026,12,
CAISO_Solar_for_Other,2030,12,
CAISO_Solar_for_Other,2045,12,
IID_Solar_for_Other,2020,138.7,
IID_Solar_for_Other,2021,138.7,
IID_Solar_for_Other,2022,138.7,
IID_Solar_for_Other,2023,138.7,
IID_Solar_for_Other,2024,138.7,
IID_Solar_for_Other,2026,138.7,
IID_Solar_for_Other,2030,115.7,
IID_Solar_for_Other,2045,115.7,
LDWP_Solar_for_Other,2020,2410.940821,
LDWP_Solar_for_Other,2021,2649.502146,
LDWP_Solar_for_Other,2022,2895.639065,
LDWP_Solar_for_Other,2023,3098.278378,
LDWP_Solar_for_Other,2024,3320.048892,
LDWP_Solar_for_Other,2026,3460.482736,
LDWP_Solar_for_Other,2030,3460.482736,
LDWP_Solar_for_Other,2045,3460.482736,
NW_Solar_for_Other,2020,2665.84,
NW_Solar_for_Other,2021,2665.84,
NW_Solar_for_Other,2022,2665.84,
NW_Solar_for_Other,2023,2665.84,
NW_Solar_for_Other,2024,2665.84,
NW_Solar_for_Other,2026,2665.84,
NW_Solar_for_Other,2030,2660.6,
NW_Solar_for_Other,2045,2659.5,
SW_Solar_for_Other,2020,1548.14,
SW_Solar_for_Other,2021,1548.14,
SW_Solar_for_Other,2022,1671.64,
SW_Solar_for_Other,2023,1671.64,
SW_Solar_for_Other,2024,1671.64,
SW_Solar_for_Other,2026,1854.61,
SW_Solar_for_Other,2030,1830.89,
SW_Solar_for_Other,2045,1637.26,
CAISO_Solar_for_CAISO,2020,14298.325,
CAISO_Solar_for_CAISO,2021,14753.85,
CAISO_Solar_for_CAISO,2022,14875.45,
CAISO_Solar_for_CAISO,2023,14875.45,
CAISO_Solar_for_CAISO,2024,14875.45,
CAISO_Solar_for_CAISO,2026,14875.45,
CAISO_Solar_for_CAISO,2030,14875.45,
CAISO_Solar_for_CAISO,2045,14875.45,
IID_Solar_for_CAISO,2020,49.9,
IID_Solar_for_CAISO,2021,49.9,
IID_Solar_for_CAISO,2022,49.9,
IID_Solar_for_CAISO,2023,49.9,
IID_Solar_for_CAISO,2024,49.9,
IID_Solar_for_CAISO,2026,49.9,
IID_Solar_for_CAISO,2030,49.9,
IID_Solar_for_CAISO,2045,49.9,
SW_Solar_for_CAISO,2020,65,
SW_Solar_for_CAISO,2021,65,
SW_Solar_for_CAISO,2022,65,
SW_Solar_for_CAISO,2023,65,
SW_Solar_for_CAISO,2024,65,
SW_Solar_for_CAISO,2026,65,
SW_Solar_for_CAISO,2030,65,
SW_Solar_for_CAISO,2045,65,
BANC_Wind_for_Other,2020,0,
BANC_Wind_for_Other,2021,0,
BANC_Wind_for_Other,2022,0,
BANC_Wind_for_Other,2023,0,
BANC_Wind_for_Other,2024,0,
BANC_Wind_for_Other,2026,0,
BANC_Wind_for_Other,2030,0,
BANC_Wind_for_Other,2045,0,
CAISO_Wind_for_Other,2020,279.98,
CAISO_Wind_for_Other,2021,279.98,
CAISO_Wind_for_Other,2022,279.98,
CAISO_Wind_for_Other,2023,279.98,
CAISO_Wind_for_Other,2024,279.98,
CAISO_Wind_for_Other,2026,279.98,
CAISO_Wind_for_Other,2030,279.98,
CAISO_Wind_for_Other,2045,279.98,
IID_Wind_for_Other,2020,0,
IID_Wind_for_Other,2021,0,
IID_Wind_for_Other,2022,0,
IID_Wind_for_Other,2023,0,
IID_Wind_for_Other,2024,0,
IID_Wind_for_Other,2026,0,
IID_Wind_for_Other,2030,0,
IID_Wind_for_Other,2045,0,
LDWP_Wind_for_Other,2020,418.4125,
LDWP_Wind_for_Other,2021,418.4125,
LDWP_Wind_for_Other,2022,418.4125,
LDWP_Wind_for_Other,2023,418.4125,
LDWP_Wind_for_Other,2024,418.4125,
LDWP_Wind_for_Other,2026,704.8375,
LDWP_Wind_for_Other,2030,704.8375,
LDWP_Wind_for_Other,2045,704.8375,
NW_Wind_for_Other,2020,11058.38792,
NW_Wind_for_Other,2021,11058.38792,
NW_Wind_for_Other,2022,11057.08792,
NW_Wind_for_Other,2023,11057.08792,
NW_Wind_for_Other,2024,11057.08792,
NW_Wind_for_Other,2026,11057.08792,
NW_Wind_for_Other,2030,10956.08792,
NW_Wind_for_Other,2045,10956.08792,
SW_Wind_for_Other,2020,2285.7,
SW_Wind_for_Other,2021,2285.7,
SW_Wind_for_Other,2022,2285.7,
SW_Wind_for_Other,2023,2285.7,
SW_Wind_for_Other,2024,2285.7,
SW_Wind_for_Other,2026,2276.7,
SW_Wind_for_Other,2030,1872.7,
SW_Wind_for_Other,2045,1872.7,
CAISO_Wind_for_CAISO,2020,7076.58,
CAISO_Wind_for_CAISO,2021,7176.33,
CAISO_Wind_for_CAISO,2022,7176.33,
CAISO_Wind_for_CAISO,2023,7176.33,
CAISO_Wind_for_CAISO,2024,7176.33,
CAISO_Wind_for_CAISO,2026,7176.33,
CAISO_Wind_for_CAISO,2030,7176.33,
CAISO_Wind_for_CAISO,2045,7176.33,
LDWP_Wind_for_CAISO,2020,5.0875,
LDWP_Wind_for_CAISO,2021,5.0875,
LDWP_Wind_for_CAISO,2022,5.0875,
LDWP_Wind_for_CAISO,2023,5.0875,
LDWP_Wind_for_CAISO,2024,5.0875,
LDWP_Wind_for_CAISO,2026,5.0875,
LDWP_Wind_for_CAISO,2030,5.0875,
LDWP_Wind_for_CAISO,2045,5.0875,
NW_Wind_for_CAISO,2020,1417.29208,
NW_Wind_for_CAISO,2021,1417.29208,
NW_Wind_for_CAISO,2022,1417.29208,
NW_Wind_for_CAISO,2023,1417.29208,
NW_Wind_for_CAISO,2024,1417.29208,
NW_Wind_for_CAISO,2026,1417.29208,
NW_Wind_for_CAISO,2030,1417.29208,
NW_Wind_for_CAISO,2045,1417.29208,
SW_Wind_for_CAISO,2020,50.4,
SW_Wind_for_CAISO,2021,50.4,
SW_Wind_for_CAISO,2022,50.4,
SW_Wind_for_CAISO,2023,50.4,
SW_Wind_for_CAISO,2024,50.4,
SW_Wind_for_CAISO,2026,50.4,
SW_Wind_for_CAISO,2030,50.4,
SW_Wind_for_CAISO,2045,50.4,
Carrizo_Solar,2020,0,
Carrizo_Solar,2021,0,
Carrizo_Solar,2022,0,
Carrizo_Solar,2023,0,
Carrizo_Solar,2024,0,
Carrizo_Solar,2026,0,
Carrizo_Solar,2030,0,
Carrizo_Solar,2045,0,
Carrizo_Wind,2020,0,
Carrizo_Wind,2021,0,
Carrizo_Wind,2022,0,
Carrizo_Wind,2023,0,
Carrizo_Wind,2024,0,
Carrizo_Wind,2026,0,
Carrizo_Wind,2030,0,
Carrizo_Wind,2045,0,
Central_Valley_North_Los_Banos_Solar,2020,0,
Central_Valley_North_Los_Banos_Solar,2021,0,
Central_Valley_North_Los_Banos_Solar,2022,0,
