frequency_response_ba,stage_id,timepoint,frequency_response_mw
CAISO,1,20200705,770
CAISO,1,20200706,770
CAISO,1,20200707,770
CAISO,1,20200708,770
CAISO,1,20200709,770
CAISO,1,20200710,770
CAISO,1,20200711,770
CAISO,1,20200712,770
CAISO,1,20200713,770
CAISO,1,20200714,770
CAISO,1,20200715,770
CAISO,1,20200716,770
CAISO,1,20200717,770
CAISO,1,20200718,770
CAISO,1,20200719,770
CAISO,1,20200720,770
CAISO,1,20200721,770
CAISO,1,20200722,770
CAISO,1,20200723,770
CAISO,1,20200724,770
CAISO,1,20200801,770
CAISO,1,20200802,770
CAISO,1,20200803,770
CAISO,1,20200804,770
CAISO,1,20200805,770
CAISO,1,20200806,770
CAISO,1,20200807,770
CAISO,1,20200808,770
CAISO,1,20200809,770
CAISO,1,20200810,770
CAISO,1,20200811,770
CAISO,1,20200812,770
CAISO,1,20200813,770
CAISO,1,20200814,770
CAISO,1,20200815,770
CAISO,1,20200816,770
CAISO,1,20200817,770
CAISO,1,20200818,770
CAISO,1,20200819,770
CAISO,1,20200820,770
CAISO,1,20200821,770
CAISO,1,20200822,770
CAISO,1,20200823,770
CAISO,1,20200824,770
CAISO,1,20200901,770
CAISO,1,20200902,770
CAISO,1,20200903,770
CAISO,1,20200904,770
CAISO,1,20200905,770
CAISO,1,20200906,770
CAISO,1,20200907,770
CAISO,1,20200908,770
CAISO,1,20200909,770
CAISO,1,20200910,770
CAISO,1,20200911,770
CAISO,1,20200912,770
CAISO,1,20200913,770
CAISO,1,20200914,770
CAISO,1,20200915,770
CAISO,1,20200916,770
CAISO,1,20200917,770
CAISO,1,20200918,770
CAISO,1,20200919,770
CAISO,1,20200920,770
CAISO,1,20200921,770
CAISO,1,20200922,770
CAISO,1,20200923,770
CAISO,1,20200924,770
CAISO,1,20201001,770
CAISO,1,20201002,770
CAISO,1,20201003,770
CAISO,1,20201004,770
CAISO,1,20201005,770
CAISO,1,20201006,770
CAISO,1,20201007,770
CAISO,1,20201008,770
CAISO,1,20201009,770
CAISO,1,20201010,770
CAISO,1,20201011,770
CAISO,1,20201012,770
CAISO,1,20201013,770
CAISO,1,20201014,770
CAISO,1,20201015,770
CAISO,1,20201016,770
CAISO,1,20201017,770
CAISO,1,20201018,770
CAISO,1,20201019,770
CAISO,1,20201020,770
CAISO,1,20201021,770
CAISO,1,20201022,770
CAISO,1,20201023,770
CAISO,1,20201024,770
CAISO,1,20201101,770
CAISO,1,20201102,770
CAISO,1,20201103,770
CAISO,1,20201104,770
CAISO,1,20201105,770
CAISO,1,20201106,770
CAISO,1,20201107,770
CAISO,1,20201108,770
CAISO,1,20201109,770
CAISO,1,20201110,770
CAISO,1,20201111,770
CAISO,1,20201112,770
CAISO,1,20201113,770
CAISO,1,20201114,770
CAISO,1,20201115,770
CAISO,1,20201116,770
CAISO,1,20201117,770
CAISO,1,20201118,770
CAISO,1,20201119,770
CAISO,1,20201120,770
CAISO,1,20201121,770
CAISO,1,20201122,770
CAISO,1,20201123,770
CAISO,1,20201124,770
CAISO,1,20201201,770
CAISO,1,20201202,770
CAISO,1,20201203,770
CAISO,1,20201204,770
CAISO,1,20201205,770
CAISO,1,20201206,770
CAISO,1,20201207,770
CAISO,1,20201208,770
CAISO,1,20201209,770
CAISO,1,20201210,770
CAISO,1,20201211,770
CAISO,1,20201212,770
CAISO,1,20201213,770
CAISO,1,20201214,770
CAISO,1,20201215,770
CAISO,1,20201216,770
CAISO,1,20201217,770
CAISO,1,20201218,770
CAISO,1,20201219,770
CAISO,1,20201220,770
CAISO,1,20201221,770
CAISO,1,20201222,770
CAISO,1,20201223,770
CAISO,1,20201224,770
CAISO,1,20201301,770
CAISO,1,20201302,770
CAISO,1,20201303,770
CAISO,1,20201304,770
CAISO,1,20201305,770
CAISO,1,20201306,770
CAISO,1,20201307,770
CAISO,1,20201308,770
CAISO,1,20201309,770
CAISO,1,20201310,770
CAISO,1,20201311,770
CAISO,1,20201312,770
CAISO,1,20201313,770
CAISO,1,20201314,770
CAISO,1,20201315,770
CAISO,1,20201316,770
CAISO,1,20201317,770
CAISO,1,20201318,770
CAISO,1,20201319,770
CAISO,1,20201320,770
CAISO,1,20201321,770
CAISO,1,20201322,770
CAISO,1,20201323,770
CAISO,1,20201324,770
CAISO,1,20201401,770
CAISO,1,20201402,770
CAISO,1,20201403,770
CAISO,1,20201404,770
CAISO,1,20201405,770
CAISO,1,20201406,770
CAISO,1,20201407,770
CAISO,1,20201408,770
CAISO,1,20201409,770
CAISO,1,20201410,770
CAISO,1,20201411,770
CAISO,1,20201412,770
CAISO,1,20201413,770
CAISO,1,20201414,770
CAISO,1,20201415,770
CAISO,1,20201416,770
CAISO,1,20201417,770
CAISO,1,20201418,770
CAISO,1,20201419,770
CAISO,1,20201420,770
CAISO,1,20201421,770
CAISO,1,20201422,770
CAISO,1,20201423,770
CAISO,1,20201424,770
CAISO,1,20201501,770
CAISO,1,20201502,770
CAISO,1,20201503,770
CAISO,1,20201504,770
CAISO,1,20201505,770
CAISO,1,20201506,770
CAISO,1,20201507,770
CAISO,1,20201508,770
CAISO,1,20201509,770
CAISO,1,20201510,770
CAISO,1,20201511,770
CAISO,1,20201512,770
CAISO,1,20201513,770
CAISO,1,20201514,770
CAISO,1,20201515,770
CAISO,1,20201516,770
CAISO,1,20201517,770
CAISO,1,20201518,770
CAISO,1,20201519,770
CAISO,1,20201520,770
CAISO,1,20201521,770
CAISO,1,20201522,770
CAISO,1,20201523,770
CAISO,1,20201524,770
CAISO,1,20201601,770
CAISO,1,20201602,770
CAISO,1,20201603,770
CAISO,1,20201604,770
CAISO,1,20201605,770
CAISO,1,20201606,770
CAISO,1,20201607,770
CAISO,1,20201608,770
CAISO,1,20201609,770
CAISO,1,20201610,770
CAISO,1,20201611,770
CAISO,1,20201612,770
CAISO,1,20201613,770
CAISO,1,20201614,770
CAISO,1,20201615,770
CAISO,1,20201616,770
CAISO,1,20201617,770
CAISO,1,20201618,770
CAISO,1,20201619,770
CAISO,1,20201620,770
CAISO,1,20201621,770
CAISO,1,20201622,770
CAISO,1,20201623,770
CAISO,1,20201624,770
CAISO,1,20201701,770
CAISO,1,20201702,770
CAISO,1,20201703,770
CAISO,1,20201704,770
CAISO,1,20201705,770
CAISO,1,20201706,770
CAISO,1,20201707,770
CAISO,1,20201708,770
CAISO,1,20201709,770
CAISO,1,20201710,770
CAISO,1,20201711,770
CAISO,1,20201712,770
CAISO,1,20201713,770
CAISO,1,20201714,770
CAISO,1,20201715,770
CAISO,1,20201716,770
CAISO,1,20201717,770
CAISO,1,20201718,770
CAISO,1,20201719,770
CAISO,1,20201720,770
CAISO,1,20201721,770
CAISO,1,20201722,770
CAISO,1,20201723,770
CAISO,1,20201724,770
CAISO,1,20201801,770
CAISO,1,20201802,770
CAISO,1,20201803,770
CAISO,1,20201804,770
CAISO,1,20201805,770
CAISO,1,20201806,770
CAISO,1,20201807,770
CAISO,1,20201808,770
CAISO,1,20201809,770
CAISO,1,20201810,770
CAISO,1,20201811,770
CAISO,1,20201812,770
CAISO,1,20201813,770
CAISO,1,20201814,770
CAISO,1,20201815,770
CAISO,1,20201816,770
CAISO,1,20201817,770
CAISO,1,20201818,770
CAISO,1,20201819,770
CAISO,1,20201820,770
CAISO,1,20201821,770
CAISO,1,20201822,770
CAISO,1,20201823,770
CAISO,1,20201824,770
CAISO,1,20201901,770
CAISO,1,20201902,770
CAISO,1,20201903,770
CAISO,1,20201904,770
CAISO,1,20201905,770
CAISO,1,20201906,770
CAISO,1,20201907,770
CAISO,1,20201908,770
CAISO,1,20201909,770
CAISO,1,20201910,770
CAISO,1,20201911,770
CAISO,1,20201912,770
CAISO,1,20201913,770
CAISO,1,20201914,770
CAISO,1,20201915,770
CAISO,1,20201916,770
CAISO,1,20201917,770
CAISO,1,20201918,770
CAISO,1,20201919,770
CAISO,1,20201920,770
CAISO,1,20201921,770
CAISO,1,20201922,770
CAISO,1,20201923,770
CAISO,1,20201924,770
CAISO,1,20202001,770
CAISO,1,20202002,770
CAISO,1,20202003,770
CAISO,1,20202004,770
CAISO,1,20202005,770
CAISO,1,20202006,770
CAISO,1,20202007,770
CAISO,1,20202008,770
CAISO,1,20202009,770
CAISO,1,20202010,770
CAISO,1,20202011,770
CAISO,1,20202012,770
CAISO,1,20202013,770
CAISO,1,20202014,770
CAISO,1,20202015,770
CAISO,1,20202016,770
CAISO,1,20202017,770
CAISO,1,20202018,770
CAISO,1,20202019,770
CAISO,1,20202020,770
CAISO,1,20202021,770
CAISO,1,20202022,770
CAISO,1,20202023,770
CAISO,1,20202024,770
CAISO,1,20202101,770
CAISO,1,20202102,770
CAISO,1,20202103,770
CAISO,1,20202104,770
CAISO,1,20202105,770
CAISO,1,20202106,770
CAISO,1,20202107,770
CAISO,1,20202108,770
CAISO,1,20202109,770
CAISO,1,20202110,770
CAISO,1,20202111,770
CAISO,1,20202112,770
CAISO,1,20202113,770
CAISO,1,20202114,770
CAISO,1,20202115,770
CAISO,1,20202116,770
CAISO,1,20202117,770
CAISO,1,20202118,770
CAISO,1,20202119,770
CAISO,1,20202120,770
CAISO,1,20202121,770
CAISO,1,20202122,770
CAISO,1,20202123,770
CAISO,1,20202124,770
CAISO,1,20202201,770
CAISO,1,20202202,770
CAISO,1,20202203,770
CAISO,1,20202204,770
CAISO,1,20202205,770
CAISO,1,20202206,770
CAISO,1,20202207,770
CAISO,1,20202208,770
CAISO,1,20202209,770
CAISO,1,20202210,770
CAISO,1,20202211,770
CAISO,1,20202212,770
CAISO,1,20202213,770
CAISO,1,20202214,770
CAISO,1,20202215,770
CAISO,1,20202216,770
CAISO,1,20202217,770
CAISO,1,20202218,770
CAISO,1,20202219,770
CAISO,1,20202220,770
CAISO,1,20202221,770
CAISO,1,20202222,770
CAISO,1,20202223,770
CAISO,1,20202224,770
CAISO,1,20202301,770
CAISO,1,20202302,770
CAISO,1,20202303,770
CAISO,1,20202304,770
CAISO,1,20202305,770
CAISO,1,20202306,770
CAISO,1,20202307,770
CAISO,1,20202308,770
CAISO,1,20202309,770
CAISO,1,20202310,770
CAISO,1,20202311,770
CAISO,1,20202312,770
CAISO,1,20202313,770
CAISO,1,20202314,770
CAISO,1,20202315,770
CAISO,1,20202316,770
CAISO,1,20202317,770
CAISO,1,20202318,770
CAISO,1,20202319,770
CAISO,1,20202320,770
CAISO,1,20202321,770
CAISO,1,20202322,770
CAISO,1,20202323,770
CAISO,1,20202324,770
CAISO,1,20202401,770
CAISO,1,20202402,770
CAISO,1,20202403,770
CAISO,1,20202404,770
CAISO,1,20202405,770
CAISO,1,20202406,770
CAISO,1,20202407,770
CAISO,1,20202408,770
CAISO,1,20202409,770
CAISO,1,20202410,770
CAISO,1,20202411,770
CAISO,1,20202412,770
CAISO,1,20202413,770
CAISO,1,20202414,770
CAISO,1,20202415,770
CAISO,1,20202416,770
CAISO,1,20202417,770
CAISO,1,20202418,770
CAISO,1,20202419,770
CAISO,1,20202420,770
CAISO,1,20202421,770
CAISO,1,20202422,770
CAISO,1,20202423,770
CAISO,1,20202424,770
CAISO,1,20202501,770
CAISO,1,20202502,770
CAISO,1,20202503,770
CAISO,1,20202504,770
CAISO,1,20202505,770
CAISO,1,20202506,770
CAISO,1,20202507,770
CAISO,1,20202508,770
CAISO,1,20202509,770
CAISO,1,20202510,770
CAISO,1,20202511,770
CAISO,1,20202512,770
CAISO,1,20202513,770
CAISO,1,20202514,770
CAISO,1,20202515,770
CAISO,1,20202516,770
CAISO,1,20202517,770
CAISO,1,20202518,770
CAISO,1,20202519,770
CAISO,1,20202520,770
CAISO,1,20202521,770
CAISO,1,20202522,770
CAISO,1,20202523,770
CAISO,1,20202524,770
CAISO,1,20202601,770
CAISO,1,20202602,770
CAISO,1,20202603,770
CAISO,1,20202604,770
CAISO,1,20202605,770
CAISO,1,20202606,770
CAISO,1,20202607,770
CAISO,1,20202608,770
CAISO,1,20202609,770
CAISO,1,20202610,770
CAISO,1,20202611,770
CAISO,1,20202612,770
CAISO,1,20202613,770
CAISO,1,20202614,770
CAISO,1,20202615,770
CAISO,1,20202616,770
CAISO,1,20202617,770
CAISO,1,20202618,770
CAISO,1,20202619,770
CAISO,1,20202620,770
CAISO,1,20202621,770
CAISO,1,20202622,770
CAISO,1,20202623,770
CAISO,1,20202624,770
CAISO,1,20202701,770
CAISO,1,20202702,770
CAISO,1,20202703,770
CAISO,1,20202704,770
CAISO,1,20202705,770
CAISO,1,20202706,770
CAISO,1,20202707,770
CAISO,1,20202708,770
CAISO,1,20202709,770
CAISO,1,20202710,770
CAISO,1,20202711,770
CAISO,1,20202712,770
CAISO,1,20202713,770
CAISO,1,20202714,770
CAISO,1,20202715,770
CAISO,1,20202716,770
CAISO,1,20202717,770
CAISO,1,20202718,770
CAISO,1,20202719,770
CAISO,1,20202720,770
CAISO,1,20202721,770
CAISO,1,20202722,770
CAISO,1,20202723,770
CAISO,1,20202724,770
CAISO,1,20202801,770
CAISO,1,20202802,770
CAISO,1,20202803,770
CAISO,1,20202804,770
CAISO,1,20202805,770
CAISO,1,20202806,770
CAISO,1,20202807,770
CAISO,1,20202808,770
CAISO,1,20202809,770
CAISO,1,20202810,770
CAISO,1,20202811,770
CAISO,1,20202812,770
CAISO,1,20202813,770
CAISO,1,20202814,770
CAISO,1,20202815,770
CAISO,1,20202816,770
CAISO,1,20202817,770
CAISO,1,20202818,770
CAISO,1,20202819,770
CAISO,1,20202820,770
CAISO,1,20202821,770
CAISO,1,20202822,770
CAISO,1,20202823,770
CAISO,1,20202824,770
CAISO,1,20202901,770
CAISO,1,20202902,770
CAISO,1,20202903,770
CAISO,1,20202904,770
CAISO,1,20202905,770
CAISO,1,20202906,770
CAISO,1,20202907,770
CAISO,1,20202908,770
CAISO,1,20202909,770
CAISO,1,20202910,770
CAISO,1,20202911,770
CAISO,1,20202912,770
CAISO,1,20202913,770
CAISO,1,20202914,770
CAISO,1,20202915,770
CAISO,1,20202916,770
CAISO,1,20202917,770
CAISO,1,20202918,770
CAISO,1,20202919,770
CAISO,1,20202920,770
CAISO,1,20202921,770
CAISO,1,20202922,770
CAISO,1,20202923,770
CAISO,1,20202924,770
CAISO,1,20203001,770
CAISO,1,20203002,770
CAISO,1,20203003,770
CAISO,1,20203004,770
CAISO,1,20203005,770
CAISO,1,20203006,770
CAISO,1,20203007,770
CAISO,1,20203008,770
CAISO,1,20203009,770
CAISO,1,20203010,770
CAISO,1,20203011,770
CAISO,1,20203012,770
CAISO,1,20203013,770
CAISO,1,20203014,770
CAISO,1,20203015,770
CAISO,1,20203016,770
CAISO,1,20203017,770
CAISO,1,20203018,770
CAISO,1,20203019,770
CAISO,1,20203020,770
CAISO,1,20203021,770
CAISO,1,20203022,770
CAISO,1,20203023,770
CAISO,1,20203024,770
CAISO,1,20203101,770
CAISO,1,20203102,770
CAISO,1,20203103,770
CAISO,1,20203104,770
CAISO,1,20203105,770
CAISO,1,20203106,770
CAISO,1,20203107,770
CAISO,1,20203108,770
CAISO,1,20203109,770
CAISO,1,20203110,770
CAISO,1,20203111,770
CAISO,1,20203112,770
CAISO,1,20203113,770
CAISO,1,20203114,770
CAISO,1,20203115,770
CAISO,1,20203116,770
CAISO,1,20203117,770
CAISO,1,20203118,770
CAISO,1,20203119,770
CAISO,1,20203120,770
CAISO,1,20203121,770
CAISO,1,20203122,770
CAISO,1,20203123,770
CAISO,1,20203124,770
CAISO,1,20203201,770
CAISO,1,20203202,770
CAISO,1,20203203,770
CAISO,1,20203204,770
CAISO,1,20203205,770
CAISO,1,20203206,770
CAISO,1,20203207,770
CAISO,1,20203208,770
CAISO,1,20203209,770
CAISO,1,20203210,770
CAISO,1,20203211,770
CAISO,1,20203212,770
CAISO,1,20203213,770
CAISO,1,20203214,770
CAISO,1,20203215,770
CAISO,1,20203216,770
CAISO,1,20203217,770
CAISO,1,20203218,770
CAISO,1,20203219,770
CAISO,1,20203220,770
CAISO,1,20203221,770
CAISO,1,20203222,770
CAISO,1,20203223,770
CAISO,1,20203224,770
CAISO,1,20203301,770
CAISO,1,20203302,770
CAISO,1,20203303,770
CAISO,1,20203304,770
CAISO,1,20203305,770
CAISO,1,20203306,770
CAISO,1,20203307,770
CAISO,1,20203308,770
CAISO,1,20203309,770
CAISO,1,20203310,770
CAISO,1,20203311,770
CAISO,1,20203312,770
CAISO,1,20203313,770
CAISO,1,20203314,770
CAISO,1,20203315,770
CAISO,1,20203316,770
CAISO,1,20203317,770
CAISO,1,20203318,770
CAISO,1,20203319,770
CAISO,1,20203320,770
CAISO,1,20203321,770
CAISO,1,20203322,770
CAISO,1,20203323,770
CAISO,1,20203324,770
CAISO,1,20203401,770
CAISO,1,20203402,770
CAISO,1,20203403,770
CAISO,1,20203404,770
CAISO,1,20203405,770
CAISO,1,20203406,770
CAISO,1,20203407,770
CAISO,1,20203408,770
CAISO,1,20203409,770
CAISO,1,20203410,770
CAISO,1,20203411,770
CAISO,1,20203412,770
CAISO,1,20203413,770
CAISO,1,20203414,770
CAISO,1,20203415,770
CAISO,1,20203416,770
CAISO,1,20203417,770
CAISO,1,20203418,770
CAISO,1,20203419,770
CAISO,1,20203420,770
CAISO,1,20203421,770
CAISO,1,20203422,770
CAISO,1,20203423,770
CAISO,1,20203424,770
CAISO,1,20203501,770
CAISO,1,20203502,770
CAISO,1,20203503,770
CAISO,1,20203504,770
CAISO,1,20203505,770
CAISO,1,20203506,770
CAISO,1,20203507,770
CAISO,1,20203508,770
CAISO,1,20203509,770
CAISO,1,20203510,770
CAISO,1,20203511,770
CAISO,1,20203512,770
CAISO,1,20203513,770
CAISO,1,20203514,770
CAISO,1,20203515,770
CAISO,1,20203516,770
CAISO,1,20203517,770
CAISO,1,20203518,770
CAISO,1,20203519,770
CAISO,1,20203520,770
CAISO,1,20203521,770
CAISO,1,20203522,770
CAISO,1,20203523,770
CAISO,1,20203524,770
CAISO,1,20203601,770
CAISO,1,20203602,770
CAISO,1,20203603,770
CAISO,1,20203604,770
CAISO,1,20203605,770
CAISO,1,20203606,770
CAISO,1,20203607,770
CAISO,1,20203608,770
CAISO,1,20203609,770
CAISO,1,20203610,770
CAISO,1,20203611,770
CAISO,1,20203612,770
CAISO,1,20203613,770
CAISO,1,20203614,770
CAISO,1,20203615,770
CAISO,1,20203616,770
CAISO,1,20203617,770
CAISO,1,20203618,770
CAISO,1,20203619,770
CAISO,1,20203620,770
CAISO,1,20203621,770
CAISO,1,20203622,770
CAISO,1,20203623,770
CAISO,1,20203624,770
CAISO,1,20203701,770
CAISO,1,20203702,770
CAISO,1,20203703,770
CAISO,1,20203704,770
CAISO,1,20203705,770
CAISO,1,20203706,770
CAISO,1,20203707,770
CAISO,1,20203708,770
CAISO,1,20203709,770
CAISO,1,20203710,770
CAISO,1,20203711,770
CAISO,1,20203712,770
CAISO,1,20203713,770
CAISO,1,20203714,770
CAISO,1,20203715,770
CAISO,1,20203716,770
CAISO,1,20203717,770
CAISO,1,20203718,770
CAISO,1,20203719,770
CAISO,1,20203720,770
CAISO,1,20203721,770
CAISO,1,20203722,770
CAISO,1,20203723,770
CAISO,1,20203724,770
CAISO,1,20210101,770
CAISO,1,20210102,770
CAISO,1,20210103,770
CAISO,1,20210104,770
CAISO,1,20210105,770
CAISO,1,20210106,770
CAISO,1,20210107,770
CAISO,1,20210108,770
CAISO,1,20210109,770
CAISO,1,20210110,770
CAISO,1,20210111,770
CAISO,1,20210112,770
CAISO,1,20210113,770
CAISO,1,20210114,770
CAISO,1,20210115,770
CAISO,1,20210116,770
CAISO,1,20210117,770
CAISO,1,20210118,770
CAISO,1,20210119,770
CAISO,1,20210120,770
CAISO,1,20210121,770
CAISO,1,20210122,770
CAISO,1,20210123,770
CAISO,1,20210124,770
CAISO,1,20210201,770
CAISO,1,20210202,770
CAISO,1,20210203,770
CAISO,1,20210204,770
CAISO,1,20210205,770
CAISO,1,20210206,770
CAISO,1,20210207,770
CAISO,1,20210208,770
CAISO,1,20210209,770
CAISO,1,20210210,770
CAISO,1,20210211,770
CAISO,1,20210212,770
CAISO,1,20210213,770
CAISO,1,20210214,770
CAISO,1,20210215,770
CAISO,1,20210216,770
CAISO,1,20210217,770
CAISO,1,20210218,770
CAISO,1,20210219,770
CAISO,1,20210220,770
CAISO,1,20210221,770
CAISO,1,20210222,770
CAISO,1,20210223,770
CAISO,1,20210224,770
CAISO,1,20210301,770
CAISO,1,20210302,770
CAISO,1,20210303,770
CAISO,1,20210304,770
CAISO,1,20210305,770
CAISO,1,20210306,770
CAISO,1,20210307,770
CAISO,1,20210308,770
CAISO,1,20210309,770
CAISO,1,20210310,770
CAISO,1,20210311,770
CAISO,1,20210312,770
CAISO,1,20210313,770
CAISO,1,20210314,770
CAISO,1,20210315,770
CAISO,1,20210316,770
CAISO,1,20210317,770
CAISO,1,20210318,770
CAISO,1,20210319,770
CAISO,1,20210320,770
CAISO,1,20210321,770
CAISO,1,20210322,770
CAISO,1,20210323,770
CAISO,1,20210324,770
CAISO,1,20210401,770
CAISO,1,20210402,770
CAISO,1,20210403,770
CAISO,1,20210404,770
CAISO,1,20210405,770
CAISO,1,20210406,770
CAISO,1,20210407,770
CAISO,1,20210408,770
CAISO,1,20210409,770
CAISO,1,20210410,770
CAISO,1,20210411,770
CAISO,1,20210412,770
CAISO,1,20210413,770
CAISO,1,20210414,770
CAISO,1,20210415,770
CAISO,1,20210416,770
CAISO,1,20210417,770
CAISO,1,20210418,770
CAISO,1,20210419,770
CAISO,1,20210420,770
CAISO,1,20210421,770
CAISO,1,20210422,770
CAISO,1,20210423,770
CAISO,1,20210424,770
CAISO,1,20210501,770
CAISO,1,20210502,770
CAISO,1,20210503,770
CAISO,1,20210504,770
CAISO,1,20210505,770
CAISO,1,20210506,770
CAISO,1,20210507,770
CAISO,1,20210508,770
CAISO,1,20210509,770
CAISO,1,20210510,770
CAISO,1,20210511,770
CAISO,1,20210512,770
CAISO,1,20210513,770
CAISO,1,20210514,770
CAISO,1,20210515,770
CAISO,1,20210516,770
CAISO,1,20210517,770
CAISO,1,20210518,770
CAISO,1,20210519,770
CAISO,1,20210520,770
CAISO,1,20210521,770
CAISO,1,20210522,770
CAISO,1,20210523,770
CAISO,1,20210524,770
CAISO,1,20210601,770
CAISO,1,20210602,770
CAISO,1,20210603,770
CAISO,1,20210604,770
CAISO,1,20210605,770
CAISO,1,20210606,770
CAISO,1,20210607,770
CAISO,1,20210608,770
CAISO,1,20210609,770
CAISO,1,20210610,770
CAISO,1,20210611,770
CAISO,1,20210612,770
CAISO,1,20210613,770
CAISO,1,20210614,770
CAISO,1,20210615,770
CAISO,1,20210616,770
CAISO,1,20210617,770
CAISO,1,20210618,770
CAISO,1,20210619,770
CAISO,1,20210620,770
CAISO,1,20210621,770
CAISO,1,20210622,770
CAISO,1,20210623,770
CAISO,1,20210624,770
CAISO,1,20210701,770
CAISO,1,20210702,770
CAISO,1,20210703,770
CAISO,1,20210704,770
CAISO,1,20210705,770
CAISO,1,20210706,770
CAISO,1,20210707,770
CAISO,1,20210708,770
CAISO,1,20210709,770
CAISO,1,20210710,770
CAISO,1,20210711,770
CAISO,1,20210712,770
CAISO,1,20210713,770
CAISO,1,20210714,770
CAISO,1,20210715,770
CAISO,1,20210716,770
CAISO,1,20210717,770
CAISO,1,20210718,770
CAISO,1,20210719,770
CAISO,1,20210720,770
CAISO,1,20210721,770
CAISO,1,20210722,770
CAISO,1,20210723,770
CAISO,1,20210724,770
CAISO,1,20210801,770
CAISO,1,20210802,770
CAISO,1,20210803,770
CAISO,1,20210804,770
CAISO,1,20210805,770
CAISO,1,20210806,770
CAISO,1,20210807,770
CAISO,1,20210808,770
CAISO,1,20210809,770
CAISO,1,20210810,770
CAISO,1,20210811,770
CAISO,1,20210812,770
CAISO,1,20210813,770
CAISO,1,20210814,770
CAISO,1,20210815,770
CAISO,1,20210816,770
