project,existing,new_build,capacity_type,can_build_new,can_retire
NW_Biomass_for_CAISO,,,gen_spec,0,0
NW_Geothermal_for_CAISO,,,gen_spec,0,0
InState_Biomass,,,gen_new_lin,1,0
CAISO_Small_Hydro_for_CAISO,,,gen_spec,0,0
BANC_Small_Hydro_for_CAISO,,,gen_spec,0,0
NW_Small_Hydro_for_CAISO,,,gen_spec,0,0
CAISO_Small_Hydro_for_Other,,,gen_spec,0,0
BANC_Small_Hydro_for_Other,,,gen_spec,0,0
IID_Small_Hydro_for_Other,,,gen_spec,0,0
LDWP_Small_Hydro_for_Other,,,gen_spec,0,0
NW_Small_Hydro_for_Other,,,gen_spec,0,0
SW_Small_Hydro_for_Other,,,gen_spec,0,0
Greater_Imperial_Geothermal,,,gen_new_lin,1,0
Inyokern_North_Kramer_Geothermal,,,gen_new_lin,1,0
Northern_California_Ex_Geothermal,,,gen_new_lin,1,0
Pacific_Northwest_Geothermal,,,gen_spec,0,0
Riverside_Palm_Springs_Geothermal,,,gen_new_lin,1,0
Solano_Geothermal,,,gen_new_lin,1,0
Southern_Nevada_Geothermal,,,gen_new_lin,1,0
Customer_PV,,,gen_spec,0,0
BANC_Solar_for_Other,,,gen_spec,0,0
CAISO_Solar_for_Other,,,gen_spec,0,0
IID_Solar_for_Other,,,gen_spec,0,0
LDWP_Solar_for_Other,,,gen_spec,0,0
NW_Solar_for_Other,,,gen_spec,0,0
SW_Solar_for_Other,,,gen_spec,0,0
CAISO_Solar_for_CAISO,,,gen_spec,0,0
IID_Solar_for_CAISO,,,gen_spec,0,0
SW_Solar_for_CAISO,,,gen_spec,0,0
BANC_Wind_for_Other,,,gen_spec,0,0
CAISO_Wind_for_Other,,,gen_spec,0,0
IID_Wind_for_Other,,,gen_spec,0,0
LDWP_Wind_for_Other,,,gen_spec,0,0
NW_Wind_for_Other,,,gen_spec,0,0
SW_Wind_for_Other,,,gen_spec,0,0
CAISO_Wind_for_CAISO,,,gen_spec,0,0
LDWP_Wind_for_CAISO,,,gen_spec,0,0
NW_Wind_for_CAISO,,,gen_spec,0,0
SW_Wind_for_CAISO,,,gen_spec,0,0
Carrizo_Solar,,,gen_new_lin,1,0
Carrizo_Wind,,,gen_new_lin,1,0
Central_Valley_North_Los_Banos_Solar,,,gen_new_lin,1,0
Central_Valley_North_Los_Banos_Wind,,,gen_new_lin,1,0
Distributed_Solar,,,gen_new_lin,1,0
Mountain_Pass_El_Dorado_Solar,,,gen_new_lin,1,0
Greater_Imperial_Solar,,,gen_new_lin,1,0
Greater_Imperial_Wind,,,gen_new_lin,1,0
Greater_Kramer_Wind,,,gen_new_lin,1,0
Humboldt_Wind,,,gen_new_lin,1,0
Inyokern_North_Kramer_Solar,,,gen_new_lin,1,0
Kern_Greater_Carrizo_Solar,,,gen_new_lin,1,0
Kern_Greater_Carrizo_Wind,,,gen_new_lin,1,0
Kramer_Inyokern_Ex_Solar,,,gen_new_lin,1,0
Kramer_Inyokern_Ex_Wind,,,gen_new_lin,1,0
North_Victor_Solar,,,gen_new_lin,1,0
Northern_California_Ex_Solar,,,gen_new_lin,1,0
Northern_California_Ex_Wind,,,gen_new_lin,1,0
NW_Ext_Tx_Wind,,,gen_new_lin,1,0
Riverside_Palm_Springs_Solar,,,gen_new_lin,1,0
Sacramento_River_Solar,,,gen_new_lin,1,0
Sacramento_River_Wind,,,gen_spec,0,0
SCADSNV_Solar,,,gen_new_lin,1,0
SCADSNV_Wind,,,gen_new_lin,1,0
Solano_Solar,,,gen_new_lin,1,0
Solano_subzone_Solar,,,gen_new_lin,1,0
Solano_subzone_Wind,,,gen_new_lin,1,0
Solano_Wind,,,gen_new_lin,1,0
Southern_California_Desert_Ex_Solar,,,gen_new_lin,1,0
Southern_California_Desert_Ex_Wind,,,gen_new_lin,1,0
Southern_Nevada_Solar,,,gen_new_lin,1,0
Southern_Nevada_Wind,,,gen_new_lin,1,0
SW_Ext_Tx_Wind,,,gen_new_lin,1,0
Tehachapi_Ex_Solar,,,gen_new_lin,1,0
Tehachapi_Solar,,,gen_new_lin,1,0
Tehachapi_Wind,,,gen_new_lin,1,0
Westlands_Ex_Solar,,,gen_new_lin,1,0
Westlands_Ex_Wind,,,gen_spec,0,0
Westlands_Solar,,,gen_new_lin,1,0
Arizona_Solar,,,gen_new_lin,1,0
Arizona_Wind,,,gen_spec,0,0
Baja_California_Solar,,,gen_spec,0,0
Baja_California_Wind,,,gen_new_lin,1,0
Idaho_Wind,,,gen_spec,0,0
New_Mexico_Solar,,,gen_spec,0,0
New_Mexico_Wind,,,gen_new_lin,1,0
Utah_Solar,,,gen_spec,0,0
Utah_Wind,,,gen_spec,0,0
Wyoming_Wind,,,gen_new_lin,1,0
Pacific_Northwest_Wind,,,gen_spec,0,0
Diablo_Canyon_Offshore_Wind,,,gen_spec,0,0
Humboldt_Bay_Offshore_Wind,,,gen_spec,0,0
Morro_Bay_Offshore_Wind,,,gen_spec,0,0
Diablo_Canyon_Offshore_Wind_Ext_Tx,,,gen_spec,0,0
Cape_Mendocino_Offshore_Wind,,,gen_spec,0,0
Del_Norte_Offshore_Wind,,,gen_spec,0,0
CAISO_Existing_Pumped_Storage,,,stor_spec,0,0
CAISO_New_Pumped_Storage,,,stor_new_lin,1,0
CAISO_New_Flow_Battery,,,stor_new_lin,1,0
CAISO_New_Flow_Battery_2,,,stor_new_lin,1,0
CAISO_New_Flow_Battery_3,,,stor_new_lin,1,0
CAISO_New_Flow_Battery_4,,,stor_new_lin,1,0
CAISO_New_Flow_Battery_5,,,stor_new_lin,1,0
CAISO_New_Li_Battery,,,stor_new_lin,1,0
CAISO_BTM_Li_Battery,,,stor_new_lin,1,0
CAISO_New_Li_Battery_2,,,stor_new_lin,1,0
CAISO_New_Li_Battery_3,,,stor_new_lin,1,0
CAISO_New_Li_Battery_4,,,stor_new_lin,1,0
CAISO_New_Li_Battery_5,,,stor_new_lin,1,0
CAISO_New_Li_Battery_6,,,stor_new_lin,1,0
CAISO_Hydro,,,gen_spec,0,0
NW_Hydro,,,gen_spec,0,0
SW_Hydro,,,gen_spec,0,0
LDWP_Hydro,,,gen_spec,0,0
BANC_Hydro,,,gen_spec,0,0
IID_Hydro,,,gen_spec,0,0
NW_Hydro_for_CAISO,,,gen_spec,0,0
Hydrogen_electrolysis,,,gen_spec,0,0
EV_Charging,,,gen_spec,0,0
CAISO_Shed_DR_Existing,,,gen_spec,0,0
CAISO_Shed_DR_Tranche1,,,gen_new_lin,1,0
CAISO_Shed_DR_Tranche2,,,gen_new_lin,1,0
CAISO_Shed_DR_Tranche3,,,gen_new_lin,1,0
CAISO_Shed_DR_Tranche4,,,gen_new_lin,1,0
CAISO_Shed_DR_Tranche5,,,gen_new_lin,1,0
CAISO_Shed_DR_Tranche6,,,gen_new_lin,1,0
CAISO_Shed_DR_Tranche7,,,gen_new_lin,1,0
CAISO_Shed_DR_Tranche8,,,gen_new_lin,1,0
