lf_reserves_up_ba,stage_id,timepoint,lf_reserves_up_mw
CAISO,1,20201917,2112
CAISO,1,20201918,2215
CAISO,1,20201919,2494
CAISO,1,20201920,2272
CAISO,1,20201921,1630
CAISO,1,20201922,1454
CAISO,1,20201923,1554
CAISO,1,20201924,1682
CAISO,1,20202001,1845
CAISO,1,20202002,1682
CAISO,1,20202003,1580
CAISO,1,20202004,1770
CAISO,1,20202005,2103
CAISO,1,20202006,2306
CAISO,1,20202007,2048
CAISO,1,20202008,2193
CAISO,1,20202009,2114
CAISO,1,20202010,1671
CAISO,1,20202011,871
CAISO,1,20202012,732
CAISO,1,20202013,1071
CAISO,1,20202014,1450
CAISO,1,20202015,2279
CAISO,1,20202016,2707
CAISO,1,20202017,2112
CAISO,1,20202018,2215
CAISO,1,20202019,2494
CAISO,1,20202020,2272
CAISO,1,20202021,1630
CAISO,1,20202022,1454
CAISO,1,20202023,1554
CAISO,1,20202024,1682
CAISO,1,20202101,1845
CAISO,1,20202102,1682
CAISO,1,20202103,1580
CAISO,1,20202104,1770
CAISO,1,20202105,2103
CAISO,1,20202106,2306
CAISO,1,20202107,2048
CAISO,1,20202108,2193
CAISO,1,20202109,2114
CAISO,1,20202110,1671
CAISO,1,20202111,871
CAISO,1,20202112,732
CAISO,1,20202113,1071
CAISO,1,20202114,1450
CAISO,1,20202115,2279
CAISO,1,20202116,2707
CAISO,1,20202117,2112
CAISO,1,20202118,2215
CAISO,1,20202119,2494
CAISO,1,20202120,2272
CAISO,1,20202121,1630
CAISO,1,20202122,1454
CAISO,1,20202123,1554
CAISO,1,20202124,1682
CAISO,1,20202201,1587
CAISO,1,20202202,1730
CAISO,1,20202203,1920
CAISO,1,20202204,1997
CAISO,1,20202205,2344
CAISO,1,20202206,2567
CAISO,1,20202207,2522
CAISO,1,20202208,1858
CAISO,1,20202209,1007
CAISO,1,20202210,773
CAISO,1,20202211,769
CAISO,1,20202212,763
CAISO,1,20202213,1000
CAISO,1,20202214,1318
CAISO,1,20202215,1592
CAISO,1,20202216,982
CAISO,1,20202217,1001
CAISO,1,20202218,1778
CAISO,1,20202219,2236
CAISO,1,20202220,2165
CAISO,1,20202221,1606
CAISO,1,20202222,1378
CAISO,1,20202223,1507
CAISO,1,20202224,1548
CAISO,1,20202301,1587
CAISO,1,20202302,1730
CAISO,1,20202303,1920
CAISO,1,20202304,1997
CAISO,1,20202305,2344
CAISO,1,20202306,2567
CAISO,1,20202307,2522
CAISO,1,20202308,1858
CAISO,1,20202309,1007
CAISO,1,20202310,773
CAISO,1,20202311,769
CAISO,1,20202312,763
CAISO,1,20202313,1000
CAISO,1,20202314,1318
CAISO,1,20202315,1592
CAISO,1,20202316,982
CAISO,1,20202317,1001
CAISO,1,20202318,1778
CAISO,1,20202319,2236
CAISO,1,20202320,2165
CAISO,1,20202321,1606
CAISO,1,20202322,1378
CAISO,1,20202323,1507
CAISO,1,20202324,1548
CAISO,1,20202401,1565
CAISO,1,20202402,1663
CAISO,1,20202403,1492
CAISO,1,20202404,1482
CAISO,1,20202405,1802
CAISO,1,20202406,2178
CAISO,1,20202407,2177
CAISO,1,20202408,1899
CAISO,1,20202409,1876
CAISO,1,20202410,1566
CAISO,1,20202411,730
CAISO,1,20202412,383
CAISO,1,20202413,665
CAISO,1,20202414,1337
CAISO,1,20202415,1877
CAISO,1,20202416,2022
CAISO,1,20202417,1817
CAISO,1,20202418,2194
CAISO,1,20202419,1961
CAISO,1,20202420,1425
CAISO,1,20202421,1221
CAISO,1,20202422,1287
CAISO,1,20202423,1263
CAISO,1,20202424,1363
CAISO,1,20202501,1565
CAISO,1,20202502,1663
CAISO,1,20202503,1492
CAISO,1,20202504,1482
CAISO,1,20202505,1802
CAISO,1,20202506,2178
CAISO,1,20202507,2177
CAISO,1,20202508,1899
CAISO,1,20202509,1876
CAISO,1,20202510,1566
CAISO,1,20202511,730
CAISO,1,20202512,383
CAISO,1,20202513,665
CAISO,1,20202514,1337
CAISO,1,20202515,1877
CAISO,1,20202516,2022
CAISO,1,20202517,1817
CAISO,1,20202518,2194
CAISO,1,20202519,1961
CAISO,1,20202520,1425
CAISO,1,20202521,1221
CAISO,1,20202522,1287
CAISO,1,20202523,1263
CAISO,1,20202524,1363
CAISO,1,20202601,1371
CAISO,1,20202602,1392
CAISO,1,20202603,1422
CAISO,1,20202604,1614
CAISO,1,20202605,1651
CAISO,1,20202606,1751
CAISO,1,20202607,2183
CAISO,1,20202608,2224
CAISO,1,20202609,2158
CAISO,1,20202610,2264
CAISO,1,20202611,1389
CAISO,1,20202612,1190
CAISO,1,20202613,1322
CAISO,1,20202614,1957
CAISO,1,20202615,2164
CAISO,1,20202616,2078
CAISO,1,20202617,2029
CAISO,1,20202618,2575
CAISO,1,20202619,2190
CAISO,1,20202620,1722
CAISO,1,20202621,1436
CAISO,1,20202622,1203
CAISO,1,20202623,1271
CAISO,1,20202624,1288
CAISO,1,20202701,1371
CAISO,1,20202702,1392
CAISO,1,20202703,1422
CAISO,1,20202704,1614
CAISO,1,20202705,1651
CAISO,1,20202706,1751
CAISO,1,20202707,2183
CAISO,1,20202708,2224
CAISO,1,20202709,2158
CAISO,1,20202710,2264
CAISO,1,20202711,1389
CAISO,1,20202712,1190
CAISO,1,20202713,1322
CAISO,1,20202714,1957
CAISO,1,20202715,2164
CAISO,1,20202716,2078
CAISO,1,20202717,2029
CAISO,1,20202718,2575
CAISO,1,20202719,2190
CAISO,1,20202720,1722
CAISO,1,20202721,1436
CAISO,1,20202722,1203
CAISO,1,20202723,1271
CAISO,1,20202724,1288
CAISO,1,20202801,1371
CAISO,1,20202802,1392
CAISO,1,20202803,1422
CAISO,1,20202804,1614
CAISO,1,20202805,1651
CAISO,1,20202806,1751
CAISO,1,20202807,2183
CAISO,1,20202808,2224
CAISO,1,20202809,2158
CAISO,1,20202810,2264
CAISO,1,20202811,1389
CAISO,1,20202812,1190
CAISO,1,20202813,1322
CAISO,1,20202814,1957
CAISO,1,20202815,2164
CAISO,1,20202816,2078
CAISO,1,20202817,2029
CAISO,1,20202818,2575
CAISO,1,20202819,2190
CAISO,1,20202820,1722
CAISO,1,20202821,1436
CAISO,1,20202822,1203
CAISO,1,20202823,1271
CAISO,1,20202824,1288
CAISO,1,20202901,1845
CAISO,1,20202902,1682
CAISO,1,20202903,1580
CAISO,1,20202904,1770
CAISO,1,20202905,2103
CAISO,1,20202906,2306
CAISO,1,20202907,2048
CAISO,1,20202908,2193
CAISO,1,20202909,2114
CAISO,1,20202910,1671
CAISO,1,20202911,871
CAISO,1,20202912,732
CAISO,1,20202913,1071
CAISO,1,20202914,1450
CAISO,1,20202915,2279
CAISO,1,20202916,2707
CAISO,1,20202917,2112
CAISO,1,20202918,2215
CAISO,1,20202919,2494
CAISO,1,20202920,2272
CAISO,1,20202921,1630
CAISO,1,20202922,1454
CAISO,1,20202923,1554
CAISO,1,20202924,1682
CAISO,1,20203001,1845
CAISO,1,20203002,1682
CAISO,1,20203003,1580
CAISO,1,20203004,1770
CAISO,1,20203005,2103
CAISO,1,20203006,2306
CAISO,1,20203007,2048
CAISO,1,20203008,2193
CAISO,1,20203009,2114
CAISO,1,20203010,1671
CAISO,1,20203011,871
CAISO,1,20203012,732
CAISO,1,20203013,1071
CAISO,1,20203014,1450
CAISO,1,20203015,2279
CAISO,1,20203016,2707
CAISO,1,20203017,2112
CAISO,1,20203018,2215
CAISO,1,20203019,2494
CAISO,1,20203020,2272
CAISO,1,20203021,1630
CAISO,1,20203022,1454
CAISO,1,20203023,1554
CAISO,1,20203024,1682
CAISO,1,20203101,1845
CAISO,1,20203102,1682
CAISO,1,20203103,1580
CAISO,1,20203104,1770
CAISO,1,20203105,2103
CAISO,1,20203106,2306
CAISO,1,20203107,2048
CAISO,1,20203108,2193
CAISO,1,20203109,2114
CAISO,1,20203110,1671
CAISO,1,20203111,871
CAISO,1,20203112,732
CAISO,1,20203113,1071
CAISO,1,20203114,1450
CAISO,1,20203115,2279
CAISO,1,20203116,2707
CAISO,1,20203117,2112
CAISO,1,20203118,2215
CAISO,1,20203119,2494
CAISO,1,20203120,2272
CAISO,1,20203121,1630
CAISO,1,20203122,1454
CAISO,1,20203123,1554
CAISO,1,20203124,1682
CAISO,1,20203201,1845
CAISO,1,20203202,1682
CAISO,1,20203203,1580
CAISO,1,20203204,1770
CAISO,1,20203205,2103
CAISO,1,20203206,2306
CAISO,1,20203207,2048
CAISO,1,20203208,2193
CAISO,1,20203209,2114
CAISO,1,20203210,1671
CAISO,1,20203211,871
CAISO,1,20203212,732
CAISO,1,20203213,1071
CAISO,1,20203214,1450
CAISO,1,20203215,2279
CAISO,1,20203216,2707
CAISO,1,20203217,2112
CAISO,1,20203218,2215
CAISO,1,20203219,2494
CAISO,1,20203220,2272
CAISO,1,20203221,1630
CAISO,1,20203222,1454
CAISO,1,20203223,1554
CAISO,1,20203224,1682
CAISO,1,20203301,1845
CAISO,1,20203302,1682
CAISO,1,20203303,1580
CAISO,1,20203304,1770
CAISO,1,20203305,2103
CAISO,1,20203306,2306
CAISO,1,20203307,2048
CAISO,1,20203308,2193
CAISO,1,20203309,2114
CAISO,1,20203310,1671
CAISO,1,20203311,871
CAISO,1,20203312,732
CAISO,1,20203313,1071
CAISO,1,20203314,1450
CAISO,1,20203315,2279
CAISO,1,20203316,2707
CAISO,1,20203317,2112
CAISO,1,20203318,2215
CAISO,1,20203319,2494
CAISO,1,20203320,2272
CAISO,1,20203321,1630
CAISO,1,20203322,1454
CAISO,1,20203323,1554
CAISO,1,20203324,1682
CAISO,1,20203401,1845
CAISO,1,20203402,1682
CAISO,1,20203403,1580
CAISO,1,20203404,1770
CAISO,1,20203405,2103
CAISO,1,20203406,2306
CAISO,1,20203407,2048
CAISO,1,20203408,2193
CAISO,1,20203409,2114
CAISO,1,20203410,1671
CAISO,1,20203411,871
CAISO,1,20203412,732
CAISO,1,20203413,1071
CAISO,1,20203414,1450
CAISO,1,20203415,2279
CAISO,1,20203416,2707
CAISO,1,20203417,2112
CAISO,1,20203418,2215
CAISO,1,20203419,2494
CAISO,1,20203420,2272
CAISO,1,20203421,1630
CAISO,1,20203422,1454
CAISO,1,20203423,1554
CAISO,1,20203424,1682
CAISO,1,20203501,1587
CAISO,1,20203502,1730
CAISO,1,20203503,1920
CAISO,1,20203504,1997
CAISO,1,20203505,2344
CAISO,1,20203506,2567
CAISO,1,20203507,2522
CAISO,1,20203508,1858
CAISO,1,20203509,1007
CAISO,1,20203510,773
CAISO,1,20203511,769
CAISO,1,20203512,763
CAISO,1,20203513,1000
CAISO,1,20203514,1318
CAISO,1,20203515,1592
CAISO,1,20203516,982
CAISO,1,20203517,1001
CAISO,1,20203518,1778
CAISO,1,20203519,2236
CAISO,1,20203520,2165
CAISO,1,20203521,1606
CAISO,1,20203522,1378
CAISO,1,20203523,1507
CAISO,1,20203524,1548
CAISO,1,20203601,1587
CAISO,1,20203602,1730
CAISO,1,20203603,1920
CAISO,1,20203604,1997
CAISO,1,20203605,2344
CAISO,1,20203606,2567
CAISO,1,20203607,2522
CAISO,1,20203608,1858
CAISO,1,20203609,1007
CAISO,1,20203610,773
CAISO,1,20203611,769
CAISO,1,20203612,763
CAISO,1,20203613,1000
CAISO,1,20203614,1318
CAISO,1,20203615,1592
CAISO,1,20203616,982
CAISO,1,20203617,1001
CAISO,1,20203618,1778
CAISO,1,20203619,2236
CAISO,1,20203620,2165
CAISO,1,20203621,1606
CAISO,1,20203622,1378
CAISO,1,20203623,1507
CAISO,1,20203624,1548
CAISO,1,20203701,1565
CAISO,1,20203702,1663
CAISO,1,20203703,1492
CAISO,1,20203704,1482
CAISO,1,20203705,1802
CAISO,1,20203706,2178
CAISO,1,20203707,2177
CAISO,1,20203708,1899
CAISO,1,20203709,1876
CAISO,1,20203710,1566
CAISO,1,20203711,730
CAISO,1,20203712,383
CAISO,1,20203713,665
CAISO,1,20203714,1337
CAISO,1,20203715,1877
CAISO,1,20203716,2022
CAISO,1,20203717,1817
CAISO,1,20203718,2194
CAISO,1,20203719,1961
CAISO,1,20203720,1425
CAISO,1,20203721,1221
CAISO,1,20203722,1287
CAISO,1,20203723,1263
CAISO,1,20203724,1363
CAISO,1,20210101,1415
CAISO,1,20210102,1434
CAISO,1,20210103,1464
CAISO,1,20210104,1659
CAISO,1,20210105,1695
CAISO,1,20210106,1793
CAISO,1,20210107,2287
CAISO,1,20210108,2395
CAISO,1,20210109,2430
CAISO,1,20210110,2542
CAISO,1,20210111,1590
CAISO,1,20210112,1339
CAISO,1,20210113,1488
CAISO,1,20210114,2203
CAISO,1,20210115,2448
CAISO,1,20210116,2333
CAISO,1,20210117,2176
CAISO,1,20210118,2680
CAISO,1,20210119,2244
CAISO,1,20210120,1770
CAISO,1,20210121,1479
CAISO,1,20210122,1243
CAISO,1,20210123,1315
CAISO,1,20210124,1332
CAISO,1,20210201,1415
CAISO,1,20210202,1434
CAISO,1,20210203,1464
CAISO,1,20210204,1659
CAISO,1,20210205,1695
CAISO,1,20210206,1793
CAISO,1,20210207,2287
CAISO,1,20210208,2395
CAISO,1,20210209,2430
CAISO,1,20210210,2542
CAISO,1,20210211,1590
CAISO,1,20210212,1339
CAISO,1,20210213,1488
CAISO,1,20210214,2203
CAISO,1,20210215,2448
CAISO,1,20210216,2333
CAISO,1,20210217,2176
CAISO,1,20210218,2680
CAISO,1,20210219,2244
CAISO,1,20210220,1770
CAISO,1,20210221,1479
CAISO,1,20210222,1243
CAISO,1,20210223,1315
CAISO,1,20210224,1332
CAISO,1,20210301,1415
CAISO,1,20210302,1434
CAISO,1,20210303,1464
CAISO,1,20210304,1659
CAISO,1,20210305,1695
CAISO,1,20210306,1793
CAISO,1,20210307,2287
CAISO,1,20210308,2395
CAISO,1,20210309,2430
CAISO,1,20210310,2542
CAISO,1,20210311,1590
CAISO,1,20210312,1339
CAISO,1,20210313,1488
CAISO,1,20210314,2203
CAISO,1,20210315,2448
CAISO,1,20210316,2333
CAISO,1,20210317,2176
CAISO,1,20210318,2680
CAISO,1,20210319,2244
CAISO,1,20210320,1770
CAISO,1,20210321,1479
CAISO,1,20210322,1243
CAISO,1,20210323,1315
CAISO,1,20210324,1332
CAISO,1,20210401,1901
CAISO,1,20210402,1730
CAISO,1,20210403,1624
CAISO,1,20210404,1819
CAISO,1,20210405,2200
CAISO,1,20210406,2439
CAISO,1,20210407,2204
CAISO,1,20210408,2458
CAISO,1,20210409,2463
CAISO,1,20210410,1908
CAISO,1,20210411,1053
CAISO,1,20210412,918
CAISO,1,20210413,1264
CAISO,1,20210414,1702
CAISO,1,20210415,2607
CAISO,1,20210416,3041
CAISO,1,20210417,2378
CAISO,1,20210418,2385
CAISO,1,20210419,2618
CAISO,1,20210420,2345
CAISO,1,20210421,1679
CAISO,1,20210422,1504
CAISO,1,20210423,1607
CAISO,1,20210424,1733
CAISO,1,20210501,1901
CAISO,1,20210502,1730
CAISO,1,20210503,1624
CAISO,1,20210504,1819
CAISO,1,20210505,2200
CAISO,1,20210506,2439
CAISO,1,20210507,2204
CAISO,1,20210508,2458
CAISO,1,20210509,2463
CAISO,1,20210510,1908
CAISO,1,20210511,1053
CAISO,1,20210512,918
CAISO,1,20210513,1264
CAISO,1,20210514,1702
CAISO,1,20210515,2607
CAISO,1,20210516,3041
CAISO,1,20210517,2378
