lf_reserves_down_ba,stage_id,timepoint,lf_reserves_down_mw
CAISO,1,20200818,1506
CAISO,1,20200819,100
CAISO,1,20200820,628
CAISO,1,20200821,868
CAISO,1,20200822,902
CAISO,1,20200823,790
CAISO,1,20200824,763
CAISO,1,20200901,575
CAISO,1,20200902,523
CAISO,1,20200903,599
CAISO,1,20200904,384
CAISO,1,20200905,248
CAISO,1,20200906,414
CAISO,1,20200907,2315
CAISO,1,20200908,3159
CAISO,1,20200909,3700
CAISO,1,20200910,3364
CAISO,1,20200911,3299
CAISO,1,20200912,3051
CAISO,1,20200913,2943
CAISO,1,20200914,3036
CAISO,1,20200915,3321
CAISO,1,20200916,3019
CAISO,1,20200917,2803
CAISO,1,20200918,1506
CAISO,1,20200919,100
CAISO,1,20200920,628
CAISO,1,20200921,868
CAISO,1,20200922,902
CAISO,1,20200923,790
CAISO,1,20200924,763
CAISO,1,20201001,575
CAISO,1,20201002,523
CAISO,1,20201003,599
CAISO,1,20201004,384
CAISO,1,20201005,248
CAISO,1,20201006,414
CAISO,1,20201007,2315
CAISO,1,20201008,3159
CAISO,1,20201009,3700
CAISO,1,20201010,3364
CAISO,1,20201011,3299
CAISO,1,20201012,3051
CAISO,1,20201013,2943
CAISO,1,20201014,3036
CAISO,1,20201015,3321
CAISO,1,20201016,3019
CAISO,1,20201017,2803
CAISO,1,20201018,1506
CAISO,1,20201019,100
CAISO,1,20201020,628
CAISO,1,20201021,868
CAISO,1,20201022,902
CAISO,1,20201023,790
CAISO,1,20201024,763
CAISO,1,20201101,117
CAISO,1,20201102,100
CAISO,1,20201103,100
CAISO,1,20201104,100
CAISO,1,20201105,100
CAISO,1,20201106,100
CAISO,1,20201107,1444
CAISO,1,20201108,2391
CAISO,1,20201109,2569
CAISO,1,20201110,2530
CAISO,1,20201111,2744
CAISO,1,20201112,2745
CAISO,1,20201113,2481
CAISO,1,20201114,2522
CAISO,1,20201115,2644
CAISO,1,20201116,2712
CAISO,1,20201117,2691
CAISO,1,20201118,1946
CAISO,1,20201119,100
CAISO,1,20201120,100
CAISO,1,20201121,451
CAISO,1,20201122,411
CAISO,1,20201123,381
CAISO,1,20201124,293
CAISO,1,20201201,117
CAISO,1,20201202,100
CAISO,1,20201203,100
CAISO,1,20201204,100
CAISO,1,20201205,100
CAISO,1,20201206,100
CAISO,1,20201207,1444
CAISO,1,20201208,2391
CAISO,1,20201209,2569
CAISO,1,20201210,2530
CAISO,1,20201211,2744
CAISO,1,20201212,2745
CAISO,1,20201213,2481
CAISO,1,20201214,2522
CAISO,1,20201215,2644
CAISO,1,20201216,2712
CAISO,1,20201217,2691
CAISO,1,20201218,1946
CAISO,1,20201219,100
CAISO,1,20201220,100
CAISO,1,20201221,451
CAISO,1,20201222,411
CAISO,1,20201223,381
CAISO,1,20201224,293
CAISO,1,20201301,117
CAISO,1,20201302,100
CAISO,1,20201303,100
CAISO,1,20201304,100
CAISO,1,20201305,100
CAISO,1,20201306,100
CAISO,1,20201307,1444
CAISO,1,20201308,2391
CAISO,1,20201309,2569
CAISO,1,20201310,2530
CAISO,1,20201311,2744
CAISO,1,20201312,2745
CAISO,1,20201313,2481
CAISO,1,20201314,2522
CAISO,1,20201315,2644
CAISO,1,20201316,2712
CAISO,1,20201317,2691
CAISO,1,20201318,1946
CAISO,1,20201319,100
CAISO,1,20201320,100
CAISO,1,20201321,451
CAISO,1,20201322,411
CAISO,1,20201323,381
CAISO,1,20201324,293
CAISO,1,20201401,117
CAISO,1,20201402,100
CAISO,1,20201403,100
CAISO,1,20201404,100
CAISO,1,20201405,100
CAISO,1,20201406,100
CAISO,1,20201407,1444
CAISO,1,20201408,2391
CAISO,1,20201409,2569
CAISO,1,20201410,2530
CAISO,1,20201411,2744
CAISO,1,20201412,2745
CAISO,1,20201413,2481
CAISO,1,20201414,2522
CAISO,1,20201415,2644
CAISO,1,20201416,2712
CAISO,1,20201417,2691
CAISO,1,20201418,1946
CAISO,1,20201419,100
CAISO,1,20201420,100
CAISO,1,20201421,451
CAISO,1,20201422,411
CAISO,1,20201423,381
CAISO,1,20201424,293
CAISO,1,20201501,383
CAISO,1,20201502,332
CAISO,1,20201503,275
CAISO,1,20201504,283
CAISO,1,20201505,349
CAISO,1,20201506,100
CAISO,1,20201507,2237
CAISO,1,20201508,3758
CAISO,1,20201509,3371
CAISO,1,20201510,2770
CAISO,1,20201511,2503
CAISO,1,20201512,2390
CAISO,1,20201513,2494
CAISO,1,20201514,2571
CAISO,1,20201515,2909
CAISO,1,20201516,2663
CAISO,1,20201517,1814
CAISO,1,20201518,200
CAISO,1,20201519,709
CAISO,1,20201520,732
CAISO,1,20201521,744
CAISO,1,20201522,686
CAISO,1,20201523,681
CAISO,1,20201524,588
CAISO,1,20201601,383
CAISO,1,20201602,332
CAISO,1,20201603,275
CAISO,1,20201604,283
CAISO,1,20201605,349
CAISO,1,20201606,100
CAISO,1,20201607,2237
CAISO,1,20201608,3758
CAISO,1,20201609,3371
CAISO,1,20201610,2770
CAISO,1,20201611,2503
CAISO,1,20201612,2390
CAISO,1,20201613,2494
CAISO,1,20201614,2571
CAISO,1,20201615,2909
CAISO,1,20201616,2663
CAISO,1,20201617,1814
CAISO,1,20201618,200
CAISO,1,20201619,709
CAISO,1,20201620,732
CAISO,1,20201621,744
CAISO,1,20201622,686
CAISO,1,20201623,681
CAISO,1,20201624,588
CAISO,1,20201701,383
CAISO,1,20201702,332
CAISO,1,20201703,275
CAISO,1,20201704,283
CAISO,1,20201705,349
CAISO,1,20201706,100
CAISO,1,20201707,2237
CAISO,1,20201708,3758
CAISO,1,20201709,3371
CAISO,1,20201710,2770
CAISO,1,20201711,2503
CAISO,1,20201712,2390
CAISO,1,20201713,2494
CAISO,1,20201714,2571
CAISO,1,20201715,2909
CAISO,1,20201716,2663
CAISO,1,20201717,1814
CAISO,1,20201718,200
CAISO,1,20201719,709
CAISO,1,20201720,732
CAISO,1,20201721,744
CAISO,1,20201722,686
CAISO,1,20201723,681
CAISO,1,20201724,588
CAISO,1,20201801,638
CAISO,1,20201802,470
CAISO,1,20201803,456
CAISO,1,20201804,400
CAISO,1,20201805,377
CAISO,1,20201806,286
CAISO,1,20201807,181
CAISO,1,20201808,1784
CAISO,1,20201809,3013
CAISO,1,20201810,3457
CAISO,1,20201811,3228
CAISO,1,20201812,2678
CAISO,1,20201813,2637
CAISO,1,20201814,2754
CAISO,1,20201815,2741
CAISO,1,20201816,2611
CAISO,1,20201817,1734
CAISO,1,20201818,100
CAISO,1,20201819,499
CAISO,1,20201820,661
CAISO,1,20201821,745
CAISO,1,20201822,792
CAISO,1,20201823,835
CAISO,1,20201824,769
CAISO,1,20201901,575
CAISO,1,20201902,523
CAISO,1,20201903,599
CAISO,1,20201904,384
CAISO,1,20201905,248
CAISO,1,20201906,414
CAISO,1,20201907,2315
CAISO,1,20201908,3159
CAISO,1,20201909,3700
CAISO,1,20201910,3364
CAISO,1,20201911,3299
CAISO,1,20201912,3051
CAISO,1,20201913,2943
CAISO,1,20201914,3036
CAISO,1,20201915,3321
CAISO,1,20201916,3019
CAISO,1,20201917,2803
CAISO,1,20201918,1506
CAISO,1,20201919,100
CAISO,1,20201920,628
CAISO,1,20201921,868
CAISO,1,20201922,902
CAISO,1,20201923,790
CAISO,1,20201924,763
CAISO,1,20202001,575
CAISO,1,20202002,523
CAISO,1,20202003,599
CAISO,1,20202004,384
CAISO,1,20202005,248
CAISO,1,20202006,414
CAISO,1,20202007,2315
CAISO,1,20202008,3159
CAISO,1,20202009,3700
CAISO,1,20202010,3364
CAISO,1,20202011,3299
CAISO,1,20202012,3051
CAISO,1,20202013,2943
CAISO,1,20202014,3036
CAISO,1,20202015,3321
CAISO,1,20202016,3019
CAISO,1,20202017,2803
CAISO,1,20202018,1506
CAISO,1,20202019,100
CAISO,1,20202020,628
CAISO,1,20202021,868
CAISO,1,20202022,902
CAISO,1,20202023,790
CAISO,1,20202024,763
CAISO,1,20202101,575
CAISO,1,20202102,523
CAISO,1,20202103,599
CAISO,1,20202104,384
CAISO,1,20202105,248
CAISO,1,20202106,414
CAISO,1,20202107,2315
CAISO,1,20202108,3159
CAISO,1,20202109,3700
CAISO,1,20202110,3364
CAISO,1,20202111,3299
CAISO,1,20202112,3051
CAISO,1,20202113,2943
CAISO,1,20202114,3036
CAISO,1,20202115,3321
CAISO,1,20202116,3019
CAISO,1,20202117,2803
CAISO,1,20202118,1506
CAISO,1,20202119,100
CAISO,1,20202120,628
CAISO,1,20202121,868
CAISO,1,20202122,902
CAISO,1,20202123,790
CAISO,1,20202124,763
CAISO,1,20202201,117
CAISO,1,20202202,100
CAISO,1,20202203,100
CAISO,1,20202204,100
CAISO,1,20202205,100
CAISO,1,20202206,100
CAISO,1,20202207,1444
CAISO,1,20202208,2391
CAISO,1,20202209,2569
CAISO,1,20202210,2530
CAISO,1,20202211,2744
CAISO,1,20202212,2745
CAISO,1,20202213,2481
CAISO,1,20202214,2522
CAISO,1,20202215,2644
CAISO,1,20202216,2712
CAISO,1,20202217,2691
CAISO,1,20202218,1946
CAISO,1,20202219,100
CAISO,1,20202220,100
CAISO,1,20202221,451
CAISO,1,20202222,411
CAISO,1,20202223,381
CAISO,1,20202224,293
CAISO,1,20202301,117
CAISO,1,20202302,100
CAISO,1,20202303,100
CAISO,1,20202304,100
CAISO,1,20202305,100
CAISO,1,20202306,100
CAISO,1,20202307,1444
CAISO,1,20202308,2391
CAISO,1,20202309,2569
CAISO,1,20202310,2530
CAISO,1,20202311,2744
CAISO,1,20202312,2745
CAISO,1,20202313,2481
CAISO,1,20202314,2522
CAISO,1,20202315,2644
CAISO,1,20202316,2712
CAISO,1,20202317,2691
CAISO,1,20202318,1946
CAISO,1,20202319,100
CAISO,1,20202320,100
CAISO,1,20202321,451
CAISO,1,20202322,411
CAISO,1,20202323,381
CAISO,1,20202324,293
CAISO,1,20202401,383
CAISO,1,20202402,332
CAISO,1,20202403,275
CAISO,1,20202404,283
CAISO,1,20202405,349
CAISO,1,20202406,100
CAISO,1,20202407,2237
CAISO,1,20202408,3758
CAISO,1,20202409,3371
CAISO,1,20202410,2770
CAISO,1,20202411,2503
CAISO,1,20202412,2390
CAISO,1,20202413,2494
CAISO,1,20202414,2571
CAISO,1,20202415,2909
CAISO,1,20202416,2663
CAISO,1,20202417,1814
CAISO,1,20202418,200
CAISO,1,20202419,709
CAISO,1,20202420,732
CAISO,1,20202421,744
CAISO,1,20202422,686
CAISO,1,20202423,681
CAISO,1,20202424,588
CAISO,1,20202501,383
CAISO,1,20202502,332
CAISO,1,20202503,275
CAISO,1,20202504,283
CAISO,1,20202505,349
CAISO,1,20202506,100
CAISO,1,20202507,2237
CAISO,1,20202508,3758
CAISO,1,20202509,3371
CAISO,1,20202510,2770
CAISO,1,20202511,2503
CAISO,1,20202512,2390
CAISO,1,20202513,2494
CAISO,1,20202514,2571
CAISO,1,20202515,2909
CAISO,1,20202516,2663
CAISO,1,20202517,1814
CAISO,1,20202518,200
CAISO,1,20202519,709
CAISO,1,20202520,732
CAISO,1,20202521,744
CAISO,1,20202522,686
CAISO,1,20202523,681
CAISO,1,20202524,588
CAISO,1,20202601,638
CAISO,1,20202602,470
CAISO,1,20202603,456
CAISO,1,20202604,400
CAISO,1,20202605,377
CAISO,1,20202606,286
CAISO,1,20202607,181
CAISO,1,20202608,1784
CAISO,1,20202609,3013
CAISO,1,20202610,3457
CAISO,1,20202611,3228
CAISO,1,20202612,2678
CAISO,1,20202613,2637
CAISO,1,20202614,2754
CAISO,1,20202615,2741
CAISO,1,20202616,2611
CAISO,1,20202617,1734
CAISO,1,20202618,100
CAISO,1,20202619,499
CAISO,1,20202620,661
CAISO,1,20202621,745
CAISO,1,20202622,792
CAISO,1,20202623,835
CAISO,1,20202624,769
CAISO,1,20202701,638
CAISO,1,20202702,470
CAISO,1,20202703,456
CAISO,1,20202704,400
CAISO,1,20202705,377
CAISO,1,20202706,286
CAISO,1,20202707,181
CAISO,1,20202708,1784
CAISO,1,20202709,3013
CAISO,1,20202710,3457
CAISO,1,20202711,3228
CAISO,1,20202712,2678
CAISO,1,20202713,2637
CAISO,1,20202714,2754
CAISO,1,20202715,2741
CAISO,1,20202716,2611
CAISO,1,20202717,1734
CAISO,1,20202718,100
CAISO,1,20202719,499
CAISO,1,20202720,661
CAISO,1,20202721,745
CAISO,1,20202722,792
CAISO,1,20202723,835
CAISO,1,20202724,769
CAISO,1,20202801,638
CAISO,1,20202802,470
CAISO,1,20202803,456
CAISO,1,20202804,400
CAISO,1,20202805,377
CAISO,1,20202806,286
CAISO,1,20202807,181
CAISO,1,20202808,1784
CAISO,1,20202809,3013
CAISO,1,20202810,3457
CAISO,1,20202811,3228
CAISO,1,20202812,2678
CAISO,1,20202813,2637
CAISO,1,20202814,2754
CAISO,1,20202815,2741
CAISO,1,20202816,2611
CAISO,1,20202817,1734
CAISO,1,20202818,100
CAISO,1,20202819,499
CAISO,1,20202820,661
CAISO,1,20202821,745
CAISO,1,20202822,792
CAISO,1,20202823,835
CAISO,1,20202824,769
CAISO,1,20202901,575
CAISO,1,20202902,523
CAISO,1,20202903,599
CAISO,1,20202904,384
CAISO,1,20202905,248
CAISO,1,20202906,414
CAISO,1,20202907,2315
CAISO,1,20202908,3159
CAISO,1,20202909,3700
CAISO,1,20202910,3364
CAISO,1,20202911,3299
CAISO,1,20202912,3051
CAISO,1,20202913,2943
CAISO,1,20202914,3036
CAISO,1,20202915,3321
CAISO,1,20202916,3019
CAISO,1,20202917,2803
CAISO,1,20202918,1506
CAISO,1,20202919,100
CAISO,1,20202920,628
CAISO,1,20202921,868
CAISO,1,20202922,902
CAISO,1,20202923,790
CAISO,1,20202924,763
CAISO,1,20203001,575
CAISO,1,20203002,523
CAISO,1,20203003,599
CAISO,1,20203004,384
CAISO,1,20203005,248
CAISO,1,20203006,414
CAISO,1,20203007,2315
CAISO,1,20203008,3159
CAISO,1,20203009,3700
CAISO,1,20203010,3364
CAISO,1,20203011,3299
CAISO,1,20203012,3051
CAISO,1,20203013,2943
CAISO,1,20203014,3036
CAISO,1,20203015,3321
CAISO,1,20203016,3019
CAISO,1,20203017,2803
CAISO,1,20203018,1506
CAISO,1,20203019,100
CAISO,1,20203020,628
CAISO,1,20203021,868
CAISO,1,20203022,902
CAISO,1,20203023,790
CAISO,1,20203024,763
CAISO,1,20203101,575
CAISO,1,20203102,523
CAISO,1,20203103,599
CAISO,1,20203104,384
CAISO,1,20203105,248
CAISO,1,20203106,414
CAISO,1,20203107,2315
CAISO,1,20203108,3159
CAISO,1,20203109,3700
CAISO,1,20203110,3364
CAISO,1,20203111,3299
CAISO,1,20203112,3051
CAISO,1,20203113,2943
CAISO,1,20203114,3036
CAISO,1,20203115,3321
CAISO,1,20203116,3019
CAISO,1,20203117,2803
CAISO,1,20203118,1506
CAISO,1,20203119,100
CAISO,1,20203120,628
CAISO,1,20203121,868
CAISO,1,20203122,902
CAISO,1,20203123,790
CAISO,1,20203124,763
CAISO,1,20203201,575
CAISO,1,20203202,523
CAISO,1,20203203,599
CAISO,1,20203204,384
CAISO,1,20203205,248
CAISO,1,20203206,414
CAISO,1,20203207,2315
CAISO,1,20203208,3159
CAISO,1,20203209,3700
CAISO,1,20203210,3364
CAISO,1,20203211,3299
CAISO,1,20203212,3051
CAISO,1,20203213,2943
CAISO,1,20203214,3036
CAISO,1,20203215,3321
CAISO,1,20203216,3019
CAISO,1,20203217,2803
CAISO,1,20203218,1506
CAISO,1,20203219,100
CAISO,1,20203220,628
CAISO,1,20203221,868
CAISO,1,20203222,902
CAISO,1,20203223,790
CAISO,1,20203224,763
CAISO,1,20203301,575
CAISO,1,20203302,523
CAISO,1,20203303,599
CAISO,1,20203304,384
CAISO,1,20203305,248
CAISO,1,20203306,414
CAISO,1,20203307,2315
CAISO,1,20203308,3159
CAISO,1,20203309,3700
CAISO,1,20203310,3364
CAISO,1,20203311,3299
CAISO,1,20203312,3051
CAISO,1,20203313,2943
CAISO,1,20203314,3036
CAISO,1,20203315,3321
CAISO,1,20203316,3019
CAISO,1,20203317,2803
CAISO,1,20203318,1506
CAISO,1,20203319,100
CAISO,1,20203320,628
CAISO,1,20203321,868
CAISO,1,20203322,902
CAISO,1,20203323,790
CAISO,1,20203324,763
CAISO,1,20203401,575
CAISO,1,20203402,523
CAISO,1,20203403,599
CAISO,1,20203404,384
CAISO,1,20203405,248
CAISO,1,20203406,414
CAISO,1,20203407,2315
CAISO,1,20203408,3159
CAISO,1,20203409,3700
CAISO,1,20203410,3364
CAISO,1,20203411,3299
CAISO,1,20203412,3051
CAISO,1,20203413,2943
CAISO,1,20203414,3036
CAISO,1,20203415,3321
CAISO,1,20203416,3019
CAISO,1,20203417,2803
CAISO,1,20203418,1506
CAISO,1,20203419,100
CAISO,1,20203420,628
CAISO,1,20203421,868
CAISO,1,20203422,902
CAISO,1,20203423,790
CAISO,1,20203424,763
CAISO,1,20203501,117
CAISO,1,20203502,100
CAISO,1,20203503,100
CAISO,1,20203504,100
CAISO,1,20203505,100
CAISO,1,20203506,100
CAISO,1,20203507,1444
CAISO,1,20203508,2391
CAISO,1,20203509,2569
CAISO,1,20203510,2530
CAISO,1,20203511,2744
CAISO,1,20203512,2745
CAISO,1,20203513,2481
CAISO,1,20203514,2522
CAISO,1,20203515,2644
CAISO,1,20203516,2712
CAISO,1,20203517,2691
CAISO,1,20203518,1946
CAISO,1,20203519,100
CAISO,1,20203520,100
CAISO,1,20203521,451
CAISO,1,20203522,411
CAISO,1,20203523,381
CAISO,1,20203524,293
CAISO,1,20203601,117
CAISO,1,20203602,100
CAISO,1,20203603,100
CAISO,1,20203604,100
CAISO,1,20203605,100
CAISO,1,20203606,100
CAISO,1,20203607,1444
CAISO,1,20203608,2391
CAISO,1,20203609,2569
CAISO,1,20203610,2530
CAISO,1,20203611,2744
CAISO,1,20203612,2745
CAISO,1,20203613,2481
CAISO,1,20203614,2522
CAISO,1,20203615,2644
CAISO,1,20203616,2712
CAISO,1,20203617,2691
CAISO,1,20203618,1946
CAISO,1,20203619,100
CAISO,1,20203620,100
CAISO,1,20203621,451
CAISO,1,20203622,411
CAISO,1,20203623,381
CAISO,1,20203624,293
CAISO,1,20203701,383
CAISO,1,20203702,332
CAISO,1,20203703,275
CAISO,1,20203704,283
CAISO,1,20203705,349
CAISO,1,20203706,100
CAISO,1,20203707,2237
CAISO,1,20203708,3758
CAISO,1,20203709,3371
CAISO,1,20203710,2770
CAISO,1,20203711,2503
CAISO,1,20203712,2390
CAISO,1,20203713,2494
CAISO,1,20203714,2571
CAISO,1,20203715,2909
CAISO,1,20203716,2663
CAISO,1,20203717,1814
CAISO,1,20203718,200
CAISO,1,20203719,709
CAISO,1,20203720,732
CAISO,1,20203721,744
CAISO,1,20203722,686
CAISO,1,20203723,681
CAISO,1,20203724,588
CAISO,1,20210101,650
CAISO,1,20210102,480
CAISO,1,20210103,468
CAISO,1,20210104,410
CAISO,1,20210105,390
CAISO,1,20210106,294
CAISO,1,20210107,189
CAISO,1,20210108,2024
CAISO,1,20210109,3351
CAISO,1,20210110,3856
CAISO,1,20210111,3553
CAISO,1,20210112,2921
CAISO,1,20210113,2885
CAISO,1,20210114,3031
CAISO,1,20210115,3035
CAISO,1,20210116,2898
CAISO,1,20210117,1928
CAISO,1,20210118,102
CAISO,1,20210119,513
CAISO,1,20210120,678
CAISO,1,20210121,762
CAISO,1,20210122,808
CAISO,1,20210123,853
CAISO,1,20210124,787
CAISO,1,20210201,650
CAISO,1,20210202,480
CAISO,1,20210203,468
CAISO,1,20210204,410
CAISO,1,20210205,390
CAISO,1,20210206,294
CAISO,1,20210207,189
CAISO,1,20210208,2024
CAISO,1,20210209,3351
CAISO,1,20210210,3856
CAISO,1,20210211,3553
CAISO,1,20210212,2921
CAISO,1,20210213,2885
CAISO,1,20210214,3031
CAISO,1,20210215,3035
CAISO,1,20210216,2898
CAISO,1,20210217,1928
CAISO,1,20210218,102
CAISO,1,20210219,513
CAISO,1,20210220,678
CAISO,1,20210221,762
CAISO,1,20210222,808
CAISO,1,20210223,853
CAISO,1,20210224,787
CAISO,1,20210301,650
CAISO,1,20210302,480
CAISO,1,20210303,468
CAISO,1,20210304,410
CAISO,1,20210305,390
CAISO,1,20210306,294
CAISO,1,20210307,189
CAISO,1,20210308,2024
CAISO,1,20210309,3351
CAISO,1,20210310,3856
CAISO,1,20210311,3553
CAISO,1,20210312,2921
CAISO,1,20210313,2885
CAISO,1,20210314,3031
CAISO,1,20210315,3035
CAISO,1,20210316,2898
CAISO,1,20210317,1928
CAISO,1,20210318,102
CAISO,1,20210319,513
CAISO,1,20210320,678
CAISO,1,20210321,762
CAISO,1,20210322,808
CAISO,1,20210323,853
CAISO,1,20210324,787
CAISO,1,20210401,588
CAISO,1,20210402,537
CAISO,1,20210403,615
CAISO,1,20210404,396
CAISO,1,20210405,258
CAISO,1,20210406,499
CAISO,1,20210407,2608
CAISO,1,20210408,3498
CAISO,1,20210409,4067
CAISO,1,20210410,3692
CAISO,1,20210411,3607
CAISO,1,20210412,3338
CAISO,1,20210413,3190
CAISO,1,20210414,3305
CAISO,1,20210415,3594
CAISO,1,20210416,3282
CAISO,1,20210417,3053
CAISO,1,20210418,1656
CAISO,1,20210419,102
CAISO,1,20210420,645
CAISO,1,20210421,883
CAISO,1,20210422,915
CAISO,1,20210423,802
CAISO,1,20210424,779
CAISO,1,20210501,588
CAISO,1,20210502,537
CAISO,1,20210503,615
CAISO,1,20210504,396
CAISO,1,20210505,258
CAISO,1,20210506,499
CAISO,1,20210507,2608
CAISO,1,20210508,3498
CAISO,1,20210509,4067
CAISO,1,20210510,3692
CAISO,1,20210511,3607
CAISO,1,20210512,3338
CAISO,1,20210513,3190
CAISO,1,20210514,3305
CAISO,1,20210515,3594
CAISO,1,20210516,3282
CAISO,1,20210517,3053
CAISO,1,20210518,1656
CAISO,1,20210519,102
CAISO,1,20210520,645
CAISO,1,20210521,883
CAISO,1,20210522,915
CAISO,1,20210523,802
CAISO,1,20210524,779
CAISO,1,20210601,588
CAISO,1,20210602,537
CAISO,1,20210603,615
CAISO,1,20210604,396
CAISO,1,20210605,258
CAISO,1,20210606,499
CAISO,1,20210607,2608
CAISO,1,20210608,3498
CAISO,1,20210609,4067
CAISO,1,20210610,3692
CAISO,1,20210611,3607
CAISO,1,20210612,3338
CAISO,1,20210613,3190
CAISO,1,20210614,3305
CAISO,1,20210615,3594
CAISO,1,20210616,3282
CAISO,1,20210617,3053
CAISO,1,20210618,1656
CAISO,1,20210619,102
CAISO,1,20210620,645
CAISO,1,20210621,883
CAISO,1,20210622,915
CAISO,1,20210623,802
CAISO,1,20210624,779
CAISO,1,20210701,588
CAISO,1,20210702,537
