project	timepoint	availability_derate_independent	hyb_stor_cap_availability_derate_independent
Gas	193	1.0	0.0
Gas	194	1.0	0.0
Gas	195	1.0	0.0
Gas	196	1.0	0.0
Gas	197	1.0	0.0
Gas	198	1.0	0.0
Gas	199	1.0	0.0
Gas	200	1.0	0.0
Gas	201	1.0	0.0
Gas	202	1.0	0.0
Gas	203	1.0	0.0
Gas	204	1.0	0.0
Gas	205	1.0	0.0
Gas	206	1.0	0.0
Gas	207	1.0	0.0
Gas	208	1.0	0.0
Gas	209	1.0	0.0
Gas	210	1.0	0.0
Gas	211	1.0	0.0
Gas	212	1.0	0.0
Gas	213	1.0	0.0
Gas	214	1.0	0.0
Gas	215	1.0	0.0
Gas	216	1.0	0.0
Gas	217	1.0	0.0
Gas	218	1.0	0.0
Gas	219	1.0	0.0
Gas	220	1.0	0.0
Gas	221	1.0	0.0
Gas	222	1.0	0.0
Gas	223	1.0	0.0
Gas	224	1.0	0.0
Gas	225	1.0	0.0
Gas	226	1.0	0.0
Gas	227	1.0	0.0
Gas	228	1.0	0.0
Gas	229	1.0	0.0
Gas	230	1.0	0.0
Gas	231	1.0	0.0
Gas	232	1.0	0.0
Gas	233	1.0	0.0
Gas	234	1.0	0.0
Gas	235	1.0	0.0
Gas	236	1.0	0.0
Gas	237	1.0	0.0
Gas	238	1.0	0.0
Gas	239	1.0	0.0
Gas	240	1.0	0.0
Gas	241	1.0	0.0
Gas	242	1.0	0.0
Gas	243	1.0	0.0
Gas	244	1.0	0.0
Gas	245	1.0	0.0
Gas	246	1.0	0.0
Gas	247	1.0	0.0
Gas	248	1.0	0.0
Gas	249	1.0	0.0
Gas	250	1.0	0.0
Gas	251	1.0	0.0
Gas	252	1.0	0.0
Gas	253	1.0	0.0
Gas	254	1.0	0.0
Gas	255	1.0	0.0
Gas	256	1.0	0.0
Gas	257	1.0	0.0
Gas	258	1.0	0.0
Gas	259	1.0	0.0
Gas	260	1.0	0.0
Gas	261	1.0	0.0
Gas	262	1.0	0.0
Gas	263	1.0	0.0
Gas	264	1.0	0.0
Gas	265	1.0	0.0
Gas	266	1.0	0.0
Gas	267	1.0	0.0
Gas	268	1.0	0.0
Gas	269	1.0	0.0
Gas	270	1.0	0.0
Gas	271	1.0	0.0
Gas	272	1.0	0.0
Gas	273	1.0	0.0
Gas	274	1.0	0.0
Gas	275	1.0	0.0
Gas	276	1.0	0.0
Gas	277	1.0	0.0
Gas	278	1.0	0.0
Gas	279	1.0	0.0
Gas	280	1.0	0.0
Gas	281	1.0	0.0
Gas	282	1.0	0.0
Gas	283	1.0	0.0
Gas	284	1.0	0.0
Gas	285	1.0	0.0
Gas	286	1.0	0.0
Gas	287	1.0	0.0
Gas	288	1.0	0.0
Gas	289	0.8999999999999999	0.0
Gas	290	0.8999999999999999	0.0
Gas	291	0.8999999999999999	0.0
Gas	292	0.8999999999999999	0.0
Gas	293	0.8999999999999999	0.0
Gas	294	0.8999999999999999	0.0
Gas	295	0.8999999999999999	0.0
Gas	296	0.8999999999999999	0.0
Gas	297	0.8999999999999999	0.0
Gas	298	0.8999999999999999	0.0
Gas	299	0.8999999999999999	0.0
Gas	300	0.8999999999999999	0.0
Gas	301	0.8999999999999999	0.0
Gas	302	0.8999999999999999	0.0
Gas	303	0.8999999999999999	0.0
Gas	304	0.8999999999999999	0.0
Gas	305	0.8999999999999999	0.0
Gas	306	0.8999999999999999	0.0
Gas	307	0.8999999999999999	0.0
Gas	308	0.8999999999999999	0.0
Gas	309	0.8999999999999999	0.0
Gas	310	0.8999999999999999	0.0
Gas	311	0.8999999999999999	0.0
Gas	312	0.8999999999999999	0.0
Gas	313	0.8999999999999999	0.0
Gas	314	0.8999999999999999	0.0
Gas	315	0.8999999999999999	0.0
Gas	316	0.8999999999999999	0.0
Gas	317	0.8999999999999999	0.0
Gas	318	0.8999999999999999	0.0
Gas	319	0.8999999999999999	0.0
Gas	320	0.8999999999999999	0.0
Gas	321	0.8999999999999999	0.0
Gas	322	0.8999999999999999	0.0
Gas	323	0.8999999999999999	0.0
Gas	324	0.8999999999999999	0.0
Gas	325	0.8999999999999999	0.0
Gas	326	0.8999999999999999	0.0
Gas	327	0.8999999999999999	0.0
Gas	328	0.8999999999999999	0.0
Gas	329	0.8999999999999999	0.0
Gas	330	0.8999999999999999	0.0
Gas	331	0.8999999999999999	0.0
Gas	332	0.8999999999999999	0.0
Gas	333	0.8999999999999999	0.0
Gas	334	0.8999999999999999	0.0
Gas	335	0.8999999999999999	0.0
Gas	336	0.8999999999999999	0.0
Hybrid	169	.	0.965
Hybrid	170	.	0.965
Hybrid	171	.	0.965
Hybrid	172	.	0.965
Hybrid	173	.	0.965
Hybrid	174	.	0.965
Hybrid	175	.	0.965
Hybrid	176	.	0.965
Hybrid	177	.	0.965
Hybrid	178	.	0.965
Hybrid	179	.	0.965
Hybrid	180	.	0.965
Hybrid	181	.	0.965
Hybrid	182	.	0.965
Hybrid	183	.	0.965
Hybrid	184	.	0.965
Hybrid	185	.	0.965
Hybrid	186	.	0.965
Hybrid	187	.	0.965
Hybrid	188	.	0.965
Hybrid	189	.	0.965
Hybrid	190	.	0.965
Hybrid	191	.	0.965
Hybrid	192	.	0.965
Hybrid	193	.	0.965
Hybrid	194	.	0.965
Hybrid	195	.	0.965
Hybrid	196	.	0.965
Hybrid	197	.	0.965
Hybrid	198	.	0.965
Hybrid	199	.	0.965
Hybrid	200	.	0.965
Hybrid	201	.	0.965
Hybrid	202	.	0.965
Hybrid	203	.	0.965
Hybrid	204	.	0.965
Hybrid	205	.	0.965
Hybrid	206	.	0.965
Hybrid	207	.	0.965
Hybrid	208	.	0.965
Hybrid	209	.	0.965
Hybrid	210	.	0.965
Hybrid	211	.	0.965
Hybrid	212	.	0.965
Hybrid	213	.	0.965
Hybrid	214	.	0.965
Hybrid	215	.	0.965
Hybrid	216	.	0.965
Hybrid	217	.	0.965
Hybrid	218	.	0.965
Hybrid	219	.	0.965
Hybrid	220	.	0.965
Hybrid	221	.	0.965
Hybrid	222	.	0.965
Hybrid	223	.	0.965
Hybrid	224	.	0.965
Hybrid	225	.	0.965
Hybrid	226	.	0.965
Hybrid	227	.	0.965
Hybrid	228	.	0.965
Hybrid	229	.	0.965
Hybrid	230	.	0.965
Hybrid	231	.	0.965
Hybrid	232	.	0.965
Hybrid	233	.	0.965
Hybrid	234	.	0.965
Hybrid	235	.	0.965
Hybrid	236	.	0.965
Hybrid	237	.	0.965
Hybrid	238	.	0.965
Hybrid	239	.	0.965
Hybrid	240	.	0.965
Hybrid	241	.	0.965
Hybrid	242	.	0.965
Hybrid	243	.	0.965
Hybrid	244	.	0.965
Hybrid	245	.	0.965
Hybrid	246	.	0.965
Hybrid	247	.	0.965
Hybrid	248	.	0.965
Hybrid	249	.	0.965
Hybrid	250	.	0.965
Hybrid	251	.	0.965
Hybrid	252	.	0.965
Hybrid	253	.	0.965
Hybrid	254	.	0.965
Hybrid	255	.	0.965
Hybrid	256	.	0.965
Hybrid	257	.	0.965
Hybrid	258	.	0.965
Hybrid	259	.	0.965
Hybrid	260	.	0.965
Hybrid	261	.	0.965
Hybrid	262	.	0.965
Hybrid	263	.	0.965
Hybrid	264	.	0.965
Hybrid	265	.	0.965
Hybrid	266	.	0.965
Hybrid	267	.	0.965
Hybrid	268	.	0.965
Hybrid	269	.	0.965
Hybrid	270	.	0.965
Hybrid	271	.	0.965
Hybrid	272	.	0.965
Hybrid	273	.	0.965
Hybrid	274	.	0.965
Hybrid	275	.	0.965
Hybrid	276	.	0.965
Hybrid	277	.	0.965
Hybrid	278	.	0.965
Hybrid	279	.	0.965
Hybrid	280	.	0.965
Hybrid	281	.	0.965
Hybrid	282	.	0.965
Hybrid	283	.	0.965
Hybrid	284	.	0.965
Hybrid	285	.	0.965
Hybrid	286	.	0.965
Hybrid	287	.	0.965
Hybrid	288	.	0.965
Hybrid	289	.	0.965
Hybrid	290	.	0.965
Hybrid	291	.	0.965
Hybrid	292	.	0.965
Hybrid	293	.	0.965
Hybrid	294	.	0.965
Hybrid	295	.	0.965
Hybrid	296	.	0.965
Hybrid	297	.	0.965
Hybrid	298	.	0.965
Hybrid	299	.	0.965
Hybrid	300	.	0.965
Hybrid	301	.	0.965
Hybrid	302	.	0.965
Hybrid	303	.	0.965
Hybrid	304	.	0.965
Hybrid	305	.	0.965
Hybrid	306	.	0.965
Hybrid	307	.	0.965
Hybrid	308	.	0.965
Hybrid	309	.	0.965
Hybrid	310	.	0.965
Hybrid	311	.	0.965
Hybrid	312	.	0.965
Hybrid	313	.	0.965
Hybrid	314	.	0.965
Hybrid	315	.	0.965
Hybrid	316	.	0.965
Hybrid	317	.	0.965
Hybrid	318	.	0.965
Hybrid	319	.	0.965
Hybrid	320	.	0.965
Hybrid	321	.	0.965
Hybrid	322	.	0.965
Hybrid	323	.	0.965
Hybrid	324	.	0.965
Hybrid	325	.	0.965
Hybrid	326	.	0.965
Hybrid	327	.	0.965
Hybrid	328	.	0.965
Hybrid	329	.	0.965
Hybrid	330	.	0.965
Hybrid	331	.	0.965
Hybrid	332	.	0.965
Hybrid	333	.	0.965
Hybrid	334	.	0.965
Hybrid	335	.	0.965
Hybrid	336	.	0.965
