regulation_down_ba,stage_id,timepoint,regulation_down_mw
CAISO,1,20200714,507
CAISO,1,20200715,483
CAISO,1,20200716,470
CAISO,1,20200717,385
CAISO,1,20200718,151
CAISO,1,20200719,257
CAISO,1,20200720,176
CAISO,1,20200721,164
CAISO,1,20200722,158
CAISO,1,20200723,150
CAISO,1,20200724,145
CAISO,1,20200801,194
CAISO,1,20200802,191
CAISO,1,20200803,191
CAISO,1,20200804,140
CAISO,1,20200805,149
CAISO,1,20200806,487
CAISO,1,20200807,780
CAISO,1,20200808,757
CAISO,1,20200809,756
CAISO,1,20200810,575
CAISO,1,20200811,561
CAISO,1,20200812,577
CAISO,1,20200813,551
CAISO,1,20200814,551
CAISO,1,20200815,467
CAISO,1,20200816,489
CAISO,1,20200817,408
CAISO,1,20200818,203
CAISO,1,20200819,290
CAISO,1,20200820,222
CAISO,1,20200821,213
CAISO,1,20200822,206
CAISO,1,20200823,199
CAISO,1,20200824,215
CAISO,1,20200901,216
CAISO,1,20200902,213
CAISO,1,20200903,213
CAISO,1,20200904,213
CAISO,1,20200905,219
CAISO,1,20200906,513
CAISO,1,20200907,709
CAISO,1,20200908,641
CAISO,1,20200909,591
CAISO,1,20200910,540
CAISO,1,20200911,510
CAISO,1,20200912,604
CAISO,1,20200913,557
CAISO,1,20200914,498
CAISO,1,20200915,636
CAISO,1,20200916,585
CAISO,1,20200917,326
CAISO,1,20200918,196
CAISO,1,20200919,282
CAISO,1,20200920,238
CAISO,1,20200921,230
CAISO,1,20200922,227
CAISO,1,20200923,221
CAISO,1,20200924,216
CAISO,1,20201001,186
CAISO,1,20201002,184
CAISO,1,20201003,180
CAISO,1,20201004,181
CAISO,1,20201005,182
CAISO,1,20201006,655
CAISO,1,20201007,699
CAISO,1,20201008,640
CAISO,1,20201009,580
CAISO,1,20201010,532
CAISO,1,20201011,506
CAISO,1,20201012,601
CAISO,1,20201013,555
CAISO,1,20201014,496
CAISO,1,20201015,643
CAISO,1,20201016,591
CAISO,1,20201017,342
CAISO,1,20201018,218
CAISO,1,20201019,252
CAISO,1,20201020,253
CAISO,1,20201021,244
CAISO,1,20201022,209
CAISO,1,20201023,200
CAISO,1,20201024,193
CAISO,1,20201101,190
CAISO,1,20201102,184
CAISO,1,20201103,183
CAISO,1,20201104,182
CAISO,1,20201105,207
CAISO,1,20201106,662
CAISO,1,20201107,473
CAISO,1,20201108,540
CAISO,1,20201109,448
CAISO,1,20201110,316
CAISO,1,20201111,358
CAISO,1,20201112,292
CAISO,1,20201113,311
CAISO,1,20201114,320
CAISO,1,20201115,315
CAISO,1,20201116,259
CAISO,1,20201117,248
CAISO,1,20201118,213
CAISO,1,20201119,215
CAISO,1,20201120,220
CAISO,1,20201121,219
CAISO,1,20201122,232
CAISO,1,20201123,225
CAISO,1,20201124,220
CAISO,1,20201201,206
CAISO,1,20201202,201
CAISO,1,20201203,198
CAISO,1,20201204,198
CAISO,1,20201205,221
CAISO,1,20201206,676
CAISO,1,20201207,313
CAISO,1,20201208,371
CAISO,1,20201209,357
CAISO,1,20201210,369
CAISO,1,20201211,406
CAISO,1,20201212,338
CAISO,1,20201213,338
CAISO,1,20201214,317
CAISO,1,20201215,305
CAISO,1,20201216,245
CAISO,1,20201217,205
CAISO,1,20201218,183
CAISO,1,20201219,185
CAISO,1,20201220,226
CAISO,1,20201221,184
CAISO,1,20201222,174
CAISO,1,20201223,166
CAISO,1,20201224,156
CAISO,1,20201301,205
CAISO,1,20201302,202
CAISO,1,20201303,220
CAISO,1,20201304,221
CAISO,1,20201305,219
CAISO,1,20201306,428
CAISO,1,20201307,486
CAISO,1,20201308,362
CAISO,1,20201309,342
CAISO,1,20201310,352
CAISO,1,20201311,392
CAISO,1,20201312,333
CAISO,1,20201313,339
CAISO,1,20201314,343
CAISO,1,20201315,340
CAISO,1,20201316,289
CAISO,1,20201317,278
CAISO,1,20201318,260
CAISO,1,20201319,243
CAISO,1,20201320,276
CAISO,1,20201321,256
CAISO,1,20201322,246
CAISO,1,20201323,236
CAISO,1,20201324,230
CAISO,1,20201401,203
CAISO,1,20201402,200
CAISO,1,20201403,219
CAISO,1,20201404,220
CAISO,1,20201405,244
CAISO,1,20201406,427
CAISO,1,20201407,486
CAISO,1,20201408,361
CAISO,1,20201409,346
CAISO,1,20201410,359
CAISO,1,20201411,397
CAISO,1,20201412,338
CAISO,1,20201413,338
CAISO,1,20201414,343
CAISO,1,20201415,335
CAISO,1,20201416,300
CAISO,1,20201417,268
CAISO,1,20201418,233
CAISO,1,20201419,233
CAISO,1,20201420,271
CAISO,1,20201421,233
CAISO,1,20201422,224
CAISO,1,20201423,214
CAISO,1,20201424,207
CAISO,1,20201501,204
CAISO,1,20201502,199
CAISO,1,20201503,185
CAISO,1,20201504,183
CAISO,1,20201505,183
CAISO,1,20201506,383
CAISO,1,20201507,1392
CAISO,1,20201508,699
CAISO,1,20201509,441
CAISO,1,20201510,450
CAISO,1,20201511,395
CAISO,1,20201512,345
CAISO,1,20201513,349
CAISO,1,20201514,256
CAISO,1,20201515,341
CAISO,1,20201516,236
CAISO,1,20201517,248
CAISO,1,20201518,281
CAISO,1,20201519,270
CAISO,1,20201520,252
CAISO,1,20201521,245
CAISO,1,20201522,232
CAISO,1,20201523,220
CAISO,1,20201524,209
CAISO,1,20201601,123
CAISO,1,20201602,119
CAISO,1,20201603,117
CAISO,1,20201604,119
CAISO,1,20201605,126
CAISO,1,20201606,234
CAISO,1,20201607,577
CAISO,1,20201608,699
CAISO,1,20201609,439
CAISO,1,20201610,444
CAISO,1,20201611,384
CAISO,1,20201612,327
CAISO,1,20201613,328
CAISO,1,20201614,223
CAISO,1,20201615,315
CAISO,1,20201616,278
CAISO,1,20201617,176
CAISO,1,20201618,215
CAISO,1,20201619,201
CAISO,1,20201620,174
CAISO,1,20201621,168
CAISO,1,20201622,152
CAISO,1,20201623,140
CAISO,1,20201624,130
CAISO,1,20201701,165
CAISO,1,20201702,162
CAISO,1,20201703,160
CAISO,1,20201704,160
CAISO,1,20201705,161
CAISO,1,20201706,252
CAISO,1,20201707,587
CAISO,1,20201708,671
CAISO,1,20201709,655
CAISO,1,20201710,531
CAISO,1,20201711,491
CAISO,1,20201712,415
CAISO,1,20201713,418
CAISO,1,20201714,358
CAISO,1,20201715,403
CAISO,1,20201716,246
CAISO,1,20201717,233
CAISO,1,20201718,262
CAISO,1,20201719,263
CAISO,1,20201720,219
CAISO,1,20201721,213
CAISO,1,20201722,199
CAISO,1,20201723,190
CAISO,1,20201724,181
CAISO,1,20201801,196
CAISO,1,20201802,193
CAISO,1,20201803,192
CAISO,1,20201804,192
CAISO,1,20201805,194
CAISO,1,20201806,198
CAISO,1,20201807,282
CAISO,1,20201808,616
CAISO,1,20201809,637
CAISO,1,20201810,554
CAISO,1,20201811,504
CAISO,1,20201812,514
CAISO,1,20201813,511
CAISO,1,20201814,456
CAISO,1,20201815,377
CAISO,1,20201816,329
CAISO,1,20201817,206
CAISO,1,20201818,278
CAISO,1,20201819,220
CAISO,1,20201820,219
CAISO,1,20201821,216
CAISO,1,20201822,238
CAISO,1,20201823,230
CAISO,1,20201824,223
CAISO,1,20201901,172
CAISO,1,20201902,170
CAISO,1,20201903,170
CAISO,1,20201904,171
CAISO,1,20201905,182
CAISO,1,20201906,501
CAISO,1,20201907,779
CAISO,1,20201908,767
CAISO,1,20201909,753
CAISO,1,20201910,541
CAISO,1,20201911,514
CAISO,1,20201912,609
CAISO,1,20201913,567
CAISO,1,20201914,510
CAISO,1,20201915,652
CAISO,1,20201916,591
CAISO,1,20201917,412
CAISO,1,20201918,209
CAISO,1,20201919,294
CAISO,1,20201920,243
CAISO,1,20201921,234
CAISO,1,20201922,229
CAISO,1,20201923,223
CAISO,1,20201924,198
CAISO,1,20202001,149
CAISO,1,20202002,146
CAISO,1,20202003,145
CAISO,1,20202004,147
CAISO,1,20202005,160
CAISO,1,20202006,509
CAISO,1,20202007,784
CAISO,1,20202008,654
CAISO,1,20202009,606
CAISO,1,20202010,560
CAISO,1,20202011,534
CAISO,1,20202012,624
CAISO,1,20202013,580
CAISO,1,20202014,523
CAISO,1,20202015,654
CAISO,1,20202016,593
CAISO,1,20202017,341
CAISO,1,20202018,171
CAISO,1,20202019,266
CAISO,1,20202020,190
CAISO,1,20202021,178
CAISO,1,20202022,168
CAISO,1,20202023,158
CAISO,1,20202024,152
CAISO,1,20202101,158
CAISO,1,20202102,154
CAISO,1,20202103,153
CAISO,1,20202104,201
CAISO,1,20202105,211
CAISO,1,20202106,519
CAISO,1,20202107,707
CAISO,1,20202108,647
CAISO,1,20202109,597
CAISO,1,20202110,550
CAISO,1,20202111,526
CAISO,1,20202112,622
CAISO,1,20202113,579
CAISO,1,20202114,529
CAISO,1,20202115,660
CAISO,1,20202116,618
CAISO,1,20202117,369
CAISO,1,20202118,252
CAISO,1,20202119,318
CAISO,1,20202120,253
CAISO,1,20202121,240
CAISO,1,20202122,186
CAISO,1,20202123,216
CAISO,1,20202124,209
CAISO,1,20202201,145
CAISO,1,20202202,143
CAISO,1,20202203,142
CAISO,1,20202204,144
CAISO,1,20202205,177
CAISO,1,20202206,671
CAISO,1,20202207,302
CAISO,1,20202208,373
CAISO,1,20202209,358
CAISO,1,20202210,369
CAISO,1,20202211,406
CAISO,1,20202212,349
CAISO,1,20202213,336
CAISO,1,20202214,339
CAISO,1,20202215,301
CAISO,1,20202216,239
CAISO,1,20202217,197
CAISO,1,20202218,175
CAISO,1,20202219,176
CAISO,1,20202220,224
CAISO,1,20202221,178
CAISO,1,20202222,169
CAISO,1,20202223,159
CAISO,1,20202224,154
CAISO,1,20202301,224
CAISO,1,20202302,221
CAISO,1,20202303,191
CAISO,1,20202304,190
CAISO,1,20202305,211
CAISO,1,20202306,420
CAISO,1,20202307,475
CAISO,1,20202308,541
CAISO,1,20202309,306
CAISO,1,20202310,320
CAISO,1,20202311,364
CAISO,1,20202312,302
CAISO,1,20202313,304
CAISO,1,20202314,330
CAISO,1,20202315,322
CAISO,1,20202316,272
CAISO,1,20202317,240
CAISO,1,20202318,229
CAISO,1,20202319,229
CAISO,1,20202320,266
CAISO,1,20202321,227
CAISO,1,20202322,217
CAISO,1,20202323,205
CAISO,1,20202324,197
CAISO,1,20202401,119
CAISO,1,20202402,116
CAISO,1,20202403,114
CAISO,1,20202404,115
CAISO,1,20202405,122
CAISO,1,20202406,230
CAISO,1,20202407,576
CAISO,1,20202408,659
CAISO,1,20202409,435
CAISO,1,20202410,440
CAISO,1,20202411,378
CAISO,1,20202412,321
CAISO,1,20202413,322
CAISO,1,20202414,214
CAISO,1,20202415,370
CAISO,1,20202416,186
CAISO,1,20202417,164
CAISO,1,20202418,215
CAISO,1,20202419,195
CAISO,1,20202420,164
CAISO,1,20202421,156
CAISO,1,20202422,144
CAISO,1,20202423,132
CAISO,1,20202424,123
CAISO,1,20202501,216
CAISO,1,20202502,214
CAISO,1,20202503,184
CAISO,1,20202504,180
CAISO,1,20202505,170
CAISO,1,20202506,252
CAISO,1,20202507,585
CAISO,1,20202508,658
CAISO,1,20202509,433
CAISO,1,20202510,437
CAISO,1,20202511,374
CAISO,1,20202512,314
CAISO,1,20202513,313
CAISO,1,20202514,198
CAISO,1,20202515,361
CAISO,1,20202516,166
CAISO,1,20202517,146
CAISO,1,20202518,207
CAISO,1,20202519,187
CAISO,1,20202520,157
CAISO,1,20202521,152
CAISO,1,20202522,146
CAISO,1,20202523,137
CAISO,1,20202524,128
CAISO,1,20202601,171
CAISO,1,20202602,166
CAISO,1,20202603,164
CAISO,1,20202604,162
CAISO,1,20202605,163
CAISO,1,20202606,165
CAISO,1,20202607,255
CAISO,1,20202608,602
CAISO,1,20202609,615
CAISO,1,20202610,528
CAISO,1,20202611,515
CAISO,1,20202612,398
CAISO,1,20202613,552
CAISO,1,20202614,519
CAISO,1,20202615,341
CAISO,1,20202616,288
CAISO,1,20202617,136
CAISO,1,20202618,236
CAISO,1,20202619,157
CAISO,1,20202620,155
CAISO,1,20202621,153
CAISO,1,20202622,151
CAISO,1,20202623,144
CAISO,1,20202624,135
CAISO,1,20202701,189
CAISO,1,20202702,174
CAISO,1,20202703,163
CAISO,1,20202704,163
CAISO,1,20202705,165
CAISO,1,20202706,170
CAISO,1,20202707,238
CAISO,1,20202708,596
CAISO,1,20202709,619
CAISO,1,20202710,532
CAISO,1,20202711,479
CAISO,1,20202712,481
CAISO,1,20202713,491
CAISO,1,20202714,433
CAISO,1,20202715,365
CAISO,1,20202716,316
CAISO,1,20202717,186
CAISO,1,20202718,266
CAISO,1,20202719,200
CAISO,1,20202720,198
CAISO,1,20202721,195
CAISO,1,20202722,191
CAISO,1,20202723,181
CAISO,1,20202724,174
CAISO,1,20202801,121
CAISO,1,20202802,116
CAISO,1,20202803,113
CAISO,1,20202804,112
CAISO,1,20202805,160
CAISO,1,20202806,165
CAISO,1,20202807,260
CAISO,1,20202808,605
CAISO,1,20202809,617
CAISO,1,20202810,532
CAISO,1,20202811,479
CAISO,1,20202812,482
CAISO,1,20202813,479
CAISO,1,20202814,420
CAISO,1,20202815,350
CAISO,1,20202816,298
CAISO,1,20202817,151
CAISO,1,20202818,240
CAISO,1,20202819,163
CAISO,1,20202820,160
CAISO,1,20202821,155
CAISO,1,20202822,150
CAISO,1,20202823,137
CAISO,1,20202824,128
CAISO,1,20202901,214
CAISO,1,20202902,213
CAISO,1,20202903,212
CAISO,1,20202904,213
CAISO,1,20202905,223
CAISO,1,20202906,517
CAISO,1,20202907,789
CAISO,1,20202908,778
CAISO,1,20202909,758
CAISO,1,20202910,548
CAISO,1,20202911,521
CAISO,1,20202912,613
CAISO,1,20202913,566
CAISO,1,20202914,509
CAISO,1,20202915,642
CAISO,1,20202916,588
CAISO,1,20202917,331
CAISO,1,20202918,200
CAISO,1,20202919,288
CAISO,1,20202920,207
CAISO,1,20202921,195
CAISO,1,20202922,187
CAISO,1,20202923,179
CAISO,1,20202924,174
CAISO,1,20203001,184
CAISO,1,20203002,170
CAISO,1,20203003,169
CAISO,1,20203004,160
CAISO,1,20203005,170
CAISO,1,20203006,494
CAISO,1,20203007,765
CAISO,1,20203008,624
CAISO,1,20203009,573
CAISO,1,20203010,524
CAISO,1,20203011,496
CAISO,1,20203012,592
CAISO,1,20203013,544
CAISO,1,20203014,484
CAISO,1,20203015,622
CAISO,1,20203016,567
CAISO,1,20203017,293
CAISO,1,20203018,129
CAISO,1,20203019,244
CAISO,1,20203020,154
CAISO,1,20203021,141
CAISO,1,20203022,136
CAISO,1,20203023,127
CAISO,1,20203024,120
CAISO,1,20203101,171
CAISO,1,20203102,169
CAISO,1,20203103,159
CAISO,1,20203104,115
CAISO,1,20203105,132
CAISO,1,20203106,484
CAISO,1,20203107,768
CAISO,1,20203108,628
CAISO,1,20203109,577
CAISO,1,20203110,528
CAISO,1,20203111,501
CAISO,1,20203112,596
CAISO,1,20203113,549
CAISO,1,20203114,489
CAISO,1,20203115,627
CAISO,1,20203116,582
CAISO,1,20203117,325
CAISO,1,20203118,198
CAISO,1,20203119,286
CAISO,1,20203120,242
CAISO,1,20203121,206
CAISO,1,20203122,197
CAISO,1,20203123,190
CAISO,1,20203124,174
CAISO,1,20203201,216
CAISO,1,20203202,215
CAISO,1,20203203,214
CAISO,1,20203204,214
CAISO,1,20203205,196
CAISO,1,20203206,505
CAISO,1,20203207,781
CAISO,1,20203208,769
CAISO,1,20203209,757
CAISO,1,20203210,547
CAISO,1,20203211,522
CAISO,1,20203212,613
CAISO,1,20203213,578
CAISO,1,20203214,521
CAISO,1,20203215,498
CAISO,1,20203216,501
CAISO,1,20203217,421
CAISO,1,20203218,227
CAISO,1,20203219,306
CAISO,1,20203220,224
CAISO,1,20203221,214
CAISO,1,20203222,164
CAISO,1,20203223,156
CAISO,1,20203224,149
CAISO,1,20203301,145
CAISO,1,20203302,142
CAISO,1,20203303,141
CAISO,1,20203304,192
CAISO,1,20203305,199
CAISO,1,20203306,504
CAISO,1,20203307,786
CAISO,1,20203308,642
CAISO,1,20203309,593
CAISO,1,20203310,546
CAISO,1,20203311,520
CAISO,1,20203312,612
CAISO,1,20203313,566
CAISO,1,20203314,508
CAISO,1,20203315,628
CAISO,1,20203316,573
CAISO,1,20203317,305
CAISO,1,20203318,153
CAISO,1,20203319,256
CAISO,1,20203320,175
CAISO,1,20203321,164
CAISO,1,20203322,158
CAISO,1,20203323,152
CAISO,1,20203324,146
CAISO,1,20203401,145
CAISO,1,20203402,142
CAISO,1,20203403,141
CAISO,1,20203404,192
CAISO,1,20203405,199
CAISO,1,20203406,504
CAISO,1,20203407,786
CAISO,1,20203408,642
CAISO,1,20203409,593
CAISO,1,20203410,546
CAISO,1,20203411,520
CAISO,1,20203412,612
CAISO,1,20203413,566
CAISO,1,20203414,508
CAISO,1,20203415,628
CAISO,1,20203416,573
CAISO,1,20203417,305
CAISO,1,20203418,153
CAISO,1,20203419,256
CAISO,1,20203420,175
CAISO,1,20203421,164
CAISO,1,20203422,158
CAISO,1,20203423,152
CAISO,1,20203424,146
CAISO,1,20203501,172
CAISO,1,20203502,169
CAISO,1,20203503,167
CAISO,1,20203504,125
CAISO,1,20203505,162
CAISO,1,20203506,655
CAISO,1,20203507,266
CAISO,1,20203508,332
CAISO,1,20203509,315
CAISO,1,20203510,329
CAISO,1,20203511,370
CAISO,1,20203512,308
CAISO,1,20203513,309
CAISO,1,20203514,315
CAISO,1,20203515,324
CAISO,1,20203516,273
CAISO,1,20203517,245
CAISO,1,20203518,230
CAISO,1,20203519,233
CAISO,1,20203520,266
CAISO,1,20203521,227
CAISO,1,20203522,217
CAISO,1,20203523,203
CAISO,1,20203524,196
CAISO,1,20203601,191
CAISO,1,20203602,177
CAISO,1,20203603,176
CAISO,1,20203604,177
CAISO,1,20203605,206
CAISO,1,20203606,417
CAISO,1,20203607,464
CAISO,1,20203608,536
CAISO,1,20203609,317
CAISO,1,20203610,331
CAISO,1,20203611,373
CAISO,1,20203612,312
CAISO,1,20203613,312
CAISO,1,20203614,318
CAISO,1,20203615,308
CAISO,1,20203616,249
CAISO,1,20203617,237
CAISO,1,20203618,222
CAISO,1,20203619,229
CAISO,1,20203620,267
CAISO,1,20203621,226
CAISO,1,20203622,206
CAISO,1,20203623,196
CAISO,1,20203624,188
CAISO,1,20203701,117
CAISO,1,20203702,114
CAISO,1,20203703,114
CAISO,1,20203704,115
CAISO,1,20203705,165
CAISO,1,20203706,263
CAISO,1,20203707,589
CAISO,1,20203708,709
CAISO,1,20203709,449
CAISO,1,20203710,453
CAISO,1,20203711,392
CAISO,1,20203712,336
CAISO,1,20203713,334
CAISO,1,20203714,202
CAISO,1,20203715,300
CAISO,1,20203716,260
CAISO,1,20203717,148
CAISO,1,20203718,202
CAISO,1,20203719,217
CAISO,1,20203720,192
CAISO,1,20203721,195
CAISO,1,20203722,187
CAISO,1,20203723,190
CAISO,1,20203724,185
CAISO,1,20210101,178
CAISO,1,20210102,165
CAISO,1,20210103,120
CAISO,1,20210104,117
CAISO,1,20210105,110
CAISO,1,20210106,111
CAISO,1,20210107,248
CAISO,1,20210108,668
CAISO,1,20210109,694
CAISO,1,20210110,595
CAISO,1,20210111,591
CAISO,1,20210112,461
CAISO,1,20210113,634
CAISO,1,20210114,597
CAISO,1,20210115,744
CAISO,1,20210116,340
CAISO,1,20210117,171
CAISO,1,20210118,282
CAISO,1,20210119,196
CAISO,1,20210120,194
CAISO,1,20210121,192
CAISO,1,20210122,191
CAISO,1,20210123,184
CAISO,1,20210124,177
CAISO,1,20210201,172
CAISO,1,20210202,169
CAISO,1,20210203,168
CAISO,1,20210204,159
CAISO,1,20210205,160
CAISO,1,20210206,165
CAISO,1,20210207,281
CAISO,1,20210208,683
CAISO,1,20210209,709
CAISO,1,20210210,600
CAISO,1,20210211,540
CAISO,1,20210212,554
CAISO,1,20210213,552
CAISO,1,20210214,485
CAISO,1,20210215,406
CAISO,1,20210216,348
CAISO,1,20210217,186
CAISO,1,20210218,286
CAISO,1,20210219,200
CAISO,1,20210220,197
CAISO,1,20210221,194
CAISO,1,20210222,190
CAISO,1,20210223,182
CAISO,1,20210224,173
CAISO,1,20210301,188
CAISO,1,20210302,182
CAISO,1,20210303,181
CAISO,1,20210304,179
CAISO,1,20210305,181
CAISO,1,20210306,175
CAISO,1,20210307,288
CAISO,1,20210308,686
CAISO,1,20210309,709
CAISO,1,20210310,612
CAISO,1,20210311,598
CAISO,1,20210312,468
CAISO,1,20210313,639
CAISO,1,20210314,580
CAISO,1,20210315,410
CAISO,1,20210316,359
CAISO,1,20210317,205
CAISO,1,20210318,295
CAISO,1,20210319,218
CAISO,1,20210320,216
CAISO,1,20210321,213
CAISO,1,20210322,213
CAISO,1,20210323,205
CAISO,1,20210324,197
CAISO,1,20210401,122
CAISO,1,20210402,117
CAISO,1,20210403,115
CAISO,1,20210404,113
CAISO,1,20210405,130
CAISO,1,20210406,546
CAISO,1,20210407,872
CAISO,1,20210408,859
CAISO,1,20210409,845
CAISO,1,20210410,632
CAISO,1,20210411,568
CAISO,1,20210412,677
CAISO,1,20210413,623
CAISO,1,20210414,625
CAISO,1,20210415,528
CAISO,1,20210416,532
CAISO,1,20210417,433
CAISO,1,20210418,154
CAISO,1,20210419,285
CAISO,1,20210420,179
CAISO,1,20210421,198
CAISO,1,20210422,191
CAISO,1,20210423,141
CAISO,1,20210424,130
CAISO,1,20210501,190
CAISO,1,20210502,188
CAISO,1,20210503,187
CAISO,1,20210504,184
CAISO,1,20210505,198
CAISO,1,20210506,564
CAISO,1,20210507,883
CAISO,1,20210508,868
CAISO,1,20210509,854
CAISO,1,20210510,645
CAISO,1,20210511,648
CAISO,1,20210512,666
CAISO,1,20210513,646
CAISO,1,20210514,640
CAISO,1,20210515,547
CAISO,1,20210516,551
CAISO,1,20210517,457
CAISO,1,20210518,211
CAISO,1,20210519,337
CAISO,1,20210520,254
CAISO,1,20210521,241
CAISO,1,20210522,217
CAISO,1,20210523,209
CAISO,1,20210524,223
CAISO,1,20210601,150
CAISO,1,20210602,195
CAISO,1,20210603,194
CAISO,1,20210604,198
CAISO,1,20210605,229
CAISO,1,20210606,568
CAISO,1,20210607,886
CAISO,1,20210608,872
CAISO,1,20210609,858
CAISO,1,20210610,616
CAISO,1,20210611,586
CAISO,1,20210612,693
CAISO,1,20210613,640
CAISO,1,20210614,575
CAISO,1,20210615,548
CAISO,1,20210616,552
CAISO,1,20210617,458
CAISO,1,20210618,234
CAISO,1,20210619,335
CAISO,1,20210620,252
CAISO,1,20210621,215
CAISO,1,20210622,207
CAISO,1,20210623,199
CAISO,1,20210624,193
CAISO,1,20210701,147
CAISO,1,20210702,149
CAISO,1,20210703,148
CAISO,1,20210704,148
CAISO,1,20210705,160
CAISO,1,20210706,553
CAISO,1,20210707,885
CAISO,1,20210708,877
CAISO,1,20210709,862
CAISO,1,20210710,654
CAISO,1,20210711,605
CAISO,1,20210712,696
CAISO,1,20210713,644
CAISO,1,20210714,586
CAISO,1,20210715,543
CAISO,1,20210716,532
CAISO,1,20210717,434
CAISO,1,20210718,160
CAISO,1,20210719,282
CAISO,1,20210720,182
CAISO,1,20210721,173
CAISO,1,20210722,160
CAISO,1,20210723,160
CAISO,1,20210724,154
CAISO,1,20210801,201
CAISO,1,20210802,196
CAISO,1,20210803,195
CAISO,1,20210804,149
CAISO,1,20210805,161
CAISO,1,20210806,552
CAISO,1,20210807,884
CAISO,1,20210808,861
CAISO,1,20210809,857
CAISO,1,20210810,648
CAISO,1,20210811,635
CAISO,1,20210812,653
CAISO,1,20210813,625
CAISO,1,20210814,624
CAISO,1,20210815,527
CAISO,1,20210816,548
