prm_zone,period,facet,elcc_surface_intercept
CAISO,2023,4,0.006585
CAISO,2023,5,0.012406
CAISO,2023,6,0.00617
CAISO,2023,7,0.012461
CAISO,2023,8,0.012461
CAISO,2023,9,0.053912
CAISO,2023,10,0.041646
CAISO,2023,11,0.050764
CAISO,2023,12,0.047356
CAISO,2023,13,0.10324
CAISO,2023,14,0.091895
CAISO,2023,15,0.105335
CAISO,2023,16,0.101713
CAISO,2023,17,0.118129
CAISO,2023,18,0.115159
CAISO,2023,19,0.132125
CAISO,2023,20,0.131357
CAISO,2023,21,0.124696
CAISO,2023,22,0.12318
CAISO,2023,23,0.140844
CAISO,2023,24,0.140667
CAISO,2024,1,0
CAISO,2024,2,0
CAISO,2024,3,0.004646
CAISO,2024,4,0.006585
CAISO,2024,5,0.012406
CAISO,2024,6,0.00617
CAISO,2024,7,0.012461
CAISO,2024,8,0.012461
CAISO,2024,9,0.053912
CAISO,2024,10,0.041646
CAISO,2024,11,0.050764
CAISO,2024,12,0.047356
CAISO,2024,13,0.10324
CAISO,2024,14,0.091895
CAISO,2024,15,0.105335
CAISO,2024,16,0.101713
CAISO,2024,17,0.118129
CAISO,2024,18,0.115159
CAISO,2024,19,0.132125
CAISO,2024,20,0.131357
CAISO,2024,21,0.124696
CAISO,2024,22,0.12318
CAISO,2024,23,0.140844
CAISO,2024,24,0.140667
CAISO,2025,1,0
CAISO,2025,2,0
CAISO,2025,3,0.004646
CAISO,2025,4,0.006585
CAISO,2025,5,0.012406
CAISO,2025,6,0.00617
CAISO,2025,7,0.012461
CAISO,2025,8,0.012461
CAISO,2025,9,0.053912
CAISO,2025,10,0.041646
CAISO,2025,11,0.050764
CAISO,2025,12,0.047356
CAISO,2025,13,0.10324
CAISO,2025,14,0.091895
CAISO,2025,15,0.105335
CAISO,2025,16,0.101713
CAISO,2025,17,0.118129
CAISO,2025,18,0.115159
CAISO,2025,19,0.132125
CAISO,2025,20,0.131357
CAISO,2025,21,0.124696
CAISO,2025,22,0.12318
CAISO,2025,23,0.140844
CAISO,2025,24,0.140667
CAISO,2026,1,0
CAISO,2026,2,0
CAISO,2026,3,0.004646
CAISO,2026,4,0.006585
CAISO,2026,5,0.012406
CAISO,2026,6,0.00617
CAISO,2026,7,0.012461
CAISO,2026,8,0.012461
CAISO,2026,9,0.053912
CAISO,2026,10,0.041646
CAISO,2026,11,0.050764
CAISO,2026,12,0.047356
CAISO,2026,13,0.10324
CAISO,2026,14,0.091895
CAISO,2026,15,0.105335
CAISO,2026,16,0.101713
CAISO,2026,17,0.118129
CAISO,2026,18,0.115159
CAISO,2026,19,0.132125
CAISO,2026,20,0.131357
CAISO,2026,21,0.124696
CAISO,2026,22,0.12318
CAISO,2026,23,0.140844
CAISO,2026,24,0.140667
CAISO,2027,1,0
CAISO,2027,2,0
CAISO,2027,3,0.004646
CAISO,2027,4,0.006585
CAISO,2027,5,0.012406
CAISO,2027,6,0.00617
CAISO,2027,7,0.012461
CAISO,2027,8,0.012461
CAISO,2027,9,0.053912
CAISO,2027,10,0.041646
CAISO,2027,11,0.050764
CAISO,2027,12,0.047356
CAISO,2027,13,0.10324
CAISO,2027,14,0.091895
CAISO,2027,15,0.105335
CAISO,2027,16,0.101713
CAISO,2027,17,0.118129
CAISO,2027,18,0.115159
CAISO,2027,19,0.132125
CAISO,2027,20,0.131357
CAISO,2027,21,0.124696
CAISO,2027,22,0.12318
CAISO,2027,23,0.140844
CAISO,2027,24,0.140667
CAISO,2028,1,0
CAISO,2028,2,0
CAISO,2028,3,0.004646
CAISO,2028,4,0.006585
CAISO,2028,5,0.012406
CAISO,2028,6,0.00617
CAISO,2028,7,0.012461
CAISO,2028,8,0.012461
CAISO,2028,9,0.053912
CAISO,2028,10,0.041646
CAISO,2028,11,0.050764
CAISO,2028,12,0.047356
CAISO,2028,13,0.10324
CAISO,2028,14,0.091895
CAISO,2028,15,0.105335
CAISO,2028,16,0.101713
CAISO,2028,17,0.118129
CAISO,2028,18,0.115159
CAISO,2028,19,0.132125
CAISO,2028,20,0.131357
CAISO,2028,21,0.124696
CAISO,2028,22,0.12318
CAISO,2028,23,0.140844
CAISO,2028,24,0.140667
CAISO,2029,1,0
CAISO,2029,2,0
CAISO,2029,3,0.004646
CAISO,2029,4,0.006585
CAISO,2029,5,0.012406
CAISO,2029,6,0.00617
CAISO,2029,7,0.012461
CAISO,2029,8,0.012461
CAISO,2029,9,0.053912
CAISO,2029,10,0.041646
CAISO,2029,11,0.050764
CAISO,2029,12,0.047356
CAISO,2029,13,0.10324
CAISO,2029,14,0.091895
CAISO,2029,15,0.105335
CAISO,2029,16,0.101713
CAISO,2029,17,0.118129
CAISO,2029,18,0.115159
CAISO,2029,19,0.132125
CAISO,2029,20,0.131357
CAISO,2029,21,0.124696
CAISO,2029,22,0.12318
CAISO,2029,23,0.140844
CAISO,2029,24,0.140667
CAISO,2030,1,0
CAISO,2030,2,0
CAISO,2030,3,0.004646
CAISO,2030,4,0.006585
CAISO,2030,5,0.012406
CAISO,2030,6,0.00617
CAISO,2030,7,0.012461
CAISO,2030,8,0.012461
CAISO,2030,9,0.053912
CAISO,2030,10,0.041646
CAISO,2030,11,0.050764
CAISO,2030,12,0.047356
CAISO,2030,13,0.10324
CAISO,2030,14,0.091895
CAISO,2030,15,0.105335
CAISO,2030,16,0.101713
CAISO,2030,17,0.118129
CAISO,2030,18,0.115159
CAISO,2030,19,0.132125
CAISO,2030,20,0.131357
CAISO,2030,21,0.124696
CAISO,2030,22,0.12318
CAISO,2030,23,0.140844
CAISO,2030,24,0.140667
CAISO,2031,1,0
CAISO,2031,2,0
CAISO,2031,3,0.004646
CAISO,2031,4,0.006585
CAISO,2031,5,0.012406
CAISO,2031,6,0.00617
CAISO,2031,7,0.012461
CAISO,2031,8,0.012461
CAISO,2031,9,0.053912
CAISO,2031,10,0.041646
CAISO,2031,11,0.050764
CAISO,2031,12,0.047356
CAISO,2031,13,0.10324
CAISO,2031,14,0.091895
CAISO,2031,15,0.105335
CAISO,2031,16,0.101713
CAISO,2031,17,0.118129
CAISO,2031,18,0.115159
CAISO,2031,19,0.132125
CAISO,2031,20,0.131357
CAISO,2031,21,0.124696
CAISO,2031,22,0.12318
CAISO,2031,23,0.140844
CAISO,2031,24,0.140667
CAISO,2032,1,0
CAISO,2032,2,0
CAISO,2032,3,0.004646
CAISO,2032,4,0.006585
CAISO,2032,5,0.012406
CAISO,2032,6,0.00617
CAISO,2032,7,0.012461
CAISO,2032,8,0.012461
CAISO,2032,9,0.053912
CAISO,2032,10,0.041646
CAISO,2032,11,0.050764
CAISO,2032,12,0.047356
CAISO,2032,13,0.10324
CAISO,2032,14,0.091895
CAISO,2032,15,0.105335
CAISO,2032,16,0.101713
CAISO,2032,17,0.118129
CAISO,2032,18,0.115159
CAISO,2032,19,0.132125
CAISO,2032,20,0.131357
CAISO,2032,21,0.124696
CAISO,2032,22,0.12318
CAISO,2032,23,0.140844
CAISO,2032,24,0.140667
CAISO,2033,1,0
CAISO,2033,2,0
CAISO,2033,3,0.004646
CAISO,2033,4,0.006585
CAISO,2033,5,0.012406
CAISO,2033,6,0.00617
CAISO,2033,7,0.012461
CAISO,2033,8,0.012461
CAISO,2033,9,0.053912
CAISO,2033,10,0.041646
CAISO,2033,11,0.050764
CAISO,2033,12,0.047356
CAISO,2033,13,0.10324
CAISO,2033,14,0.091895
CAISO,2033,15,0.105335
CAISO,2033,16,0.101713
CAISO,2033,17,0.118129
CAISO,2033,18,0.115159
CAISO,2033,19,0.132125
CAISO,2033,20,0.131357
CAISO,2033,21,0.124696
CAISO,2033,22,0.12318
CAISO,2033,23,0.140844
CAISO,2033,24,0.140667
CAISO,2034,1,0
CAISO,2034,2,0
CAISO,2034,3,0.004646
CAISO,2034,4,0.006585
CAISO,2034,5,0.012406
CAISO,2034,6,0.00617
CAISO,2034,7,0.012461
CAISO,2034,8,0.012461
CAISO,2034,9,0.053912
CAISO,2034,10,0.041646
CAISO,2034,11,0.050764
CAISO,2034,12,0.047356
CAISO,2034,13,0.10324
CAISO,2034,14,0.091895
CAISO,2034,15,0.105335
CAISO,2034,16,0.101713
CAISO,2034,17,0.118129
CAISO,2034,18,0.115159
CAISO,2034,19,0.132125
CAISO,2034,20,0.131357
CAISO,2034,21,0.124696
CAISO,2034,22,0.12318
CAISO,2034,23,0.140844
CAISO,2034,24,0.140667
CAISO,2035,1,0
CAISO,2035,2,0
CAISO,2035,3,0.004646
CAISO,2035,4,0.006585
CAISO,2035,5,0.012406
CAISO,2035,6,0.00617
CAISO,2035,7,0.012461
CAISO,2035,8,0.012461
CAISO,2035,9,0.053912
CAISO,2035,10,0.041646
CAISO,2035,11,0.050764
CAISO,2035,12,0.047356
CAISO,2035,13,0.10324
CAISO,2035,14,0.091895
CAISO,2035,15,0.105335
CAISO,2035,16,0.101713
CAISO,2035,17,0.118129
CAISO,2035,18,0.115159
CAISO,2035,19,0.132125
CAISO,2035,20,0.131357
CAISO,2035,21,0.124696
CAISO,2035,22,0.12318
CAISO,2035,23,0.140844
CAISO,2035,24,0.140667
CAISO,2036,1,0
CAISO,2036,2,0
CAISO,2036,3,0.004646
CAISO,2036,4,0.006585
CAISO,2036,5,0.012406
CAISO,2036,6,0.00617
CAISO,2036,7,0.012461
CAISO,2036,8,0.012461
CAISO,2036,9,0.053912
CAISO,2036,10,0.041646
CAISO,2036,11,0.050764
CAISO,2036,12,0.047356
CAISO,2036,13,0.10324
CAISO,2036,14,0.091895
CAISO,2036,15,0.105335
CAISO,2036,16,0.101713
CAISO,2036,17,0.118129
CAISO,2036,18,0.115159
CAISO,2036,19,0.132125
CAISO,2036,20,0.131357
CAISO,2036,21,0.124696
CAISO,2036,22,0.12318
CAISO,2036,23,0.140844
CAISO,2036,24,0.140667
CAISO,2037,1,0
CAISO,2037,2,0
CAISO,2037,3,0.004646
CAISO,2037,4,0.006585
CAISO,2037,5,0.012406
CAISO,2037,6,0.00617
CAISO,2037,7,0.012461
CAISO,2037,8,0.012461
CAISO,2037,9,0.053912
CAISO,2037,10,0.041646
CAISO,2037,11,0.050764
CAISO,2037,12,0.047356
CAISO,2037,13,0.10324
CAISO,2037,14,0.091895
CAISO,2037,15,0.105335
CAISO,2037,16,0.101713
CAISO,2037,17,0.118129
CAISO,2037,18,0.115159
CAISO,2037,19,0.132125
CAISO,2037,20,0.131357
CAISO,2037,21,0.124696
CAISO,2037,22,0.12318
CAISO,2037,23,0.140844
CAISO,2037,24,0.140667
CAISO,2038,1,0
CAISO,2038,2,0
CAISO,2038,3,0.004646
CAISO,2038,4,0.006585
CAISO,2038,5,0.012406
CAISO,2038,6,0.00617
CAISO,2038,7,0.012461
CAISO,2038,8,0.012461
CAISO,2038,9,0.053912
CAISO,2038,10,0.041646
CAISO,2038,11,0.050764
CAISO,2038,12,0.047356
CAISO,2038,13,0.10324
CAISO,2038,14,0.091895
CAISO,2038,15,0.105335
CAISO,2038,16,0.101713
CAISO,2038,17,0.118129
CAISO,2038,18,0.115159
CAISO,2038,19,0.132125
CAISO,2038,20,0.131357
CAISO,2038,21,0.124696
CAISO,2038,22,0.12318
CAISO,2038,23,0.140844
CAISO,2038,24,0.140667
CAISO,2039,1,0
CAISO,2039,2,0
CAISO,2039,3,0.004646
CAISO,2039,4,0.006585
CAISO,2039,5,0.012406
CAISO,2039,6,0.00617
CAISO,2039,7,0.012461
CAISO,2039,8,0.012461
CAISO,2039,9,0.053912
CAISO,2039,10,0.041646
CAISO,2039,11,0.050764
CAISO,2039,12,0.047356
CAISO,2039,13,0.10324
CAISO,2039,14,0.091895
CAISO,2039,15,0.105335
CAISO,2039,16,0.101713
CAISO,2039,17,0.118129
CAISO,2039,18,0.115159
CAISO,2039,19,0.132125
CAISO,2039,20,0.131357
CAISO,2039,21,0.124696
CAISO,2039,22,0.12318
CAISO,2039,23,0.140844
CAISO,2039,24,0.140667
CAISO,2040,1,0
CAISO,2040,2,0
CAISO,2040,3,0.004646
CAISO,2040,4,0.006585
CAISO,2040,5,0.012406
CAISO,2040,6,0.00617
CAISO,2040,7,0.012461
CAISO,2040,8,0.012461
CAISO,2040,9,0.053912
CAISO,2040,10,0.041646
CAISO,2040,11,0.050764
CAISO,2040,12,0.047356
CAISO,2040,13,0.10324
CAISO,2040,14,0.091895
CAISO,2040,15,0.105335
CAISO,2040,16,0.101713
CAISO,2040,17,0.118129
CAISO,2040,18,0.115159
CAISO,2040,19,0.132125
CAISO,2040,20,0.131357
CAISO,2040,21,0.124696
CAISO,2040,22,0.12318
CAISO,2040,23,0.140844
CAISO,2040,24,0.140667
CAISO,2041,1,0
CAISO,2041,2,0
CAISO,2041,3,0.004646
CAISO,2041,4,0.006585
CAISO,2041,5,0.012406
CAISO,2041,6,0.00617
CAISO,2041,7,0.012461
CAISO,2041,8,0.012461
CAISO,2041,9,0.053912
CAISO,2041,10,0.041646
CAISO,2041,11,0.050764
CAISO,2041,12,0.047356
CAISO,2041,13,0.10324
CAISO,2041,14,0.091895
CAISO,2041,15,0.105335
CAISO,2041,16,0.101713
CAISO,2041,17,0.118129
CAISO,2041,18,0.115159
CAISO,2041,19,0.132125
CAISO,2041,20,0.131357
CAISO,2041,21,0.124696
CAISO,2041,22,0.12318
CAISO,2041,23,0.140844
CAISO,2041,24,0.140667
CAISO,2042,1,0
CAISO,2042,2,0
CAISO,2042,3,0.004646
CAISO,2042,4,0.006585
CAISO,2042,5,0.012406
CAISO,2042,6,0.00617
CAISO,2042,7,0.012461
CAISO,2042,8,0.012461
CAISO,2042,9,0.053912
CAISO,2042,10,0.041646
CAISO,2042,11,0.050764
CAISO,2042,12,0.047356
CAISO,2042,13,0.10324
CAISO,2042,14,0.091895
CAISO,2042,15,0.105335
CAISO,2042,16,0.101713
CAISO,2042,17,0.118129
CAISO,2042,18,0.115159
CAISO,2042,19,0.132125
CAISO,2042,20,0.131357
CAISO,2042,21,0.124696
CAISO,2042,22,0.12318
CAISO,2042,23,0.140844
CAISO,2042,24,0.140667
CAISO,2043,1,0
CAISO,2043,2,0
CAISO,2043,3,0.004646
CAISO,2043,4,0.006585
CAISO,2043,5,0.012406
CAISO,2043,6,0.00617
CAISO,2043,7,0.012461
CAISO,2043,8,0.012461
CAISO,2043,9,0.053912
CAISO,2043,10,0.041646
CAISO,2043,11,0.050764
CAISO,2043,12,0.047356
CAISO,2043,13,0.10324
CAISO,2043,14,0.091895
CAISO,2043,15,0.105335
CAISO,2043,16,0.101713
CAISO,2043,17,0.118129
CAISO,2043,18,0.115159
CAISO,2043,19,0.132125
CAISO,2043,20,0.131357
CAISO,2043,21,0.124696
CAISO,2043,22,0.12318
CAISO,2043,23,0.140844
CAISO,2043,24,0.140667
CAISO,2044,1,0
CAISO,2044,2,0
CAISO,2044,3,0.004646
CAISO,2044,4,0.006585
CAISO,2044,5,0.012406
CAISO,2044,6,0.00617
CAISO,2044,7,0.012461
CAISO,2044,8,0.012461
CAISO,2044,9,0.053912
CAISO,2044,10,0.041646
CAISO,2044,11,0.050764
CAISO,2044,12,0.047356
CAISO,2044,13,0.10324
CAISO,2044,14,0.091895
CAISO,2044,15,0.105335
CAISO,2044,16,0.101713
CAISO,2044,17,0.118129
CAISO,2044,18,0.115159
CAISO,2044,19,0.132125
CAISO,2044,20,0.131357
CAISO,2044,21,0.124696
CAISO,2044,22,0.12318
CAISO,2044,23,0.140844
CAISO,2044,24,0.140667
CAISO,2045,1,0
CAISO,2045,2,0
CAISO,2045,3,0.004646
CAISO,2045,4,0.006585
CAISO,2045,5,0.012406
CAISO,2045,6,0.00617
CAISO,2045,7,0.012461
CAISO,2045,8,0.012461
CAISO,2045,9,0.053912
CAISO,2045,10,0.041646
CAISO,2045,11,0.050764
CAISO,2045,12,0.047356
CAISO,2045,13,0.10324
CAISO,2045,14,0.091895
CAISO,2045,15,0.105335
CAISO,2045,16,0.101713
CAISO,2045,17,0.118129
CAISO,2045,18,0.115159
CAISO,2045,19,0.132125
CAISO,2045,20,0.131357
CAISO,2045,21,0.124696
CAISO,2045,22,0.12318
CAISO,2045,23,0.140844
CAISO,2045,24,0.140667
CAISO,2046,1,0
CAISO,2046,2,0
CAISO,2046,3,0.004646
CAISO,2046,4,0.006585
CAISO,2046,5,0.012406
CAISO,2046,6,0.00617
CAISO,2046,7,0.012461
CAISO,2046,8,0.012461
CAISO,2046,9,0.053912
CAISO,2046,10,0.041646
CAISO,2046,11,0.050764
CAISO,2046,12,0.047356
CAISO,2046,13,0.10324
CAISO,2046,14,0.091895
CAISO,2046,15,0.105335
CAISO,2046,16,0.101713
CAISO,2046,17,0.118129
CAISO,2046,18,0.115159
CAISO,2046,19,0.132125
CAISO,2046,20,0.131357
CAISO,2046,21,0.124696
CAISO,2046,22,0.12318
CAISO,2046,23,0.140844
CAISO,2046,24,0.140667
CAISO,2047,1,0
CAISO,2047,2,0
CAISO,2047,3,0.004646
CAISO,2047,4,0.006585
CAISO,2047,5,0.012406
CAISO,2047,6,0.00617
CAISO,2047,7,0.012461
CAISO,2047,8,0.012461
CAISO,2047,9,0.053912
CAISO,2047,10,0.041646
CAISO,2047,11,0.050764
CAISO,2047,12,0.047356
CAISO,2047,13,0.10324
CAISO,2047,14,0.091895
CAISO,2047,15,0.105335
CAISO,2047,16,0.101713
CAISO,2047,17,0.118129
CAISO,2047,18,0.115159
CAISO,2047,19,0.132125
CAISO,2047,20,0.131357
CAISO,2047,21,0.124696
CAISO,2047,22,0.12318
CAISO,2047,23,0.140844
CAISO,2047,24,0.140667
CAISO,2048,1,0
CAISO,2048,2,0
CAISO,2048,3,0.004646
CAISO,2048,4,0.006585
CAISO,2048,5,0.012406
CAISO,2048,6,0.00617
CAISO,2048,7,0.012461
CAISO,2048,8,0.012461
CAISO,2048,9,0.053912
CAISO,2048,10,0.041646
CAISO,2048,11,0.050764
CAISO,2048,12,0.047356
CAISO,2048,13,0.10324
CAISO,2048,14,0.091895
CAISO,2048,15,0.105335
CAISO,2048,16,0.101713
CAISO,2048,17,0.118129
CAISO,2048,18,0.115159
CAISO,2048,19,0.132125
CAISO,2048,20,0.131357
CAISO,2048,21,0.124696
CAISO,2048,22,0.12318
CAISO,2048,23,0.140844
CAISO,2048,24,0.140667
CAISO,2049,1,0
CAISO,2049,2,0
CAISO,2049,3,0.004646
CAISO,2049,4,0.006585
CAISO,2049,5,0.012406
CAISO,2049,6,0.00617
CAISO,2049,7,0.012461
CAISO,2049,8,0.012461
CAISO,2049,9,0.053912
CAISO,2049,10,0.041646
CAISO,2049,11,0.050764
CAISO,2049,12,0.047356
CAISO,2049,13,0.10324
CAISO,2049,14,0.091895
CAISO,2049,15,0.105335
CAISO,2049,16,0.101713
CAISO,2049,17,0.118129
CAISO,2049,18,0.115159
CAISO,2049,19,0.132125
CAISO,2049,20,0.131357
CAISO,2049,21,0.124696
CAISO,2049,22,0.12318
CAISO,2049,23,0.140844
CAISO,2049,24,0.140667
CAISO,2050,1,0
CAISO,2050,2,0
CAISO,2050,3,0.004646
CAISO,2050,4,0.006585
CAISO,2050,5,0.012406
CAISO,2050,6,0.00617
CAISO,2050,7,0.012461
CAISO,2050,8,0.012461
CAISO,2050,9,0.053912
CAISO,2050,10,0.041646
CAISO,2050,11,0.050764
CAISO,2050,12,0.047356
CAISO,2050,13,0.10324
CAISO,2050,14,0.091895
CAISO,2050,15,0.105335
CAISO,2050,16,0.101713
CAISO,2050,17,0.118129
CAISO,2050,18,0.115159
CAISO,2050,19,0.132125
CAISO,2050,20,0.131357
CAISO,2050,21,0.124696
CAISO,2050,22,0.12318
CAISO,2050,23,0.140844
CAISO,2050,24,0.140667
