project,prm_type,elcc_simple_fraction,contributes_to_elcc_surface,min_duration_for_full_capacity_credit_hours,deliverability_group
Solano_Wind,fully_deliverable,,1,,
Southern_California_Desert_Ex_Solar,fully_deliverable,,1,,
Southern_California_Desert_Ex_Wind,fully_deliverable,,1,,
Southern_Nevada_Solar,fully_deliverable,,1,,
Southern_Nevada_Wind,fully_deliverable,,1,,
SW_Ext_Tx_Wind,fully_deliverable,,1,,
Tehachapi_Ex_Solar,fully_deliverable,,1,,
Tehachapi_Solar,fully_deliverable,,1,,
Tehachapi_Wind,fully_deliverable,,1,,
Westlands_Ex_Solar,fully_deliverable,,1,,
Westlands_Ex_Wind,fully_deliverable,,1,,
Westlands_Solar,fully_deliverable,,1,,
Arizona_Solar,fully_deliverable,,1,,
Arizona_Wind,fully_deliverable,,1,,
Baja_California_Solar,fully_deliverable,,1,,
Baja_California_Wind,fully_deliverable,,1,,
Idaho_Wind,fully_deliverable,,1,,
New_Mexico_Solar,fully_deliverable,,1,,
New_Mexico_Wind,fully_deliverable,,1,,
Utah_Solar,fully_deliverable,,1,,
Utah_Wind,fully_deliverable,,1,,
Wyoming_Wind,fully_deliverable,,1,,
Pacific_Northwest_Wind,fully_deliverable,,1,,
Diablo_Canyon_Offshore_Wind,fully_deliverable,,1,,
Humboldt_Bay_Offshore_Wind,fully_deliverable,,1,,
Morro_Bay_Offshore_Wind,fully_deliverable,,1,,
Diablo_Canyon_Offshore_Wind_Ext_Tx,fully_deliverable,,1,,
Cape_Mendocino_Offshore_Wind,fully_deliverable,,1,,
Del_Norte_Offshore_Wind,fully_deliverable,,1,,
