timepoint	period	timepoint_weight	number_of_hours_in_timepoint	previous_stage_timepoint_map	month	day_of_month	hour_of_day
286	2026	1.0	1	.	1	12	22.0
287	2026	1.0	1	.	1	12	23.0
288	2026	1.0	1	.	1	12	24.0
289	2026	1.0	1	.	1	13	1.0
290	2026	1.0	1	.	1	13	2.0
291	2026	1.0	1	.	1	13	3.0
292	2026	1.0	1	.	1	13	4.0
293	2026	1.0	1	.	1	13	5.0
294	2026	1.0	1	.	1	13	6.0
295	2026	1.0	1	.	1	13	7.0
296	2026	1.0	1	.	1	13	8.0
297	2026	1.0	1	.	1	13	9.0
298	2026	1.0	1	.	1	13	10.0
299	2026	1.0	1	.	1	13	11.0
300	2026	1.0	1	.	1	13	12.0
301	2026	1.0	1	.	1	13	13.0
302	2026	1.0	1	.	1	13	14.0
303	2026	1.0	1	.	1	13	15.0
304	2026	1.0	1	.	1	13	16.0
305	2026	1.0	1	.	1	13	17.0
306	2026	1.0	1	.	1	13	18.0
307	2026	1.0	1	.	1	13	19.0
308	2026	1.0	1	.	1	13	20.0
309	2026	1.0	1	.	1	13	21.0
310	2026	1.0	1	.	1	13	22.0
311	2026	1.0	1	.	1	13	23.0
312	2026	1.0	1	.	1	13	24.0
313	2026	1.0	1	.	1	14	1.0
314	2026	1.0	1	.	1	14	2.0
315	2026	1.0	1	.	1	14	3.0
316	2026	1.0	1	.	1	14	4.0
317	2026	1.0	1	.	1	14	5.0
318	2026	1.0	1	.	1	14	6.0
319	2026	1.0	1	.	1	14	7.0
320	2026	1.0	1	.	1	14	8.0
321	2026	1.0	1	.	1	14	9.0
322	2026	1.0	1	.	1	14	10.0
323	2026	1.0	1	.	1	14	11.0
324	2026	1.0	1	.	1	14	12.0
325	2026	1.0	1	.	1	14	13.0
326	2026	1.0	1	.	1	14	14.0
327	2026	1.0	1	.	1	14	15.0
328	2026	1.0	1	.	1	14	16.0
329	2026	1.0	1	.	1	14	17.0
330	2026	1.0	1	.	1	14	18.0
331	2026	1.0	1	.	1	14	19.0
332	2026	1.0	1	.	1	14	20.0
333	2026	1.0	1	.	1	14	21.0
334	2026	1.0	1	.	1	14	22.0
335	2026	1.0	1	.	1	14	23.0
336	2026	1.0	1	.	1	14	24.0
