transmission_line,period,min_mw,max_mw
NW_to_LDWP,2028,-4500,5620
SW_to_LDWP,2028,0,250
NW_to_SW,2028,-2175,2487
IID_to_CAISO,2028,-1870,1925
BANC_to_CAISO,2028,-20800,20800
IID_to_LDWP,2028,-500,500
SW_to_IID,2028,-625,625
IID_to_BANC,2028,0,0
NW_to_BANC,2028,-1225,1660
SW_to_BANC,2028,0,0
NW_to_CAISO_Unspecified,2028,-99999,99999
SW_to_CAISO,2029,-10463,10901
NW_to_CAISO,2029,-3720,4950
LDWP_to_CAISO,2029,-2556,4056
NW_to_LDWP,2029,-4500,5620
SW_to_LDWP,2029,0,250
NW_to_SW,2029,-2175,2487
IID_to_CAISO,2029,-1870,1925
BANC_to_CAISO,2029,-20800,20800
IID_to_LDWP,2029,-500,500
SW_to_IID,2029,-625,625
IID_to_BANC,2029,0,0
NW_to_BANC,2029,-1225,1660
SW_to_BANC,2029,0,0
NW_to_CAISO_Unspecified,2029,-99999,99999
SW_to_CAISO,2030,-10463,10901
NW_to_CAISO,2030,-3720,4950
LDWP_to_CAISO,2030,-2556,4056
NW_to_LDWP,2030,-4500,5620
SW_to_LDWP,2030,0,250
NW_to_SW,2030,-2175,2487
IID_to_CAISO,2030,-1870,1925
BANC_to_CAISO,2030,-20800,20800
IID_to_LDWP,2030,-500,500
SW_to_IID,2030,-625,625
IID_to_BANC,2030,0,0
NW_to_BANC,2030,-1225,1660
SW_to_BANC,2030,0,0
NW_to_CAISO_Unspecified,2030,-99999,99999
SW_to_CAISO,2031,-10463,10901
NW_to_CAISO,2031,-3720,4950
LDWP_to_CAISO,2031,-2556,4056
NW_to_LDWP,2031,-4500,5620
SW_to_LDWP,2031,0,250
NW_to_SW,2031,-2175,2487
IID_to_CAISO,2031,-1870,1925
BANC_to_CAISO,2031,-20800,20800
IID_to_LDWP,2031,-500,500
SW_to_IID,2031,-625,625
IID_to_BANC,2031,0,0
NW_to_BANC,2031,-1225,1660
SW_to_BANC,2031,0,0
NW_to_CAISO_Unspecified,2031,-99999,99999
SW_to_CAISO,2032,-10463,10901
NW_to_CAISO,2032,-3720,4950
LDWP_to_CAISO,2032,-2556,4056
NW_to_LDWP,2032,-4500,5620
SW_to_LDWP,2032,0,250
NW_to_SW,2032,-2175,2487
IID_to_CAISO,2032,-1870,1925
BANC_to_CAISO,2032,-20800,20800
IID_to_LDWP,2032,-500,500
SW_to_IID,2032,-625,625
IID_to_BANC,2032,0,0
NW_to_BANC,2032,-1225,1660
SW_to_BANC,2032,0,0
NW_to_CAISO_Unspecified,2032,-99999,99999
SW_to_CAISO,2033,-10463,10901
NW_to_CAISO,2033,-3720,4950
LDWP_to_CAISO,2033,-2556,4056
NW_to_LDWP,2033,-4500,5620
SW_to_LDWP,2033,0,250
NW_to_SW,2033,-2175,2487
IID_to_CAISO,2033,-1870,1925
BANC_to_CAISO,2033,-20800,20800
IID_to_LDWP,2033,-500,500
SW_to_IID,2033,-625,625
IID_to_BANC,2033,0,0
NW_to_BANC,2033,-1225,1660
SW_to_BANC,2033,0,0
NW_to_CAISO_Unspecified,2033,-99999,99999
SW_to_CAISO,2034,-10463,10901
NW_to_CAISO,2034,-3720,4950
LDWP_to_CAISO,2034,-2556,4056
NW_to_LDWP,2034,-4500,5620
SW_to_LDWP,2034,0,250
NW_to_SW,2034,-2175,2487
IID_to_CAISO,2034,-1870,1925
BANC_to_CAISO,2034,-20800,20800
IID_to_LDWP,2034,-500,500
SW_to_IID,2034,-625,625
IID_to_BANC,2034,0,0
NW_to_BANC,2034,-1225,1660
SW_to_BANC,2034,0,0
NW_to_CAISO_Unspecified,2034,-99999,99999
SW_to_CAISO,2035,-10463,10901
NW_to_CAISO,2035,-3720,4950
LDWP_to_CAISO,2035,-2556,4056
NW_to_LDWP,2035,-4500,5620
SW_to_LDWP,2035,0,250
NW_to_SW,2035,-2175,2487
IID_to_CAISO,2035,-1870,1925
BANC_to_CAISO,2035,-20800,20800
IID_to_LDWP,2035,-500,500
SW_to_IID,2035,-625,625
IID_to_BANC,2035,0,0
NW_to_BANC,2035,-1225,1660
SW_to_BANC,2035,0,0
NW_to_CAISO_Unspecified,2035,-99999,99999
SW_to_CAISO,2036,-10463,10901
NW_to_CAISO,2036,-3720,4950
LDWP_to_CAISO,2036,-2556,4056
NW_to_LDWP,2036,-4500,5620
SW_to_LDWP,2036,0,250
NW_to_SW,2036,-2175,2487
IID_to_CAISO,2036,-1870,1925
BANC_to_CAISO,2036,-20800,20800
IID_to_LDWP,2036,-500,500
SW_to_IID,2036,-625,625
IID_to_BANC,2036,0,0
NW_to_BANC,2036,-1225,1660
SW_to_BANC,2036,0,0
NW_to_CAISO_Unspecified,2036,-99999,99999
SW_to_CAISO,2037,-10463,10901
NW_to_CAISO,2037,-3720,4950
LDWP_to_CAISO,2037,-2556,4056
NW_to_LDWP,2037,-4500,5620
SW_to_LDWP,2037,0,250
NW_to_SW,2037,-2175,2487
IID_to_CAISO,2037,-1870,1925
BANC_to_CAISO,2037,-20800,20800
IID_to_LDWP,2037,-500,500
SW_to_IID,2037,-625,625
IID_to_BANC,2037,0,0
NW_to_BANC,2037,-1225,1660
SW_to_BANC,2037,0,0
NW_to_CAISO_Unspecified,2037,-99999,99999
SW_to_CAISO,2038,-10463,10901
NW_to_CAISO,2038,-3720,4950
LDWP_to_CAISO,2038,-2556,4056
NW_to_LDWP,2038,-4500,5620
SW_to_LDWP,2038,0,250
NW_to_SW,2038,-2175,2487
IID_to_CAISO,2038,-1870,1925
BANC_to_CAISO,2038,-20800,20800
IID_to_LDWP,2038,-500,500
SW_to_IID,2038,-625,625
IID_to_BANC,2038,0,0
NW_to_BANC,2038,-1225,1660
SW_to_BANC,2038,0,0
NW_to_CAISO_Unspecified,2038,-99999,99999
SW_to_CAISO,2039,-10463,10901
NW_to_CAISO,2039,-3720,4950
LDWP_to_CAISO,2039,-2556,4056
NW_to_LDWP,2039,-4500,5620
SW_to_LDWP,2039,0,250
NW_to_SW,2039,-2175,2487
IID_to_CAISO,2039,-1870,1925
BANC_to_CAISO,2039,-20800,20800
IID_to_LDWP,2039,-500,500
SW_to_IID,2039,-625,625
IID_to_BANC,2039,0,0
NW_to_BANC,2039,-1225,1660
SW_to_BANC,2039,0,0
NW_to_CAISO_Unspecified,2039,-99999,99999
SW_to_CAISO,2040,-10463,10901
NW_to_CAISO,2040,-3720,4950
LDWP_to_CAISO,2040,-2556,4056
NW_to_LDWP,2040,-4500,5620
SW_to_LDWP,2040,0,250
NW_to_SW,2040,-2175,2487
IID_to_CAISO,2040,-1870,1925
BANC_to_CAISO,2040,-20800,20800
IID_to_LDWP,2040,-500,500
SW_to_IID,2040,-625,625
IID_to_BANC,2040,0,0
NW_to_BANC,2040,-1225,1660
SW_to_BANC,2040,0,0
NW_to_CAISO_Unspecified,2040,-99999,99999
SW_to_CAISO,2041,-10463,10901
NW_to_CAISO,2041,-3720,4950
LDWP_to_CAISO,2041,-2556,4056
NW_to_LDWP,2041,-4500,5620
SW_to_LDWP,2041,0,250
NW_to_SW,2041,-2175,2487
IID_to_CAISO,2041,-1870,1925
BANC_to_CAISO,2041,-20800,20800
IID_to_LDWP,2041,-500,500
SW_to_IID,2041,-625,625
IID_to_BANC,2041,0,0
NW_to_BANC,2041,-1225,1660
SW_to_BANC,2041,0,0
NW_to_CAISO_Unspecified,2041,-99999,99999
SW_to_CAISO,2042,-10463,10901
NW_to_CAISO,2042,-3720,4950
LDWP_to_CAISO,2042,-2556,4056
NW_to_LDWP,2042,-4500,5620
SW_to_LDWP,2042,0,250
NW_to_SW,2042,-2175,2487
IID_to_CAISO,2042,-1870,1925
BANC_to_CAISO,2042,-20800,20800
IID_to_LDWP,2042,-500,500
SW_to_IID,2042,-625,625
IID_to_BANC,2042,0,0
NW_to_BANC,2042,-1225,1660
SW_to_BANC,2042,0,0
NW_to_CAISO_Unspecified,2042,-99999,99999
SW_to_CAISO,2043,-10463,10901
NW_to_CAISO,2043,-3720,4950
LDWP_to_CAISO,2043,-2556,4056
NW_to_LDWP,2043,-4500,5620
SW_to_LDWP,2043,0,250
NW_to_SW,2043,-2175,2487
IID_to_CAISO,2043,-1870,1925
BANC_to_CAISO,2043,-20800,20800
IID_to_LDWP,2043,-500,500
SW_to_IID,2043,-625,625
IID_to_BANC,2043,0,0
NW_to_BANC,2043,-1225,1660
SW_to_BANC,2043,0,0
NW_to_CAISO_Unspecified,2043,-99999,99999
SW_to_CAISO,2044,-10463,10901
NW_to_CAISO,2044,-3720,4950
LDWP_to_CAISO,2044,-2556,4056
NW_to_LDWP,2044,-4500,5620
SW_to_LDWP,2044,0,250
NW_to_SW,2044,-2175,2487
IID_to_CAISO,2044,-1870,1925
BANC_to_CAISO,2044,-20800,20800
IID_to_LDWP,2044,-500,500
SW_to_IID,2044,-625,625
IID_to_BANC,2044,0,0
NW_to_BANC,2044,-1225,1660
SW_to_BANC,2044,0,0
NW_to_CAISO_Unspecified,2044,-99999,99999
SW_to_CAISO,2045,-10463,10901
NW_to_CAISO,2045,-3720,4950
LDWP_to_CAISO,2045,-2556,4056
NW_to_LDWP,2045,-4500,5620
SW_to_LDWP,2045,0,250
NW_to_SW,2045,-2175,2487
IID_to_CAISO,2045,-1870,1925
BANC_to_CAISO,2045,-20800,20800
IID_to_LDWP,2045,-500,500
SW_to_IID,2045,-625,625
IID_to_BANC,2045,0,0
NW_to_BANC,2045,-1225,1660
SW_to_BANC,2045,0,0
NW_to_CAISO_Unspecified,2045,-99999,99999
SW_to_CAISO,2046,-10463,10901
NW_to_CAISO,2046,-3720,4950
LDWP_to_CAISO,2046,-2556,4056
NW_to_LDWP,2046,-4500,5620
SW_to_LDWP,2046,0,250
NW_to_SW,2046,-2175,2487
IID_to_CAISO,2046,-1870,1925
BANC_to_CAISO,2046,-20800,20800
IID_to_LDWP,2046,-500,500
SW_to_IID,2046,-625,625
IID_to_BANC,2046,0,0
NW_to_BANC,2046,-1225,1660
SW_to_BANC,2046,0,0
NW_to_CAISO_Unspecified,2046,-99999,99999
SW_to_CAISO,2047,-10463,10901
NW_to_CAISO,2047,-3720,4950
LDWP_to_CAISO,2047,-2556,4056
NW_to_LDWP,2047,-4500,5620
SW_to_LDWP,2047,0,250
NW_to_SW,2047,-2175,2487
IID_to_CAISO,2047,-1870,1925
BANC_to_CAISO,2047,-20800,20800
IID_to_LDWP,2047,-500,500
SW_to_IID,2047,-625,625
IID_to_BANC,2047,0,0
NW_to_BANC,2047,-1225,1660
SW_to_BANC,2047,0,0
NW_to_CAISO_Unspecified,2047,-99999,99999
SW_to_CAISO,2048,-10463,10901
NW_to_CAISO,2048,-3720,4950
LDWP_to_CAISO,2048,-2556,4056
NW_to_LDWP,2048,-4500,5620
SW_to_LDWP,2048,0,250
NW_to_SW,2048,-2175,2487
IID_to_CAISO,2048,-1870,1925
BANC_to_CAISO,2048,-20800,20800
IID_to_LDWP,2048,-500,500
SW_to_IID,2048,-625,625
IID_to_BANC,2048,0,0
NW_to_BANC,2048,-1225,1660
SW_to_BANC,2048,0,0
NW_to_CAISO_Unspecified,2048,-99999,99999
SW_to_CAISO,2049,-10463,10901
NW_to_CAISO,2049,-3720,4950
LDWP_to_CAISO,2049,-2556,4056
NW_to_LDWP,2049,-4500,5620
SW_to_LDWP,2049,0,250
NW_to_SW,2049,-2175,2487
IID_to_CAISO,2049,-1870,1925
BANC_to_CAISO,2049,-20800,20800
IID_to_LDWP,2049,-500,500
SW_to_IID,2049,-625,625
IID_to_BANC,2049,0,0
NW_to_BANC,2049,-1225,1660
SW_to_BANC,2049,0,0
NW_to_CAISO_Unspecified,2049,-99999,99999
SW_to_CAISO,2050,-10463,10901
NW_to_CAISO,2050,-3720,4950
LDWP_to_CAISO,2050,-2556,4056
NW_to_LDWP,2050,-4500,5620
SW_to_LDWP,2050,0,250
NW_to_SW,2050,-2175,2487
IID_to_CAISO,2050,-1870,1925
BANC_to_CAISO,2050,-20800,20800
IID_to_LDWP,2050,-500,500
SW_to_IID,2050,-625,625
IID_to_BANC,2050,0,0
NW_to_BANC,2050,-1225,1660
SW_to_BANC,2050,0,0
NW_to_CAISO_Unspecified,2050,-99999,99999
